fetched_at_utc,snapshot_date,provider,board_type,board_name,board_code,role,source_api,日期,概念名称,驱动事件,龙头股,成分股数量
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-11-11,华为手机,最新电视排行榜 教育用户关注亮度、色准与响应速度,--,45
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-10-28,智谱AI,AI如何重塑千行百业？蓝鲸直击2026全球数字经济大会,--,70
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-08-26,房屋检测,广州：以《条例》为纲构建既有房屋安全全生命周期管理体系,--,46
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-08-23,西部大开发,青藏铁路20载，书写西部大开发的传奇故事,--,633
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-08-13,AI眼镜,中移金科将推“AI眼镜支付”，支持两大高频支付场景,--,189
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-08-07,光纤概念,意外！五倍大牛股，封死跌停！一则利空来袭，影响多大？,--,109
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-07-10,同花顺果指数,印度代工厂被黑，苹果最怕泄露的不是真机照片,--,20
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-07-02,维生素,中国维生素市场多品类偏弱盘整，维生素C价格坚挺,--,76
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-07-01,财税数字化,财政部：中国企业的技术进步和竞争优势靠的不是补贴,--,65
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-05-29,商业航天,按下IPO按钮之后，火箭公司们都在忙什么,--,498
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-04-30,合成生物,二氧化碳“变废为宝” 技术驱动与应用场景牵引双向发力 培育未来产业新生态,--,167
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-04-22,军工信息化,军工信息化板块涨超3%，卫星ETF(563530)涨幅为3.33%,--,111
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-04-03,同花顺出海50,权威认证！九牧智能马桶全球销量第一,--,50
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-03-25,AI语料,高质量 高精度 具身化 多模态 深标注 中文语料库量质齐增,--,52
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-03-20,铜缆高速连接,多重因素驱动 铜缆高速连接板块表现活跃,--,46
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-03-12,高股息精选,近千亿“红包”雨将至！7月多家上市银行密集分红,--,285
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-03-04,AI手机,AI手机哪个牌子好：三星 Galaxy S26 Ultra，让AI真正进入日常操作,--,39
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-03-04,AI PC,讯飞星火AIPC入围中央国家机关2026年度台式计算机框架协议采购项目,--,63
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-02-27,人形机器人,陪伴机器人续航最长只有4小时？优必选回应,--,456
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-02-18,AI视频,Sora关停，他们赌对了：这家北大系AI公司即将敲开港交所大门,--,52
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-01-25,低空经济,北斗时空智能助力数字经济发展—2026全球数字经济大会京津冀北斗时空智能国际合作发展论坛成功举办,--,498
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-01-10,飞行汽车(eVTOL),低空飞行续航难题，在合肥迎来了新解法,--,136
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-01-09,冰雪产业,仲夏滑雪热 长春夏日冰雪经济显活力,--,59
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-01-02,可控核聚变,中国“人造太阳”取得突破 计划2030年演示发电,--,115
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2023-12-27,小米汽车,践行经营五步法，吾悦广场安徽区域以情绪营销交出半年增长答卷,--,119
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2023-12-20,PEEK材料,人形机器人：PEEK材料，8家核心布局企业,--,53
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2023-12-07,多模态AI,连续5年市场领先！天融信DLP再获IDC推荐,--,150
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2023-11-27,长安汽车概念,长安汽车上半年销量同比下降17.44% 张雪称本月将还清全部债务,--,228
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2023-11-14,短剧游戏,AI短剧乱象丛生，利润被“吞噬”，无奈之举还是舍本逐末？,--,86
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2023-11-14,智能座舱,捷途汽车第二届方盒子大会开幕，全新山海T1四驱版重磅上市,--,170
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2023-11-14,华为昇腾,美团LongCat-2.0正式开源，国产芯片厂商集体同步适配,--,105
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2023-11-14,新型工业化,转型赋能 产业跃升 晋城市以数智化推动新型工业化,--,291
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2023-11-14,星闪概念,国际星闪联盟发布首本星闪技术专刊，加速国产短距通信产业化落地,--,74
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2023-11-14,光刻机,国产光刻机，拿下大额订单！,--,49
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2023-11-14,BC电池,爱旭股份：爱旭技术路线与产品核心价值解析,--,52
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2023-11-14,减肥药,“毛孩子”太胖了也需要瘦身，光谷在研猫犬减肥药将给出新方案,--,63
