seed_episode_id,instrument_id,seed_trade_date,seed_split,seed_same_day_bundle_key,seed_same_day_family_count,seed_label,fresh_family_id,fresh_signal_date,fresh_offset,fresh_offset_bucket,seed_failure_offset,seed_failure_offset_bucket,fresh_vs_observable_failure_state,fresh_evidence_status,seed_pre_fresh_state,survival_checkpoint_state,posterior_denominator_policy
6862fa01e4cba9db,SH600000,2020-10-16,train,oscillator|range_breakout,2,bad_path,none,none,none,none,10.0,T6_T10,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t10,include_labeled
2429825a3c16126e,SH600000,2020-11-30,train,oscillator|volume_money,2,bad_path,none,none,none,none,15.0,T11_T20,not_applicable,seed_failed_before_fresh,failed_before_fresh,survived_t10,include_labeled
41d70631223639b4,SH600000,2021-01-13,train,range_breakout,1,good_path,volatility_band,2021-01-19,4,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
b2574d8a4709ee65,SH600000,2021-03-15,train,oscillator|range_breakout|volatility_band|volume_money,4,bad_path,none,none,none,none,9.0,T6_T10,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t10,include_labeled
5568042a972b8414,SH600000,2021-05-25,train,range_breakout|volume_money,2,bad_path,none,none,none,none,42.0,after_T30,not_applicable,none_within_t3_t30,no_fresh_observed,survived_t10,include_labeled
70b1513392223641,SH600000,2021-07-21,train,oscillator|range_breakout,2,censored_or_invalid,none,none,none,none,3.0,T3_T5,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t3,include_labeled
7204f57d823ea669,SH600000,2021-09-07,train,range_breakout|volatility_band,2,censored_or_invalid,volume_money,2021-10-21,25,T21_T30,31.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
ec4e81572f2a87c9,SH600000,2021-11-15,train,range_breakout|volatility_band,2,censored_or_invalid,volume_money,2021-12-07,16,T11_T20,74.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
67f9f9e74fc5de78,SH600000,2022-01-05,validation,range_breakout|volume_money,2,bad_path,oscillator,2022-01-10,3,T3_T5,38.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
d575cf1fcfb4f7b2,SH600000,2022-03-30,validation,oscillator|range_breakout,2,neutral_path,volatility_band,2022-04-06,3,T3_T5,82.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
8b1b631669c08cb5,SH600000,2022-06-09,validation,volume_money,1,bad_path,range_breakout,2022-06-15,4,T3_T5,37.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
db16c5d591175945,SH600000,2022-08-12,validation,volatility_band,1,bad_path,range_breakout,2022-08-17,3,T3_T5,44.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
e3651712839ac5bb,SH600000,2022-11-07,validation,volatility_band,1,good_path,oscillator,2022-11-11,4,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
1c8cd326b51028e1,SH600000,2023-01-04,validation,range_breakout,1,good_path,volume_money,2023-01-16,8,T6_T10,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t5,include_labeled
7443c98a42f9e951,SH600000,2023-03-01,validation,volume_money,1,good_path,range_breakout,2023-03-24,17,T11_T20,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
28cbcdaf13a0dda2,SH600000,2023-04-14,validation,oscillator|range_breakout,2,good_path,momentum_rps,2023-04-20,4,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
7ffd64e346886ec7,SH600000,2023-06-07,validation,range_breakout,1,bad_path,oscillator,2023-07-13,24,T21_T30,88.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
08a8d510cefa0ca0,SH600000,2023-07-24,validation,range_breakout,1,censored_or_invalid,volatility_band,2023-07-27,3,T3_T5,57.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
ffab89b3762c4819,SH600000,2023-09-14,validation,range_breakout|volume_money,2,censored_or_invalid,none,none,none,none,51.0,after_T30,not_applicable,none_within_t3_t30,no_fresh_observed,survived_t10,include_labeled
5bd7302a1565c5b8,SH600000,2023-11-15,validation,range_breakout,1,censored_or_invalid,volume_money,2023-11-21,4,T3_T5,14.0,T11_T20,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
5c989cdf95784e16,SH600000,2023-12-28,validation,range_breakout|volume_money,2,censored_or_invalid,oscillator,2024-01-24,18,T11_T20,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
d28d1279fdde3b97,SH600000,2024-02-21,robustness,oscillator|range_breakout|volatility_band,3,good_path,none,none,none,none,none,none,not_applicable,none_within_t3_t30,no_fresh_observed,survived_t10,include_labeled
57ab499235e88b65,SH600000,2024-04-08,robustness,range_breakout,1,good_path,volume_money,2024-04-15,5,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t5,include_labeled
a04c0969186968a7,SH600000,2024-05-27,robustness,range_breakout,1,bad_path,none,none,none,none,9.0,T6_T10,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t10,include_labeled
04d73211fa9a9818,SH600000,2024-07-10,robustness,range_breakout|volatility_band,2,good_path,momentum_rps,2024-07-15,3,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
f8d577010b06ea33,SH600000,2024-09-19,robustness,range_breakout,1,good_path,oscillator,2024-09-24,3,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
8437d9339d5856bb,SH600000,2024-12-04,robustness,range_breakout,1,good_path,volume_money,2024-12-23,13,T11_T20,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
f445f9e7288addb3,SH600000,2025-01-20,robustness,range_breakout,1,bad_path,volume_money,2025-01-23,3,T3_T5,47.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
c36c13eb0bb43168,SH600000,2025-03-14,robustness,oscillator|range_breakout|volume_money,3,bad_path,momentum_rps,2025-03-19,3,T3_T5,14.0,T11_T20,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
473cc11a3e162449,SH600000,2025-04-29,robustness,range_breakout,1,good_path,momentum_rps,2025-05-07,3,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
8f81f8b34c872892,SH600000,2025-06-17,robustness,oscillator,1,good_path,momentum_rps,2025-06-20,3,T3_T5,91.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
9058a45fcdf63586,SH600000,2025-08-05,robustness,momentum_rps|price_trend|range_breakout|volatility_band|volume_money,5,censored_or_invalid,pullback_drawdown,2025-08-08,3,T3_T5,30.0,T21_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
aca157e674c3df75,SH600000,2025-10-14,robustness,momentum_rps|price_trend|range_breakout|volatility_band,4,censored_or_invalid,pullback_drawdown,2025-10-17,3,T3_T5,10.0,T6_T10,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
46428b16aa502c46,SH600000,2025-12-12,robustness,range_breakout|volume_money,2,censored_or_invalid,oscillator,2025-12-29,11,T11_T20,22.0,T21_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
7e9d0368c654080e,SH600009,2017-10-11,train,range_breakout,1,good_path,pullback_drawdown,2017-10-16,3,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
ad7b85406db5cad9,SH600009,2017-12-13,train,oscillator|range_breakout,2,good_path,price_trend,2018-01-15,22,T21_T30,40.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
f1f511f8115c5f6d,SH600009,2018-01-26,train,momentum_rps|pullback_drawdown,2,bad_path,range_breakout,2018-02-01,4,T3_T5,9.0,T6_T10,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
a6ccb5361b55faf5,SH600009,2018-03-22,train,volume_money,1,bad_path,none,none,none,none,14.0,T11_T20,not_applicable,seed_failed_before_fresh,failed_before_fresh,survived_t10,include_labeled
c6705c08f7fe7c4d,SH600009,2018-05-10,train,momentum_rps|price_trend|pullback_drawdown|range_breakout|volatility_band,5,bad_path,none,none,none,none,0.0,T0_T2,not_applicable,seed_failed_before_t3,failed_before_t3,not_survived_t3,include_labeled
6dcb8f751ca03d7f,SH600009,2018-07-10,train,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,6,bad_path,none,none,none,none,18.0,T11_T20,not_applicable,seed_failed_before_fresh,failed_before_fresh,survived_t10,include_labeled
a02d0e296c7c37f6,SH600009,2018-09-19,train,range_breakout|volume_money,2,bad_path,pullback_drawdown,2018-09-25,3,T3_T5,9.0,T6_T10,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
ee4a4feb56d99aa3,SH600009,2018-12-03,train,price_trend|range_breakout|volume_money,3,bad_path,none,none,none,none,26.0,T21_T30,not_applicable,seed_failed_before_fresh,failed_before_fresh,survived_t10,include_labeled
ee1da0cc31266274,SH600009,2019-01-18,train,volume_money,1,bad_path,none,none,none,none,3.0,T3_T5,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t3,include_labeled
d95f3a25010a1929,SH600009,2019-03-19,train,oscillator|range_breakout,2,good_path,volume_money,2019-03-22,3,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
9aaf7c5cb8c24e5a,SH600009,2019-05-07,train,price_trend|pullback_drawdown|range_breakout,3,bad_path,none,none,none,none,1.0,T0_T2,not_applicable,seed_failed_before_t3,failed_before_t3,not_survived_t3,include_labeled
feacfbf8ee599337,SH600009,2019-06-20,train,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,7,good_path,none,none,none,none,84.0,after_T30,not_applicable,none_within_t3_t30,no_fresh_observed,survived_t10,include_labeled
559286d613bf2a72,SH600009,2019-08-15,train,range_breakout,1,bad_path,pullback_drawdown,2019-08-22,5,T3_T5,31.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t5,include_labeled
cdf3a58984be40f8,SH600009,2019-11-04,train,pullback_drawdown|range_breakout,2,bad_path,none,none,none,none,13.0,T11_T20,not_applicable,seed_failed_before_fresh,failed_before_fresh,survived_t10,include_labeled
1cc50a2874dac717,SH600009,2019-12-20,train,range_breakout,1,bad_path,none,none,none,none,9.0,T6_T10,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t10,include_labeled
c5ffd205f7397cc2,SH600009,2020-02-12,train,range_breakout,1,bad_path,none,none,none,none,7.0,T6_T10,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t10,include_labeled
e240dcac41850f87,SH600009,2020-04-09,train,momentum_rps|range_breakout,2,good_path,oscillator,2020-04-17,6,T6_T10,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t5,include_labeled
ed2383a3ddd1a082,SH600009,2020-05-29,train,momentum_rps|oscillator|price_trend|range_breakout|volume_money,5,bad_path,pullback_drawdown,2020-06-03,3,T3_T5,37.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
568d0aa9cb26add8,SH600009,2020-08-11,train,range_breakout|volume_money,2,good_path,momentum_rps,2020-08-14,3,T3_T5,47.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
ffd5703df672e2e3,SH600009,2020-10-14,train,range_breakout,1,bad_path,none,none,none,none,7.0,T6_T10,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t10,include_labeled
3d6d360583a61be6,SH600009,2020-11-26,train,range_breakout,1,bad_path,none,none,none,none,7.0,T6_T10,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t10,include_labeled
07ec3d4dca6955fd,SH600009,2021-01-13,train,range_breakout|volume_money,2,bad_path,none,none,none,none,0.0,T0_T2,not_applicable,seed_failed_before_t3,failed_before_t3,not_survived_t3,include_labeled
e8b9dc2c477d7fc1,SH600009,2021-03-16,train,momentum_rps|price_trend|pullback_drawdown|range_breakout,4,bad_path,none,none,none,none,4.0,T3_T5,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t5,include_labeled
e11d4147a0a728df,SH600009,2021-05-18,train,price_trend|volatility_band,2,good_path,range_breakout,2021-05-25,5,T3_T5,32.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t5,include_labeled
f515943dbe63eb72,SH600009,2021-09-30,train,range_breakout,1,censored_or_invalid,momentum_rps,2021-10-12,3,T3_T5,37.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
de18395e53c5494f,SH600009,2021-12-03,train,pullback_drawdown,1,censored_or_invalid,none,none,none,none,9.0,T6_T10,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t10,include_labeled
faa5f5f29fdd3e68,SH600009,2022-01-20,validation,range_breakout|volume_money,2,bad_path,momentum_rps,2022-01-25,3,T3_T5,5.0,T3_T5,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
ba1d6017797d6ef9,SH600009,2022-03-21,validation,momentum_rps|price_trend|pullback_drawdown,3,bad_path,none,none,none,none,4.0,T3_T5,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t5,include_labeled
192490104aa3ad60,SH600009,2022-07-22,validation,range_breakout|volume_money,2,good_path,oscillator,2022-07-28,4,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
1f6cb8f20e5ae7c3,SH600009,2022-09-08,validation,momentum_rps|price_trend|range_breakout|volatility_band,4,bad_path,volume_money,2022-09-19,6,T6_T10,16.0,T11_T20,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t5,include_labeled
35a6ca8337402fe7,SH600009,2022-11-01,validation,pullback_drawdown|range_breakout|volume_money,3,bad_path,price_trend,2022-11-04,3,T3_T5,8.0,T6_T10,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
6e2f02a1c3e95480,SH600009,2022-12-14,validation,momentum_rps|pullback_drawdown|range_breakout,3,bad_path,none,none,none,none,10.0,T6_T10,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t10,include_labeled
2e8bd1297d2bcdbe,SH600009,2023-02-13,validation,range_breakout|volume_money,2,bad_path,none,none,none,none,8.0,T6_T10,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t10,include_labeled
a5ea5b1739a5f673,SH600009,2023-03-30,validation,range_breakout,1,bad_path,oscillator,2023-04-04,3,T3_T5,15.0,T11_T20,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
8e086dcb3f91fb8f,SH600009,2023-06-15,validation,range_breakout,1,bad_path,none,none,none,none,8.0,T6_T10,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t10,include_labeled
165a46ef1fe547f0,SH600009,2023-08-01,validation,pullback_drawdown,1,censored_or_invalid,range_breakout,2023-08-10,7,T6_T10,13.0,T11_T20,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t5,include_labeled
67a781b68003e2c1,SH600009,2023-10-27,validation,volatility_band,1,censored_or_invalid,range_breakout,2023-11-06,6,T6_T10,26.0,T21_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t5,include_labeled
812f942daf8fe227,SH600009,2023-12-28,validation,volume_money,1,censored_or_invalid,none,none,none,none,5.0,T3_T5,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t5,include_labeled
d01df08fb4933882,SH600009,2024-02-20,robustness,pullback_drawdown,1,bad_path,range_breakout,2024-03-04,9,T6_T10,75.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t5,include_labeled
c6457c3103289f5b,SH600009,2024-04-17,robustness,range_breakout,1,bad_path,oscillator,2024-04-26,7,T6_T10,28.0,T21_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t5,include_labeled
6f72126b83ac5157,SH600009,2024-07-03,robustness,volatility_band,1,bad_path,range_breakout,2024-07-09,4,T3_T5,48.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
bc4bbec2ea2192d4,SH600009,2024-09-24,robustness,price_trend|volatility_band,2,good_path,oscillator,2024-09-27,3,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
824069b2b7de31a3,SH600009,2024-12-11,robustness,range_breakout,1,bad_path,none,none,none,none,5.0,T3_T5,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t5,include_labeled
b2e836e378acda9b,SH600009,2025-01-24,robustness,range_breakout,1,bad_path,none,none,none,none,43.0,after_T30,not_applicable,none_within_t3_t30,no_fresh_observed,survived_t10,include_labeled
c42ae8977052f45b,SH600009,2025-03-25,robustness,range_breakout|volatility_band,2,bad_path,none,none,none,none,7.0,T6_T10,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t10,include_labeled
738d9b5850406337,SH600009,2025-05-14,robustness,range_breakout,1,neutral_path,volume_money,2025-06-11,19,T11_T20,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
4e20cb8bf80b2caa,SH600009,2025-07-14,robustness,range_breakout,1,censored_or_invalid,oscillator,2025-07-18,4,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
d77a3bcf66f9e75f,SH600009,2025-08-26,robustness,range_breakout|volatility_band|volume_money,3,censored_or_invalid,none,none,none,none,27.0,T21_T30,not_applicable,seed_failed_before_fresh,failed_before_fresh,survived_t10,include_labeled
c2a007da9f33de26,SH600009,2025-10-30,robustness,range_breakout,1,censored_or_invalid,oscillator,2025-11-10,7,T6_T10,65.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t5,include_labeled
6466c18de821d088,SH600009,2025-12-18,robustness,pullback_drawdown|range_breakout|volatility_band|volume_money,4,censored_or_invalid,momentum_rps,2025-12-23,3,T3_T5,18.0,T11_T20,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
34656f4c2529b864,SH600010,2017-10-27,train,range_breakout|volume_money,2,bad_path,none,none,none,none,4.0,T3_T5,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t5,include_labeled
7907f621d88c61b7,SH600010,2018-01-08,train,range_breakout|volume_money,2,bad_path,oscillator,2018-01-25,13,T11_T20,18.0,T11_T20,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
44905d0dc1c1ea85,SH600010,2018-07-20,train,range_breakout|volume_money,2,good_path,momentum_rps,2018-07-25,3,T3_T5,40.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
0e3e417ee4fa1718,SH600010,2018-09-20,train,range_breakout,1,good_path,oscillator,2018-09-26,3,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
abd11ce88c46d8ae,SH600010,2018-11-13,train,oscillator|range_breakout|volume_money,3,bad_path,pullback_drawdown,2018-11-16,3,T3_T5,10.0,T6_T10,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
f9030cdaa70a7420,SH600010,2019-01-11,train,range_breakout,1,good_path,volume_money,2019-01-17,4,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
408a2dd5953caa34,SH600010,2019-03-04,train,momentum_rps|pullback_drawdown|range_breakout|volatility_band,4,good_path,oscillator,2019-03-07,3,T3_T5,38.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
b53b77ccba82af2e,SH600010,2019-05-16,train,momentum_rps|price_trend|range_breakout|volatility_band|volume_money,5,bad_path,none,none,none,none,0.0,T0_T2,not_applicable,seed_failed_before_t3,failed_before_t3,not_survived_t3,include_labeled
07ca1d0e46a285e4,SH600010,2019-08-20,train,range_breakout,1,bad_path,oscillator,2019-09-04,11,T11_T20,44.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
d8f92fa796ce6c7d,SH600010,2019-10-14,train,range_breakout|volume_money,2,bad_path,none,none,none,none,11.0,T11_T20,not_applicable,seed_failed_before_fresh,failed_before_fresh,survived_t10,include_labeled
19e231c337d72a63,SH600010,2019-12-16,train,range_breakout,1,bad_path,volume_money,2019-12-27,9,T6_T10,26.0,T21_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t5,include_labeled
05d7f81e0c8249f1,SH600010,2020-02-17,train,range_breakout|volatility_band,2,bad_path,volume_money,2020-02-26,7,T6_T10,18.0,T11_T20,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t5,include_labeled
62fc2262ab8dc911,SH600010,2020-04-07,train,range_breakout,1,bad_path,none,none,none,none,14.0,T11_T20,not_applicable,seed_failed_before_fresh,failed_before_fresh,survived_t10,include_labeled
684fbbcb1c6aafd5,SH600010,2020-05-27,train,volatility_band|volume_money,2,good_path,range_breakout,2020-06-16,14,T11_T20,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
7a068518e5518f63,SH600010,2020-07-13,train,pullback_drawdown,1,bad_path,none,none,none,none,1.0,T0_T2,not_applicable,seed_failed_before_t3,failed_before_t3,not_survived_t3,include_labeled
54aa1fbed71b8d4d,SH600010,2020-09-08,train,range_breakout|volume_money,2,good_path,none,none,none,none,101.0,after_T30,not_applicable,none_within_t3_t30,no_fresh_observed,survived_t10,include_labeled
1d9c240d6e262b4a,SH600010,2020-11-05,train,volume_money,1,good_path,range_breakout,2020-11-10,3,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
0848fa5aba0e8f1a,SH600010,2020-12-18,train,range_breakout,1,neutral_path,volume_money,2021-01-07,13,T11_T20,29.0,T21_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
0c347fb706ba593e,SH600010,2021-02-03,train,volume_money,1,bad_path,none,none,none,none,2.0,T0_T2,not_applicable,seed_failed_before_t3,failed_before_t3,not_survived_t3,include_labeled
8647a4d91ec11808,SH600010,2021-04-07,train,pullback_drawdown|range_breakout,2,bad_path,momentum_rps,2021-04-12,3,T3_T5,13.0,T11_T20,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
4857c0c0c7f23f00,SH600010,2021-06-03,train,range_breakout|volume_money,2,bad_path,none,none,none,none,8.0,T6_T10,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t10,include_labeled
a7bc89408d709c36,SH600010,2021-07-19,train,momentum_rps,1,censored_or_invalid,oscillator,2021-07-22,3,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
