artifact_key,artifact_role,required_flag,resolver_alias,resolved_path,relative_path,source_experiment_id,source_phase_id,row_count,sha256,source_kind,cache_sha256,cache_hash_validated,cache_hash_manifest_status,cache_schema_validated,cache_key_reconciliation_gate,expected_feature_row_n,observed_feature_row_n,expected_matrix_identity_key_n,observed_matrix_identity_key_n,schema_status,read_status,absolute_path_mismatch_ignored,blocking_reason
eighteen_a_o5_incremental_definition_replay,eighteen_a_handoff,required,eighteen_a_o5_incremental_definition_replay,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/o5_incremental_definition_replay.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/o5_incremental_definition_replay.csv,18_payoff_state_representation_research,18A,3,ab481fc339f129754ae259fe517339e488bc3798dffaa582345b0fa4d6bf7229,,,,,,,,,,,pass,pass,False,
eighteen_a_payoff_cutoff_freeze,eighteen_a_handoff,required,eighteen_a_payoff_cutoff_freeze,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/payoff_cutoff_freeze.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/payoff_cutoff_freeze.csv,18_payoff_state_representation_research,18A,3,90f11e08b53b144c72986a79a27ccc87e68813410978c4b647db0f613dceec4a,,,,,,,,,,,pass,pass,False,
eighteen_a_target_definition_registry,eighteen_a_handoff,required,eighteen_a_target_definition_registry,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_definition_registry.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_definition_registry.csv,18_payoff_state_representation_research,18A,6,a1defde0c5fc74b78c05f17e08494aa1d2e55f960d8eb4daa0a0d7cdc26c878e,,,,,,,,,,,pass,pass,False,
eighteen_a_target_distribution_readout,eighteen_a_handoff,required,eighteen_a_target_distribution_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_distribution_readout.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_distribution_readout.csv,18_payoff_state_representation_research,18A,15,b6e8942adea2bb822625fcfd7f70b6f3eea98f2edde2483cf807f1012a1a67be,,,,,,,,,,,pass,pass,False,
eighteen_a_path_risk_target_audit,eighteen_a_handoff,required,eighteen_a_path_risk_target_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/path_risk_target_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/path_risk_target_audit.csv,18_payoff_state_representation_research,18A,9,337ef3fffa068d9b08adcf374ccd108860d678a53726ad8f7cb2240b4dabf482,,,,,,,,,,,pass,pass,False,
eighteen_a_neutral_preservation_audit,eighteen_a_handoff,required,eighteen_a_neutral_preservation_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/neutral_preservation_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/neutral_preservation_audit.csv,18_payoff_state_representation_research,18A,3,ad2e1bf16fc9ef2f0c06f580df978031798cf809fa73e534c2bd0ec25091f3df,,,,,,,,,,,pass,pass,False,
eighteen_a_feature_source_inventory,eighteen_a_feature_source_contract,required,eighteen_a_feature_source_inventory,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/feature_source_inventory.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/feature_source_inventory.csv,18_payoff_state_representation_research,18A,7,ef9b72a8481ef96f17e1e5990f3dd186173d5ffa6f5ec62d657f1b150257624a,,,,,,,,,,,pass,pass,False,
eighteen_a_leakage_forbidden_column_audit,eighteen_a_handoff,required,eighteen_a_leakage_forbidden_column_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/leakage_forbidden_column_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/leakage_forbidden_column_audit.csv,18_payoff_state_representation_research,18A,11,7cad8bc89a8df6103fb7e46048b4b57128d8f830033dfa9a5120bd36fddbdca6,,,,,,,,,,,pass,pass,False,
eighteen_a_search_accounting_audit,eighteen_a_handoff,required,eighteen_a_search_accounting_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/search_accounting_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/search_accounting_audit.csv,18_payoff_state_representation_research,18A,1,e9e4dc5d36cf666a8c7a906bc0666f026145eaf768c8c5d20df05017fa1108cb,,,,,,,,,,,pass,pass,False,
eighteen_a_manifest,eighteen_a_manifest,required,eighteen_a_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/18A_payoff_state_contract_preflight_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/18A_payoff_state_contract_preflight_manifest.json,18_payoff_state_representation_research,18A,1,1d7d4162874e09ce53e656e53f90105ebfb516173fadda0da76ba82ce6743e1e,,,,,,,,,,,pass,pass,False,
eighteen_a_input_artifact_manifest,eighteen_a_manifest,required,eighteen_a_input_artifact_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/input_artifact_manifest_18a.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/input_artifact_manifest_18a.json,18_payoff_state_representation_research,18A,1,caf3ca1ca783738ebcaadf02929d379d9589d81c8da61303c3f135712a9010b9,,,,,,,,,,,pass,pass,False,
eighteen_a_target_contract_manifest,eighteen_a_manifest,required,eighteen_a_target_contract_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/payoff_state_target_contract_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/payoff_state_target_contract_manifest.json,18_payoff_state_representation_research,18A,1,96874e6c4e3eb5588742e588e3a0abcb2dc9f14ca29e4f4a72fb27ffaeaa6bad,,,,,,,,,,,pass,pass,False,
sixteen_c_t0_feature_panel,primary_row_level_feature_source,required,sixteen_c_t0_feature_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16C_sequential_continuation_separability_diagnostic/t0_feature_panel.parquet,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16C_sequential_continuation_separability_diagnostic/t0_feature_panel.parquet,16_winner_episode_sequential_sampling_geometry_preflight_v0,16C,23405,c7ee66c65fe8795125e45290d0cd0a2f1bdd8ba64469e50c6e6d2a49f86bdeed,validated_local_cache,c7ee66c65fe8795125e45290d0cd0a2f1bdd8ba64469e50c6e6d2a49f86bdeed,False,not_available_nonblocking,True,pass,23405.0,23405.0,23405.0,23405.0,pass,pass,False,
sixteen_c_t0_feature_contract,sixteen_c_feature_contract,required,sixteen_c_t0_feature_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/t0_feature_contract.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/t0_feature_contract.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16C,50,f3b81836448289206909a85d64131d5f61dc54540e1a0294cb81d312d6ac080c,,,,,,,,,,,pass,pass,False,
sixteen_c_t0_feature_lineage_audit,sixteen_c_feature_contract,required,sixteen_c_t0_feature_lineage_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/t0_feature_lineage_audit.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/t0_feature_lineage_audit.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16C,27,7374a49744ef38fb0a80a8f1eff77a5569dd48b778e867f649ac65e5a12d8cb1,,,,,,,,,,,pass,pass,False,
sixteen_c_t0_feature_leakage_audit,sixteen_c_feature_contract,required,sixteen_c_t0_feature_leakage_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/t0_feature_leakage_audit.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/t0_feature_leakage_audit.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16C,27,cf3ceece4411be7103c3f5d297fca75671c87c64b422f44247a1ee14eafd77d4,,,,,,,,,,,pass,pass,False,
sixteen_c_t0_feature_coverage_audit,sixteen_c_feature_contract,required,sixteen_c_t0_feature_coverage_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/t0_feature_coverage_audit.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/t0_feature_coverage_audit.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16C,81,1ea932b571738ff6b5a94b841cac902e55caf78088cb145476e8773982a1afca,,,,,,,,,,,pass,pass,False,
sixteen_c_manifest,sixteen_c_manifest,required,sixteen_c_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16C_sequential_continuation_separability_diagnostic_manifest.json,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16C_sequential_continuation_separability_diagnostic_manifest.json,16_winner_episode_sequential_sampling_geometry_preflight_v0,16C,1,fdf564a7f159fe2311d0397fa479f378d3de8bec585e173c7584f8a821209a4a,,,,,,,,,,,pass,pass,False,
sixteen_b_label_panel_readout,primary_row_level_target_source,required,sixteen_b_label_panel_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_panel_readout.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_panel_readout.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16B,504580,00da5fd9e222c216bc5522d53efce5bde796827d1902e398c9bd1ca68b54edfd,publishable_full_panel,,,,,pass,23405.0,23405.0,23405.0,23405.0,pass,pass,False,
