artifact_key,artifact_role,required_flag,resolver_alias,resolved_path,relative_path,source_experiment_id,source_phase_id,row_count,column_count,sha256,source_kind,cache_sha256,cache_hash_validated,cache_hash_manifest_status,schema_status,read_status,key_reconciliation_status,expected_row_n,observed_row_n,absolute_path_mismatch_ignored,blocking_reason
eighteen_b_feature_lineage_audit,ep18_current_feature_lineage,True,ep18_current_feature_matrix,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/feature_lineage_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/feature_lineage_audit.csv,18_payoff_state_representation_research,18B,23,10,917a527a5f3e17f90b8a7b9d1eb635cb94546d2c72334b0b35f47ce3aa8682cc,csv,,,not_checked,pass,pass,not_checked,,,False,
eighteen_b_feature_family_coverage,ep18_current_feature_family_coverage,True,ep18_current_feature_matrix,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/feature_family_coverage.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/feature_family_coverage.csv,18_payoff_state_representation_research,18B,7,13,0666876f334019924500cdcb30102183e381ac0aeb453b4682356601d7505f01,csv,,,not_checked,pass,pass,not_checked,,,False,
eighteen_b_train_only_preprocessing_audit,ep18_current_feature_preprocessing,True,ep18_current_feature_matrix,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/train_only_preprocessing_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/train_only_preprocessing_audit.csv,18_payoff_state_representation_research,18B,23,22,40da94fee0ac2bff5c79265084e343f8d9717e4e7e88ef1d2f1d8d3ec86f589e,csv,,,not_checked,pass,pass,not_checked,,,False,
eighteen_b_decision,ep18_current_feature_decision,True,ep18_current_feature_matrix,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/payoff_state_feature_matrix_decision.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/payoff_state_feature_matrix_decision.csv,18_payoff_state_representation_research,18B,1,23,2cc0b5e1962fb794be4535075d9529103f9790223d0081456da84c40ebfedabc,csv,,,not_checked,pass,pass,not_checked,,,False,
eighteen_b_manifest,ep18_current_feature_manifest,True,ep18_current_feature_matrix,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/18B_payoff_state_feature_matrix_audit_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/18B_payoff_state_feature_matrix_audit_manifest.json,18_payoff_state_representation_research,18B,1,0,9f9945356f70cd30352806fc5f547d190d2000fdcdaee76a727a1ae56acd5921,json,,,not_checked,pass,pass,not_checked,,,False,
eighteen_b_matrix_manifest,ep18_current_matrix_manifest,True,ep18_current_feature_matrix,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/payoff_state_feature_matrix_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/payoff_state_feature_matrix_manifest.json,18_payoff_state_representation_research,18B,1,0,b22f0dbbb13ae60b452c2ffab89bc116f5f799175f26931fbe2e5150a65153b6,json,,,not_checked,pass,pass,not_checked,,,False,
eighteen_d_decision,ep18d_decision,True,eighteen_d_handoff,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18D_payoff_state_feature_representation_diagnostic/representation_refresh_decision.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18D_payoff_state_feature_representation_diagnostic/representation_refresh_decision.csv,18_payoff_state_representation_research,18D,1,23,17862b66d9113b8ea1b30e701c005a69fa93cda2cadd9f6e5fa58c80133d86dd,csv,,,not_checked,pass,pass,not_checked,,,False,
eighteen_d_family_prioritization,ep18d_family_prioritization,True,eighteen_d_handoff,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18D_payoff_state_feature_representation_diagnostic/feature_family_candidate_prioritization.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18D_payoff_state_feature_representation_diagnostic/feature_family_candidate_prioritization.csv,18_payoff_state_representation_research,18D,5,17,de073bd45b5b3546db5ecd3c6e10006c32ccbdac30d01ad0f0cd10dbc4189cb2,csv,,,not_checked,pass,pass,not_checked,,,False,
eighteen_d_candidate_inventory,ep18d_candidate_inventory,True,eighteen_d_handoff,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18D_payoff_state_feature_representation_diagnostic/candidate_feature_inventory.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18D_payoff_state_feature_representation_diagnostic/candidate_feature_inventory.csv,18_payoff_state_representation_research,18D,41,19,bd482f876d2817395432153d197a46baa4d68a0f4091254fbbcc2c735119037a,csv,,,not_checked,pass,pass,not_checked,,,False,
eighteen_d_candidate_lineage,ep18d_candidate_lineage,True,eighteen_d_handoff,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18D_payoff_state_feature_representation_diagnostic/candidate_feature_lineage_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18D_payoff_state_feature_representation_diagnostic/candidate_feature_lineage_audit.csv,18_payoff_state_representation_research,18D,41,27,aa3fe739f04b1b77e5fd9a3ac82797c2dad7587ed12079f3b296d624a6e12eff,csv,,,not_checked,pass,pass,not_checked,,,False,
eighteen_d_candidate_pit_availability,ep18d_candidate_pit,True,eighteen_d_handoff,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18D_payoff_state_feature_representation_diagnostic/candidate_feature_pit_availability_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18D_payoff_state_feature_representation_diagnostic/candidate_feature_pit_availability_audit.csv,18_payoff_state_representation_research,18D,41,13,a5dbf418dd2186b0494f522ae60ca75d2b8948f9ed49bdf032f43ac30a06c6da,csv,,,not_checked,pass,pass,not_checked,,,False,
eighteen_d_orthogonal_readout,ep18d_orthogonal_readout,True,eighteen_d_handoff,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18D_payoff_state_feature_representation_diagnostic/orthogonal_payoff_information_readout.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18D_payoff_state_feature_representation_diagnostic/orthogonal_payoff_information_readout.csv,18_payoff_state_representation_research,18D,159,20,119df44a7759d213fffd7e1cc2a62c868682cccc1dad852048a93a9d38fd02e2,csv,,,not_checked,pass,pass,not_checked,,,False,
eighteen_d_search_accounting,ep18d_search_accounting,True,eighteen_d_handoff,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18D_payoff_state_feature_representation_diagnostic/search_accounting_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18D_payoff_state_feature_representation_diagnostic/search_accounting_audit.csv,18_payoff_state_representation_research,18D,20,5,8ff338b86085efab83aa3c2555f707aace6b540ff9713755d77728448294ff69,csv,,,not_checked,pass,pass,not_checked,,,False,
eighteen_d_report,ep18d_report,True,eighteen_d_handoff,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/reports/payoff_state_feature_representation_diagnostic_report.md,experiments/pending/18_payoff_state_representation_research/outputs/publishable/reports/payoff_state_feature_representation_diagnostic_report.md,18_payoff_state_representation_research,18D,358,0,1763c81e10b03affc6e65b97e513b18f68218d30384629b4d762e4eacaa6c0a4,md,,,not_checked,pass,pass,not_checked,,,False,
eighteen_d_manifest,ep18d_manifest,True,eighteen_d_handoff,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/18D_payoff_state_feature_representation_diagnostic_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/18D_payoff_state_feature_representation_diagnostic_manifest.json,18_payoff_state_representation_research,18D,1,0,fea7d3551547bc064a3edb8d4b209367fe71f891735242802f0203c68c4f320e,json,,,not_checked,pass,pass,not_checked,,,False,
eighteen_d_input_artifact_manifest,ep18d_input_manifest,True,eighteen_d_handoff,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/input_artifact_manifest_18d.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/input_artifact_manifest_18d.json,18_payoff_state_representation_research,18D,1,0,4529f449f6342db8acfb403c16f5a3457f8791d6c19b2e3c1a495603ef6472b5,json,,,not_checked,pass,pass,not_checked,,,False,
sixteen_b_label_step_panel,geometry_step_source,True,episode_geometry_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16B_sequential_continuation_label_design_diagnostic/continuation_label_step_panel.parquet,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16B_sequential_continuation_label_design_diagnostic/continuation_label_step_panel.parquet,16_winner_episode_sequential_sampling_geometry_preflight_v0,16B,504580,23,5199f61ea9a625a92eb0e5a0f86deed73fc539d65e74ee2623cadbc16700f2f1,parquet,,,not_checked,pass,pass,not_checked,,,False,
sixteen_b_materialized_step_panel,geometry_interval_source,True,episode_geometry_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16B_sequential_continuation_label_design_diagnostic/materialized_step_panel.parquet,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16B_sequential_continuation_label_design_diagnostic/materialized_step_panel.parquet,16_winner_episode_sequential_sampling_geometry_preflight_v0,16B,504580,15,962d90429193dc6171e0693ec3898f1c5c8d13b982163bd5c347481580f3a600,parquet,,,not_checked,pass,pass,not_checked,,,False,
sixteen_b_label_panel_readout,geometry_publishable_readout,True,episode_geometry_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_panel_readout.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_panel_readout.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16B,504580,20,00da5fd9e222c216bc5522d53efce5bde796827d1902e398c9bd1ca68b54edfd,csv,,,not_checked,pass,pass,not_checked,,,False,
sixteen_a_episode_interval_panel,geometry_episode_interval_source,True,episode_geometry_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16A_sequential_sampling_geometry_preflight/episode_interval_panel.parquet,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16A_sequential_sampling_geometry_preflight/episode_interval_panel.parquet,16_winner_episode_sequential_sampling_geometry_preflight_v0,16A,2867,14,f9d88fdf96a4ea59406ddbc18583a4af0fcabf388cd28453196ca82f4159603b,parquet,,,not_checked,pass,pass,not_checked,,,False,
stock_daily_qfq_dir,qfq_price_and_money_source,True,pit_price_path_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,data/raw/akshare/day/qfq,local_akshare_cache,qfq_daily,4597,12,57eff7496328923096814494a6a683a9617b35e40ba12645567989180d913f84,directory,57eff7496328923096814494a6a683a9617b35e40ba12645567989180d913f84,,not_checked,pass,pass,not_checked,,,False,
