artifact_id,path,artifact_type,exists,size_bytes,sha256_or_root_hash,schema_status,read_authorized,status
ep20_execution_audit,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract/freeze/execution_and_cost_inheritance_audit.csv,file,true,413,c83822e2438fc211e683a14e5038adce996f3441ebb6693cc1dabb05e234467b,pass,true,pass
ep20_fill_rule,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract/freeze/execution_fill_and_exit_rule_freeze.csv,file,true,1002,7bce5a79d366b4a70dac915cb9582c99f1aaa13b12759fd7db8dcd717b32bf98,pass,true,pass
ep20_hashes,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract/output_hashes_20a_paper_lineage_data_and_replication_contract.json,file,true,379,cbd05bc7bf39c084ce488fafb40d3362b805e4065fc252e67e21964f64d27f6b,pass,true,pass
ep20_label_rule,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract/freeze/label_completion_and_censoring_rule_freeze.csv,file,true,1156,eac7026d16266d32417ebbe46517c490e1f8ab55e66e28ebf18de59c1f975215,pass,true,pass
ep20_manifest,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract/manifest_20a_paper_lineage_data_and_replication_contract.json,file,true,602,5af3b27b0189dfc935b3622cf004a250de793b5e1aef07917866cb3b8245eda4,pass,true,pass
ep20_nav,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract/freeze/stateful_portfolio_accounting_and_nav_freeze.csv,file,true,1019,09ca469fe5f0eebc46024322e658a363db32af30d2ba438537a3144bceea482a,pass,true,pass
ep20_price_limit,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/references/market_rules/a_share_price_limit_rules_v1.csv,file,true,5018,236f0fc2e3f6d8f48a2981707862d4cdb015e123f2e6fecd874bbb2e93baa897,pass,true,pass
ep20_qfq_audit,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract/freeze/qfq_schema_unit_and_coverage_audit.csv,file,true,1400,9d602ea1fe76fba9d997d921dce04b2620285009864776eee24c96b3b4be75ae,pass,true,pass
executable_universe,topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,file,true,495306944,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,pass,true,pass
membership,topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_membership_daily.csv,file,true,482973922,982cc6930b27c4b255f019af5180ef835667280b841154af8c2ca9b0138a863b,pass,true,pass
paper,topics/02_AFML_BIG_WINNER/experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/paper/Residual-Enhanced_Adaptive_Koopman_Autoencoder_A_Deep_Latent_Dynamics_Model_for_Stock_Prediction.pdf,file,true,1451763,1041d8693c5ef80fcafc613d77f09bf3ec2a2df673f468785255da27d7d9a472,pass,true,pass
pyproject,topics/02_AFML_BIG_WINNER/pyproject.toml,file,true,1010,cd2d0cff7728be686b59ca14b63c35d6050af6b5ff3a2305fa2e50e606d8dd66,pass,true,pass
qfq_root,topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,directory,true,985335295,3be5179aa1250bfe8f7a91c7bae0552a35466aefa52b692538c953aa5a475714,pass,true,pass
raw_ohlcv_root,topics/02_AFML_BIG_WINNER/data/raw/akshare/day/raw,directory,true,985866365,10b627e887b75e4f4dbcae0b0ef9a24209f9068a11c3eaa75148e8477803d000,pass,true,pass
reference_formula_review_authorization,topics/02_AFML_BIG_WINNER/experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21a/formula_review_authorization.json,file,true,1369,c06357ac5caab625724e76c7c3abb3ec34f00a694dfa65fc42a3bf378b2afd65,pass,true,pass
reference_formula_review_packet,topics/02_AFML_BIG_WINNER/experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21a/formula_review_packet.md,file,true,9566,81569b398d9aca90888202c59b1c95eae2e846ac08c378f6da9ad7aac4ae2563,pass,true,pass
reference_paper_formula_registry_draft,topics/02_AFML_BIG_WINNER/experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21a/paper_formula_registry_draft.csv,file,true,17447,a9463725b0df03c8a0aedc5fe66a31ebf61b63f9d35b80fe5b1241a1b3680d7c,pass,true,pass
reference_source_availability_manifest,topics/02_AFML_BIG_WINNER/experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21a/source_availability_manifest.csv,file,true,1347,f8f2a2d160c52b10a9b8c3c9f5ad8961ed23fc7b69951e420ab78061a4e9b2a0,pass,true,pass
requirement,topics/02_AFML_BIG_WINNER/experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/requirement_21a_paper_lineage_pit_data_and_architecture_contract.md,file,true,137524,36b15fac14ba695bc2e258cfef8afc80085bcf265f6758acfba7a672f77be23a,pass,true,pass
requirements,topics/02_AFML_BIG_WINNER/requirements.txt,file,true,296,f5be199c2d2bfef623f8781b2dc71047f8a05ef3d6348d43dfc40478e07b7af1,pass,true,pass
research_plan,topics/02_AFML_BIG_WINNER/experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/research_plan.md,file,true,60101,cb3e45f874df5c632950a2586e45a4465e36b3e6c5d5cc65c0f7ff3118784c95,pass,true,pass
runner,topics/02_AFML_BIG_WINNER/experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/src/run_21a_paper_lineage_pit_data_and_architecture_contract.py,file,true,285852,e75b7e895ee9a6138505da83e3b0977fd04dd5da9308930841220c95a3273898,pass,true,pass
security_master,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/instrument_metadata_target_universe.csv,file,true,412496,3175ae478bbfe9729d2b45cc0c8ca373fe903ee8d9acc9a96fed111441452601,pass,true,pass
test,topics/02_AFML_BIG_WINNER/experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/tests/test_21a_paper_lineage_pit_data_and_architecture_contract.py,file,true,41023,085a256fa07aaef9473b57dabb8bf56217021cffd5ea94d7da2bb20741a6ff9c,pass,true,pass
trading_calendar,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/trading_calendar.csv,file,true,96778,1d5ff82a6718fc4e19b95c98456813043b30aeaa1b452d591376b1d427c2b60d,pass,true,pass
universe_intervals,topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_intervals.csv,file,true,430629,a2a95edb70f19eeb2d520dd226813733f2aef74e5d3afce822a9e48ac00dcda5,pass,true,pass
uv_lock,topics/02_AFML_BIG_WINNER/uv.lock,file,true,619497,95b1c429f48b9ef1e950d1639334cdcc8633cb1536213e4f236b15e7b00b4e60,pass,true,pass
