family_id,variant_id,family_variant_id,input_series,transform,lookback_window,threshold_grid,direction,confirmation_window,cooldown_or_density_window,missing_policy,event_regime_gating,event_t0_confirmation_time,fallback_policy,family_input_status
R6_market_breadth_thrust,ungated,R6_market_breadth_thrust__ungated,Top-N/proxy cross-section,Top-N/proxy breadth z-score/change thrust plus stock leadership,5/10/20/60/120 sessions depending on formula spec,"{""momentum_percentile_20d"": [0.7], ""up_share_change_5d"": [0.12], ""up_share_z"": [1.0]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,ungated,t0_close_next_open_executable,,runnable_existing_data
R6_market_breadth_thrust,event_regime_gated,R6_market_breadth_thrust__event_regime_gated,Top-N/proxy cross-section,Top-N/proxy breadth z-score/change thrust plus stock leadership,5/10/20/60/120 sessions depending on formula spec,"{""momentum_percentile_20d"": [0.7], ""up_share_change_5d"": [0.12], ""up_share_z"": [1.0]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,event_regime_gated,t0_close_next_open_executable,,runnable_existing_data
R7_cross_sectional_momentum_rank_jump,ungated,R7_cross_sectional_momentum_rank_jump__ungated,Top-N/proxy cross-section,cross-sectional momentum percentile jump,5/10/20/60/120 sessions depending on formula spec,"{""lag_momentum_percentile_20d_max"": [0.5], ""momentum_percentile_20d"": [0.8], ""rank_jump_lookback"": [20]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,ungated,t0_close_next_open_executable,,runnable_existing_data
R7_cross_sectional_momentum_rank_jump,event_regime_gated,R7_cross_sectional_momentum_rank_jump__event_regime_gated,Top-N/proxy cross-section,cross-sectional momentum percentile jump,5/10/20/60/120 sessions depending on formula spec,"{""lag_momentum_percentile_20d_max"": [0.5], ""momentum_percentile_20d"": [0.8], ""rank_jump_lookback"": [20]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,event_regime_gated,t0_close_next_open_executable,,runnable_existing_data
R8_persistent_distance_above_ema,ungated,R8_persistent_distance_above_ema__ungated,stock_daily,persistent positive distance above EMA60 without reclaim requirement,10 sessions,"{""close_to_ema60_min"": [0.05], ""persistent_days"": [10], ""return_20d"": [0.08]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,ungated,t0_close_next_open_executable,,runnable_existing_data
R8_persistent_distance_above_ema,event_regime_gated,R8_persistent_distance_above_ema__event_regime_gated,stock_daily,persistent positive distance above EMA60 without reclaim requirement,10 sessions,"{""close_to_ema60_min"": [0.05], ""persistent_days"": [10], ""return_20d"": [0.08]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,event_regime_gated,t0_close_next_open_executable,,runnable_existing_data
T1_stock_vs_industry_CUSUM_break,ungated,T1_stock_vs_industry_CUSUM_break__ungated,PIT industry classification,blocked stock-vs-industry CUSUM break,20 sessions,"{""cusum_20d"": [0.1]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,ungated,t0_close_next_open_executable,,family_data_blocked
T1_stock_vs_industry_CUSUM_break,event_regime_gated,T1_stock_vs_industry_CUSUM_break__event_regime_gated,PIT industry classification,blocked stock-vs-industry CUSUM break,20 sessions,"{""cusum_20d"": [0.1]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,event_regime_gated,t0_close_next_open_executable,,family_data_blocked
T2_industry_vs_market_CUSUM_break,ungated,T2_industry_vs_market_CUSUM_break__ungated,PIT industry classification,blocked industry-vs-market CUSUM break,20 sessions,"{""cusum_20d"": [0.08]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,ungated,t0_close_next_open_executable,,family_data_blocked
T2_industry_vs_market_CUSUM_break,event_regime_gated,T2_industry_vs_market_CUSUM_break__event_regime_gated,PIT industry classification,blocked industry-vs-market CUSUM break,20 sessions,"{""cusum_20d"": [0.08]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,event_regime_gated,t0_close_next_open_executable,,family_data_blocked
T3_style_rotation_break,ungated,T3_style_rotation_break__ungated,PIT board bucket style proxy,diagnostic board/style rotation break,5/10/20/60/120 sessions depending on formula spec,"{""board_relative_cusum_20d"": [0.06], ""stock_vs_board_20d"": [0.0]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,ungated,t0_close_next_open_executable,,diagnostic_only
T3_style_rotation_break,event_regime_gated,T3_style_rotation_break__event_regime_gated,PIT board bucket style proxy,diagnostic board/style rotation break,5/10/20/60/120 sessions depending on formula spec,"{""board_relative_cusum_20d"": [0.06], ""stock_vs_board_20d"": [0.0]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,event_regime_gated,t0_close_next_open_executable,,diagnostic_only
T4_entropy_compression_then_directional_expansion,ungated,T4_entropy_compression_then_directional_expansion__ungated,stock_daily,direction entropy compression then positive expansion,20 sessions,"{""entropy_20d_max"": [0.85], ""return_5d"": [0.035], ""stock_vs_market_10d"": [0.02]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,ungated,t0_close_next_open_executable,,runnable_existing_data
T4_entropy_compression_then_directional_expansion,event_regime_gated,T4_entropy_compression_then_directional_expansion__event_regime_gated,stock_daily,direction entropy compression then positive expansion,20 sessions,"{""entropy_20d_max"": [0.85], ""return_5d"": [0.035], ""stock_vs_market_10d"": [0.02]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,event_regime_gated,t0_close_next_open_executable,,runnable_existing_data
T5_volume_regime_shift,ungated,T5_volume_regime_shift__ungated,stock_daily,volume baseline shift with positive price/relative confirmation,5/10/20/60/120 sessions depending on formula spec,"{""amount_ratio_20d"": [1.8], ""amount_ratio_60d"": [1.3], ""return_5d"": [0.035]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,ungated,t0_close_next_open_executable,,runnable_existing_data
T5_volume_regime_shift,event_regime_gated,T5_volume_regime_shift__event_regime_gated,stock_daily,volume baseline shift with positive price/relative confirmation,5/10/20/60/120 sessions depending on formula spec,"{""amount_ratio_20d"": [1.8], ""amount_ratio_60d"": [1.3], ""return_5d"": [0.035]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,event_regime_gated,t0_close_next_open_executable,,runnable_existing_data
T6_stock_vs_market_CUSUM_break,ungated,T6_stock_vs_market_CUSUM_break__ungated,stock_daily + all_a benchmark,stock-vs-market relative return CUSUM fallback,20 sessions,"{""relative_5d"": [0.025], ""relative_cusum_20d"": [0.1]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,ungated,t0_close_next_open_executable,fallback_of=T1_stock_vs_industry_CUSUM_break,fallback_variant
T6_stock_vs_market_CUSUM_break,event_regime_gated,T6_stock_vs_market_CUSUM_break__event_regime_gated,stock_daily + all_a benchmark,stock-vs-market relative return CUSUM fallback,20 sessions,"{""relative_5d"": [0.025], ""relative_cusum_20d"": [0.1]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,event_regime_gated,t0_close_next_open_executable,fallback_of=T1_stock_vs_industry_CUSUM_break,fallback_variant
T7_board_relative_strength_break,ungated,T7_board_relative_strength_break__ungated,PIT board bucket fallback,board-vs-universe relative strength fallback,5/10/20/60/120 sessions depending on formula spec,"{""board_relative_cusum_20d"": [0.06], ""stock_vs_board_20d"": [0.0]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,ungated,t0_close_next_open_executable,fallback_of=T2_industry_vs_market_CUSUM_break,fallback_variant
T7_board_relative_strength_break,event_regime_gated,T7_board_relative_strength_break__event_regime_gated,PIT board bucket fallback,board-vs-universe relative strength fallback,5/10/20/60/120 sessions depending on formula spec,"{""board_relative_cusum_20d"": [0.06], ""stock_vs_board_20d"": [0.0]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,event_regime_gated,t0_close_next_open_executable,fallback_of=T2_industry_vs_market_CUSUM_break,fallback_variant
T8_volatility_regime_contraction_break,ungated,T8_volatility_regime_contraction_break__ungated,stock_daily,ATR percentile contraction then positive expansion,5/10/20/60/120 sessions depending on formula spec,"{""amount_ratio_20d"": [1.15], ""atr_pct_rank_60d_max"": [0.35], ""return_5d"": [0.03]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,ungated,t0_close_next_open_executable,,runnable_existing_data
T8_volatility_regime_contraction_break,event_regime_gated,T8_volatility_regime_contraction_break__event_regime_gated,stock_daily,ATR percentile contraction then positive expansion,5/10/20/60/120 sessions depending on formula spec,"{""amount_ratio_20d"": [1.15], ""atr_pct_rank_60d_max"": [0.35], ""return_5d"": [0.03]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,event_regime_gated,t0_close_next_open_executable,,runnable_existing_data
