artifact_key,artifact_role,required_flag,resolver_alias,resolved_path,relative_path,source_experiment_id,source_phase_id,row_count,sha256,source_kind,schema_status,read_status,expected_row_n,observed_row_n,cache_hash_validated,cache_schema_validated,cache_key_reconciliation_gate,absolute_path_mismatch_ignored,blocking_reason
eighteen_e_target_binding_audit,eighteen_e_handoff,required,eighteen_e_target_binding_audit,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/refreshed_feature_target_binding_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/refreshed_feature_target_binding_audit.csv,18_payoff_state_representation_research,18E,1,3c36cf0ec370dc2f489820e467d86b07763ec7f6064dfc515314fe351d6360a4,publishable_or_local_cache,fail,pass,,1,exact_match,False,fail,False,schema_missing:bound_matrix_row_n
eighteen_e_missingness_audit,eighteen_e_handoff,required,eighteen_e_missingness_audit,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/refreshed_feature_missingness_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/refreshed_feature_missingness_audit.csv,18_payoff_state_representation_research,18E,196,4c6999cf5d24b7265d18e90660942f36f0b955f4740280e867df6ef09566c55d,publishable_or_local_cache,pass,pass,,196,exact_match,True,pass,False,
eighteen_e_pit_availability_audit,eighteen_e_handoff,required,eighteen_e_pit_availability_audit,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/refreshed_feature_pit_availability_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/refreshed_feature_pit_availability_audit.csv,18_payoff_state_representation_research,18E,49,52fa26a28f09aaf086f0e3c6b5d6041cda32ec7fdae3db791b800b76e3a40135,publishable_or_local_cache,fail,pass,,49,exact_match,False,fail,False,"schema_missing:feature_name,pit_t0_availability_gate"
eighteen_e_preprocessing_audit,eighteen_e_handoff,required,eighteen_e_preprocessing_audit,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/train_only_preprocessing_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/train_only_preprocessing_audit.csv,18_payoff_state_representation_research,18E,49,dfcfd82cb12efb9ee178ecf885586adcb61db3668954f0b397ee85b5bdcea753,publishable_or_local_cache,pass,pass,,49,exact_match,True,pass,False,
eighteen_e_forbidden_feature_audit,eighteen_e_handoff,required,eighteen_e_forbidden_feature_audit,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/forbidden_feature_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/forbidden_feature_audit.csv,18_payoff_state_representation_research,18E,27,4f85ebfe505b7f47028298a177459507d3da9083019f9ef5036096e62aee88c9,publishable_or_local_cache,pass,pass,,27,exact_match,True,pass,False,
eighteen_e_search_accounting,eighteen_e_handoff,required,eighteen_e_search_accounting,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/search_accounting_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/search_accounting_audit.csv,18_payoff_state_representation_research,18E,1,a9f314df4f3edd9d9270052686d409dc429176b5f6fca6ec0b19aeb4a3c2fc29,publishable_or_local_cache,pass,pass,,1,exact_match,True,pass,False,
eighteen_e_report,eighteen_e_handoff_report,required,eighteen_e_report,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/reports/payoff_state_feature_matrix_refresh_report.md,experiments/pending/18_payoff_state_representation_research/outputs/publishable/reports/payoff_state_feature_matrix_refresh_report.md,18_payoff_state_representation_research,18E,139,d785e177a08656a7c1a49dd72e812827ea872b04e25fe4fe0c86add73f65eeda,publishable_or_local_cache,pass,pass,,139,exact_match,True,pass,False,
eighteen_e_manifest,eighteen_e_manifest,required,eighteen_e_manifest,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/18E_payoff_state_feature_matrix_refresh_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/18E_payoff_state_feature_matrix_refresh_manifest.json,18_payoff_state_representation_research,18E,1,0f6ce5b54fb2e80732f5c8887d26531e43cc489add63ad128fc2727fb07bd040,publishable_or_local_cache,pass,pass,,1,not_manifested,True,pass,False,
refreshed_matrix_manifest,eighteen_e_matrix_manifest,required,refreshed_matrix_manifest,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/refreshed_payoff_state_feature_matrix_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/refreshed_payoff_state_feature_matrix_manifest.json,18_payoff_state_representation_research,18E,1,2082a455647ba22f8c66444db50b93e940928ee1daf427e4ac5ea53d0ebbbf7a,publishable_or_local_cache,pass,pass,,1,not_manifested,True,pass,False,
eighteen_e_input_artifact_manifest,eighteen_e_manifest,required,eighteen_e_input_artifact_manifest,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/input_artifact_manifest_18e.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/input_artifact_manifest_18e.json,18_payoff_state_representation_research,18E,1,2ee291a5cda6be24a98941cece45ef16e96c1f989cb54ef4bada8adb0295b59d,publishable_or_local_cache,pass,pass,,1,not_manifested,True,pass,False,
eighteen_a_target_contract_doc,eighteen_a_target_contract,required,eighteen_a_target_contract_doc,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/payoff_state_target_contract.md,experiments/pending/18_payoff_state_representation_research/outputs/publishable/payoff_state_target_contract.md,18_payoff_state_representation_research,18A,51,e5db7639d27386d1ac643213c4b09566887fe7c633b299d97d22553c94e2c6d2,publishable_or_local_cache,pass,pass,,51,not_manifested,True,pass,False,
eighteen_a_target_definition_registry,eighteen_a_target_contract,required,eighteen_a_target_definition_registry,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_definition_registry.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_definition_registry.csv,18_payoff_state_representation_research,18A,6,a1defde0c5fc74b78c05f17e08494aa1d2e55f960d8eb4daa0a0d7cdc26c878e,publishable_or_local_cache,pass,pass,,6,not_manifested,True,pass,False,
eighteen_a_target_denominator_reconciliation,eighteen_a_target_contract,required,eighteen_a_target_denominator_reconciliation,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_denominator_reconciliation.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_denominator_reconciliation.csv,18_payoff_state_representation_research,18A,3,bca81068d09e4a9a65a36cd0bfe3ee6d7b48721ed23f402fc4cc133e695ebc15,publishable_or_local_cache,pass,pass,,3,not_manifested,True,pass,False,
eighteen_a_payoff_cutoff_freeze,eighteen_a_target_contract,required,eighteen_a_payoff_cutoff_freeze,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/payoff_cutoff_freeze.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/payoff_cutoff_freeze.csv,18_payoff_state_representation_research,18A,3,90f11e08b53b144c72986a79a27ccc87e68813410978c4b647db0f613dceec4a,publishable_or_local_cache,pass,pass,,3,not_manifested,True,pass,False,
eighteen_a_neutral_preservation_audit,eighteen_a_target_contract,required,eighteen_a_neutral_preservation_audit,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/neutral_preservation_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/neutral_preservation_audit.csv,18_payoff_state_representation_research,18A,3,ad2e1bf16fc9ef2f0c06f580df978031798cf809fa73e534c2bd0ec25091f3df,publishable_or_local_cache,pass,pass,,3,not_manifested,True,pass,False,
eighteen_a_manifest,eighteen_a_manifest,required,eighteen_a_manifest,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/18A_payoff_state_contract_preflight_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/18A_payoff_state_contract_preflight_manifest.json,18_payoff_state_representation_research,18A,1,1d7d4162874e09ce53e656e53f90105ebfb516173fadda0da76ba82ce6743e1e,publishable_or_local_cache,pass,pass,,1,not_manifested,True,pass,False,
eighteen_a_target_contract_manifest,eighteen_a_manifest,required,eighteen_a_target_contract_manifest,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/payoff_state_target_contract_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/payoff_state_target_contract_manifest.json,18_payoff_state_representation_research,18A,1,96874e6c4e3eb5588742e588e3a0abcb2dc9f14ca29e4f4a72fb27ffaeaa6bad,publishable_or_local_cache,pass,pass,,1,not_manifested,True,pass,False,
