instrument_id,canonical_instrument_id,hash_input_description,hash_value,instrument_fold_id,train_signal_count,validation_signal_count,robustness_signal_count
SH600703,SH600703,utf-8 bytes of canonical_instrument_id.lower(),13455031050037259706,1,198,98,99
SH600705,SH600705,utf-8 bytes of canonical_instrument_id.lower(),35120383894215745,0,34,0,0
SH600741,SH600741,utf-8 bytes of canonical_instrument_id.lower(),17125030666228157202,2,226,98,89
SH600816,SH600816,utf-8 bytes of canonical_instrument_id.lower(),11192645731381238286,1,40,0,0
SH600837,SH600837,utf-8 bytes of canonical_instrument_id.lower(),8708659088547023273,3,226,98,45
SH600886,SH600886,utf-8 bytes of canonical_instrument_id.lower(),15086205062555983969,4,185,98,102
SH600887,SH600887,utf-8 bytes of canonical_instrument_id.lower(),16035761145018893919,4,226,98,102
SH600893,SH600893,utf-8 bytes of canonical_instrument_id.lower(),7496042501086690863,3,185,98,102
SH600900,SH600900,utf-8 bytes of canonical_instrument_id.lower(),11946543931086819671,1,221,93,102
SH600919,SH600919,utf-8 bytes of canonical_instrument_id.lower(),2343263832461843069,4,220,98,102
SH600926,SH600926,utf-8 bytes of canonical_instrument_id.lower(),17612170144874161728,3,95,98,102
SH600958,SH600958,utf-8 bytes of canonical_instrument_id.lower(),11477379789867062758,3,226,92,102
SH600999,SH600999,utf-8 bytes of canonical_instrument_id.lower(),1173411119147473323,3,221,98,102
SH601006,SH601006,utf-8 bytes of canonical_instrument_id.lower(),15848338099407195163,3,226,98,102
SH601018,SH601018,utf-8 bytes of canonical_instrument_id.lower(),2563372081978985332,2,125,53,102
SH601111,SH601111,utf-8 bytes of canonical_instrument_id.lower(),4422244208464803848,3,222,98,102
SH601166,SH601166,utf-8 bytes of canonical_instrument_id.lower(),12478708176681595269,4,226,98,102
SH601169,SH601169,utf-8 bytes of canonical_instrument_id.lower(),17560188258572685762,2,226,98,102
SH601186,SH601186,utf-8 bytes of canonical_instrument_id.lower(),3287592830761467208,3,226,98,102
SH601211,SH601211,utf-8 bytes of canonical_instrument_id.lower(),5120713636312762413,3,226,98,89
SH601225,SH601225,utf-8 bytes of canonical_instrument_id.lower(),2694043856076444420,0,226,98,102
SH601229,SH601229,utf-8 bytes of canonical_instrument_id.lower(),2955348934511916358,3,226,98,102
SH601238,SH601238,utf-8 bytes of canonical_instrument_id.lower(),15372051151225401880,0,222,98,102
SH601288,SH601288,utf-8 bytes of canonical_instrument_id.lower(),4292432034716915437,2,226,98,102
SH601318,SH601318,utf-8 bytes of canonical_instrument_id.lower(),1990644542195319472,2,226,98,102
SH601328,SH601328,utf-8 bytes of canonical_instrument_id.lower(),7219637748204721358,3,226,98,102
SH601336,SH601336,utf-8 bytes of canonical_instrument_id.lower(),9287909986746703898,3,226,98,102
SH601377,SH601377,utf-8 bytes of canonical_instrument_id.lower(),2968760488392968861,1,97,67,60
SH601390,SH601390,utf-8 bytes of canonical_instrument_id.lower(),5934358256704049810,0,206,98,102
SH601398,SH601398,utf-8 bytes of canonical_instrument_id.lower(),9920267063460059283,3,226,98,102
SH601600,SH601600,utf-8 bytes of canonical_instrument_id.lower(),4844936478314124081,1,178,98,102
SH601601,SH601601,utf-8 bytes of canonical_instrument_id.lower(),9863613863892368989,4,226,98,102
SH601607,SH601607,utf-8 bytes of canonical_instrument_id.lower(),13897452502523990733,3,209,98,102
SH601618,SH601618,utf-8 bytes of canonical_instrument_id.lower(),4944795781355633373,3,226,98,102
SH601628,SH601628,utf-8 bytes of canonical_instrument_id.lower(),470781103915407821,1,226,98,102
SH601633,SH601633,utf-8 bytes of canonical_instrument_id.lower(),9436066756117459517,2,206,98,102
SH601668,SH601668,utf-8 bytes of canonical_instrument_id.lower(),3568341474877009521,1,226,98,102
SH601669,SH601669,utf-8 bytes of canonical_instrument_id.lower(),13646366457609034832,2,226,98,102
SH601688,SH601688,utf-8 bytes of canonical_instrument_id.lower(),18318427746318497616,1,226,98,102
SH601727,SH601727,utf-8 bytes of canonical_instrument_id.lower(),7304804185381125897,2,188,98,102
SH601766,SH601766,utf-8 bytes of canonical_instrument_id.lower(),11994795341542433379,4,226,98,102
SH601788,SH601788,utf-8 bytes of canonical_instrument_id.lower(),1943403286348078078,3,182,98,102
SH601800,SH601800,utf-8 bytes of canonical_instrument_id.lower(),5846756714414685739,4,226,98,102
SH601808,SH601808,utf-8 bytes of canonical_instrument_id.lower(),18221927852375319811,1,164,98,102
SH601818,SH601818,utf-8 bytes of canonical_instrument_id.lower(),3433604293409275925,0,226,98,102
SH601857,SH601857,utf-8 bytes of canonical_instrument_id.lower(),3912687355346163813,3,226,98,102
SH601881,SH601881,utf-8 bytes of canonical_instrument_id.lower(),12557459228608788305,0,226,98,102
SH601888,SH601888,utf-8 bytes of canonical_instrument_id.lower(),17936022659710603632,2,226,98,102
SH601898,SH601898,utf-8 bytes of canonical_instrument_id.lower(),354754755416084864,4,182,98,102
SH601899,SH601899,utf-8 bytes of canonical_instrument_id.lower(),12707429728327536522,2,221,98,102
SH601901,SH601901,utf-8 bytes of canonical_instrument_id.lower(),4074312768482941224,4,198,97,102
SH601933,SH601933,utf-8 bytes of canonical_instrument_id.lower(),15227669970570360082,2,186,0,9
SH601939,SH601939,utf-8 bytes of canonical_instrument_id.lower(),17350294439275550,0,226,98,102
SH601985,SH601985,utf-8 bytes of canonical_instrument_id.lower(),9236990755921770446,1,226,98,102
SH601988,SH601988,utf-8 bytes of canonical_instrument_id.lower(),5722769583472210195,0,226,98,102
SH601991,SH601991,utf-8 bytes of canonical_instrument_id.lower(),12515710448552404638,3,57,65,86
SH601992,SH601992,utf-8 bytes of canonical_instrument_id.lower(),9622199872196626699,4,34,0,0
SH601998,SH601998,utf-8 bytes of canonical_instrument_id.lower(),16424964727904376729,4,226,98,102
SH603288,SH603288,utf-8 bytes of canonical_instrument_id.lower(),1469647343196290625,0,226,98,102
SH603993,SH603993,utf-8 bytes of canonical_instrument_id.lower(),17609851369704746328,3,226,98,102
SZ000001,SZ000001,utf-8 bytes of canonical_instrument_id.lower(),13317953725178059108,3,226,98,102
SZ000039,SZ000039,utf-8 bytes of canonical_instrument_id.lower(),3877477695404023138,3,91,11,12
SZ000063,SZ000063,utf-8 bytes of canonical_instrument_id.lower(),16711144413942517665,0,209,98,102
SZ000069,SZ000069,utf-8 bytes of canonical_instrument_id.lower(),17848093765637906443,3,206,14,0
SZ000166,SZ000166,utf-8 bytes of canonical_instrument_id.lower(),322526901940891601,1,226,98,102
SZ000333,SZ000333,utf-8 bytes of canonical_instrument_id.lower(),16012914712967250729,4,205,98,102
SZ000338,SZ000338,utf-8 bytes of canonical_instrument_id.lower(),14777347962415733068,3,226,98,102
SZ000413,SZ000413,utf-8 bytes of canonical_instrument_id.lower(),228920681635845876,1,16,0,0
SZ000538,SZ000538,utf-8 bytes of canonical_instrument_id.lower(),3449147763004082121,1,202,98,102
SZ000568,SZ000568,utf-8 bytes of canonical_instrument_id.lower(),11004564349832652014,4,226,98,102
SZ000617,SZ000617,utf-8 bytes of canonical_instrument_id.lower(),1158356313113170577,2,57,96,102
SZ000625,SZ000625,utf-8 bytes of canonical_instrument_id.lower(),4557981869437104059,4,124,98,102
SZ000651,SZ000651,utf-8 bytes of canonical_instrument_id.lower(),14674729488916955257,2,212,98,102
SZ000709,SZ000709,utf-8 bytes of canonical_instrument_id.lower(),5054465890580311020,0,4,0,0
SZ000725,SZ000725,utf-8 bytes of canonical_instrument_id.lower(),18051202363878690786,1,226,98,102
SZ000768,SZ000768,utf-8 bytes of canonical_instrument_id.lower(),9419655689417305071,1,94,98,102
SZ000776,SZ000776,utf-8 bytes of canonical_instrument_id.lower(),13750254637992817781,1,226,98,102
SZ000783,SZ000783,utf-8 bytes of canonical_instrument_id.lower(),903002214636590698,3,11,0,0
SZ000858,SZ000858,utf-8 bytes of canonical_instrument_id.lower(),7618642780006897624,4,226,98,102
SZ000895,SZ000895,utf-8 bytes of canonical_instrument_id.lower(),15195095433517196736,1,210,98,102
SZ000898,SZ000898,utf-8 bytes of canonical_instrument_id.lower(),4869950708607524957,2,10,0,0
SZ000938,SZ000938,utf-8 bytes of canonical_instrument_id.lower(),16722338806071547734,4,212,84,96
SZ001979,SZ001979,utf-8 bytes of canonical_instrument_id.lower(),5983930608396466672,2,215,91,102
SZ002024,SZ002024,utf-8 bytes of canonical_instrument_id.lower(),14398915383578913243,3,192,0,0
SZ002027,SZ002027,utf-8 bytes of canonical_instrument_id.lower(),15098734749898834443,3,226,98,102
SZ002142,SZ002142,utf-8 bytes of canonical_instrument_id.lower(),2138277119047498188,3,220,98,102
SZ002230,SZ002230,utf-8 bytes of canonical_instrument_id.lower(),148050812922901535,0,221,98,102
SZ002236,SZ002236,utf-8 bytes of canonical_instrument_id.lower(),12272671267514777274,4,163,49,84
SZ002241,SZ002241,utf-8 bytes of canonical_instrument_id.lower(),16573693611366230157,2,143,97,102
SZ002304,SZ002304,utf-8 bytes of canonical_instrument_id.lower(),7533103727936456757,2,226,98,102
SZ002352,SZ002352,utf-8 bytes of canonical_instrument_id.lower(),10455567708084987901,1,220,98,102
SZ002415,SZ002415,utf-8 bytes of canonical_instrument_id.lower(),11703755845315932514,4,222,98,102
SZ002466,SZ002466,utf-8 bytes of canonical_instrument_id.lower(),8917390732486369068,3,93,98,75
SZ002475,SZ002475,utf-8 bytes of canonical_instrument_id.lower(),2791818570004163991,1,222,98,102
SZ002558,SZ002558,utf-8 bytes of canonical_instrument_id.lower(),18432434178059962077,2,42,0,20
SZ002594,SZ002594,utf-8 bytes of canonical_instrument_id.lower(),6347591524459832412,2,226,98,102
SZ002673,SZ002673,utf-8 bytes of canonical_instrument_id.lower(),17070451625381691278,3,11,0,0
SZ002736,SZ002736,utf-8 bytes of canonical_instrument_id.lower(),16341393702888426421,1,208,98,94
SH601212,SH601212,utf-8 bytes of canonical_instrument_id.lower(),12070498634929329930,0,6,0,0
SZ002456,SZ002456,utf-8 bytes of canonical_instrument_id.lower(),16130315091869348464,4,47,0,2
SZ000002,SZ000002,utf-8 bytes of canonical_instrument_id.lower(),15051876370908601022,2,224,98,102
SH601198,SH601198,utf-8 bytes of canonical_instrument_id.lower(),5890146034607285218,3,5,0,0
SH601919,SH601919,utf-8 bytes of canonical_instrument_id.lower(),1973580356806191356,1,169,98,102
SZ002310,SZ002310,utf-8 bytes of canonical_instrument_id.lower(),12705277727987887594,4,29,0,0
SH600515,SH600515,utf-8 bytes of canonical_instrument_id.lower(),9210534764552843761,1,15,0,0
SH600516,SH600516,utf-8 bytes of canonical_instrument_id.lower(),13460058553846916643,3,14,0,0
SH601009,SH601009,utf-8 bytes of canonical_instrument_id.lower(),10302848843708133826,1,222,98,102
SH603799,SH603799,utf-8 bytes of canonical_instrument_id.lower(),6216441631364689993,3,95,98,60
SZ002120,SZ002120,utf-8 bytes of canonical_instrument_id.lower(),9075379334007623395,0,166,21,0
SH600050,SH600050,utf-8 bytes of canonical_instrument_id.lower(),292524258059173729,4,220,98,102
SH601012,SH601012,utf-8 bytes of canonical_instrument_id.lower(),2044640763288521445,0,188,98,102
SH600066,SH600066,utf-8 bytes of canonical_instrument_id.lower(),1072959046710527578,3,22,0,79
SZ002460,SZ002460,utf-8 bytes of canonical_instrument_id.lower(),3936828969376753569,4,126,98,102
SH600795,SH600795,utf-8 bytes of canonical_instrument_id.lower(),15631471241279200338,3,75,87,102
SH601088,SH601088,utf-8 bytes of canonical_instrument_id.lower(),7523611615983515320,0,218,98,96
SZ000963,SZ000963,utf-8 bytes of canonical_instrument_id.lower(),15886661587736904153,3,109,98,95
SZ002450,SZ002450,utf-8 bytes of canonical_instrument_id.lower(),12119340945600734839,4,16,0,0
SZ002555,SZ002555,utf-8 bytes of canonical_instrument_id.lower(),1848175282429105571,1,85,41,0
SZ002008,SZ002008,utf-8 bytes of canonical_instrument_id.lower(),17391702899473543813,3,44,5,0
SZ002202,SZ002202,utf-8 bytes of canonical_instrument_id.lower(),9403121231506862467,2,109,31,16
SH600809,SH600809,utf-8 bytes of canonical_instrument_id.lower(),17007028465734524566,1,152,98,102
SH601877,SH601877,utf-8 bytes of canonical_instrument_id.lower(),18348324993327587218,3,173,88,26
SH603833,SH603833,utf-8 bytes of canonical_instrument_id.lower(),1479794211622383332,2,112,92,0
SZ000100,SZ000100,utf-8 bytes of canonical_instrument_id.lower(),4765196836012356584,4,120,98,102
SZ002252,SZ002252,utf-8 bytes of canonical_instrument_id.lower(),10527456518881708851,1,68,8,10
SZ002714,SZ002714,utf-8 bytes of canonical_instrument_id.lower(),15458234177959409204,4,204,98,102
SH600487,SH600487,utf-8 bytes of canonical_instrument_id.lower(),8926184232092188079,4,10,0,12
SH603160,SH603160,utf-8 bytes of canonical_instrument_id.lower(),9984504132503848568,3,123,0,0
SZ000627,SZ000627,utf-8 bytes of canonical_instrument_id.lower(),8469492719336063978,3,1,0,0
SZ002044,SZ002044,utf-8 bytes of canonical_instrument_id.lower(),17536333087348746691,1,106,0,0
SH601989,SH601989,utf-8 bytes of canonical_instrument_id.lower(),11281836435276774094,4,204,98,74
SZ002493,SZ002493,utf-8 bytes of canonical_instrument_id.lower(),9770350344765022856,1,197,98,102
SH601155,SH601155,utf-8 bytes of canonical_instrument_id.lower(),7539199814193238939,4,209,25,0
SH600438,SH600438,utf-8 bytes of canonical_instrument_id.lower(),16002646467424430034,4,134,98,102
SH600600,SH600600,utf-8 bytes of canonical_instrument_id.lower(),15580834413070981755,0,182,98,102
SH601878,SH601878,utf-8 bytes of canonical_instrument_id.lower(),10947355240409970708,3,40,1,50
SH600406,SH600406,utf-8 bytes of canonical_instrument_id.lower(),12406220834159154873,3,206,98,102
SH600176,SH600176,utf-8 bytes of canonical_instrument_id.lower(),9543104223496479055,0,63,86,24
SH600760,SH600760,utf-8 bytes of canonical_instrument_id.lower(),4899223409879621395,0,94,98,102
SZ002001,SZ002001,utf-8 bytes of canonical_instrument_id.lower(),8736419668718487343,3,106,85,101
SZ002010,SZ002010,utf-8 bytes of canonical_instrument_id.lower(),16976705948748842467,2,7,0,0
SZ002146,SZ002146,utf-8 bytes of canonical_instrument_id.lower(),2734064758191072647,2,4,0,0
SH600377,SH600377,utf-8 bytes of canonical_instrument_id.lower(),2105452102800054628,3,61,10,102
SH600346,SH600346,utf-8 bytes of canonical_instrument_id.lower(),1861087146293682450,0,200,98,102
SZ002600,SZ002600,utf-8 bytes of canonical_instrument_id.lower(),6535902531425645157,2,108,1,66
SH600588,SH600588,utf-8 bytes of canonical_instrument_id.lower(),4118975561076127899,4,166,98,22
SH600398,SH600398,utf-8 bytes of canonical_instrument_id.lower(),10089939549555019389,4,20,0,0
SH600436,SH600436,utf-8 bytes of canonical_instrument_id.lower(),14145182934115645459,4,185,98,102
SH601360,SH601360,utf-8 bytes of canonical_instrument_id.lower(),1433249797562153247,2,186,84,96
SH600085,SH600085,utf-8 bytes of canonical_instrument_id.lower(),3912341322832271997,2,16,98,59
SZ002602,SZ002602,utf-8 bytes of canonical_instrument_id.lower(),2350718067607017270,0,113,12,0
SH600332,SH600332,utf-8 bytes of canonical_instrument_id.lower(),688508531841135611,1,128,35,8
SH600867,SH600867,utf-8 bytes of canonical_instrument_id.lower(),3712877576554658060,0,6,0,0
SH601108,SH601108,utf-8 bytes of canonical_instrument_id.lower(),10003196350454034765,0,10,0,0
SZ002422,SZ002422,utf-8 bytes of canonical_instrument_id.lower(),15696107701371317727,2,1,0,58
SH603260,SH603260,utf-8 bytes of canonical_instrument_id.lower(),4113501741139385298,3,38,98,100
SZ002411,SZ002411,utf-8 bytes of canonical_instrument_id.lower(),8674162241943101680,0,1,0,0
SH600025,SH600025,utf-8 bytes of canonical_instrument_id.lower(),7236569247295941204,4,175,98,102
SH601828,SH601828,utf-8 bytes of canonical_instrument_id.lower(),15116185782608977155,0,1,0,0
SH600271,SH600271,utf-8 bytes of canonical_instrument_id.lower(),17839340471882198297,2,16,0,0
SH603259,SH603259,utf-8 bytes of canonical_instrument_id.lower(),13467658856035691211,1,163,98,102
SH601138,SH601138,utf-8 bytes of canonical_instrument_id.lower(),11557375598842812817,2,158,98,102
SH601066,SH601066,utf-8 bytes of canonical_instrument_id.lower(),1932328016946667491,1,157,98,102
SZ002607,SZ002607,utf-8 bytes of canonical_instrument_id.lower(),5538412346182860420,0,148,0,0
SH600570,SH600570,utf-8 bytes of canonical_instrument_id.lower(),10191185172144281016,1,144,98,46
SZ002032,SZ002032,utf-8 bytes of canonical_instrument_id.lower(),5709329910779114838,3,125,0,0
SZ000876,SZ000876,utf-8 bytes of canonical_instrument_id.lower(),5157307580394157999,4,146,86,0
SZ001965,SZ001965,utf-8 bytes of canonical_instrument_id.lower(),526059150402264534,4,10,33,102
SZ000596,SZ000596,utf-8 bytes of canonical_instrument_id.lower(),12357436752095041200,0,144,98,102
SZ002938,SZ002938,utf-8 bytes of canonical_instrument_id.lower(),7003322846534782260,0,144,82,95
SH600352,SH600352,utf-8 bytes of canonical_instrument_id.lower(),10173905828429063081,1,20,0,0
SZ002841,SZ002841,utf-8 bytes of canonical_instrument_id.lower(),10893450165510342895,0,118,15,0
SZ000661,SZ000661,utf-8 bytes of canonical_instrument_id.lower(),11469950728731373082,2,136,98,12
SZ000723,SZ000723,utf-8 bytes of canonical_instrument_id.lower(),372605348022148978,3,19,17,0
SH601162,SH601162,utf-8 bytes of canonical_instrument_id.lower(),5195776601746102038,3,6,0,17
SH601319,SH601319,utf-8 bytes of canonical_instrument_id.lower(),5439168030764598737,2,135,98,102
SH600848,SH600848,utf-8 bytes of canonical_instrument_id.lower(),13993069663876411712,2,17,0,0
SH601298,SH601298,utf-8 bytes of canonical_instrument_id.lower(),17531328707162731630,0,3,0,85
SH600183,SH600183,utf-8 bytes of canonical_instrument_id.lower(),16423464729818772772,2,119,2,61
SH603501,SH603501,utf-8 bytes of canonical_instrument_id.lower(),5544914491576795998,3,121,98,102
SZ002311,SZ002311,utf-8 bytes of canonical_instrument_id.lower(),14441045442663092955,0,115,98,102
SZ002939,SZ002939,utf-8 bytes of canonical_instrument_id.lower(),6220831017026079866,1,2,0,0
SZ002916,SZ002916,utf-8 bytes of canonical_instrument_id.lower(),6128792060502510393,3,86,8,76
SZ000708,SZ000708,utf-8 bytes of canonical_instrument_id.lower(),13211946965002924800,0,114,98,102
SZ002007,SZ002007,utf-8 bytes of canonical_instrument_id.lower(),2176870638710273428,3,106,2,0
SH603986,SH603986,utf-8 bytes of canonical_instrument_id.lower(),7796871278255177202,2,112,98,84
SH600745,SH600745,utf-8 bytes of canonical_instrument_id.lower(),14528291542971846027,2,100,98,14
SH600989,SH600989,utf-8 bytes of canonical_instrument_id.lower(),14884590139714067134,4,110,98,102
SZ000157,SZ000157,utf-8 bytes of canonical_instrument_id.lower(),16948121102474993042,2,90,83,101
SZ000785,SZ000785,utf-8 bytes of canonical_instrument_id.lower(),17714103266806696935,0,20,0,0
SZ002624,SZ002624,utf-8 bytes of canonical_instrument_id.lower(),11135185406411901729,4,56,0,0
SH600801,SH600801,utf-8 bytes of canonical_instrument_id.lower(),6568590851158819477,2,36,0,0
SH601236,SH601236,utf-8 bytes of canonical_instrument_id.lower(),18210613731061221275,0,80,5,0
SZ002050,SZ002050,utf-8 bytes of canonical_instrument_id.lower(),9856661662551679777,2,97,98,102
SZ002371,SZ002371,utf-8 bytes of canonical_instrument_id.lower(),2954720785552264433,3,101,98,102
SH601698,SH601698,utf-8 bytes of canonical_instrument_id.lower(),5581670245572670495,0,100,56,102
SH600845,SH600845,utf-8 bytes of canonical_instrument_id.lower(),16148384032808393877,2,91,98,102
SH603658,SH603658,utf-8 bytes of canonical_instrument_id.lower(),81166218003507344,4,59,0,0
SZ000977,SZ000977,utf-8 bytes of canonical_instrument_id.lower(),722391937965086224,4,27,35,88
SZ002812,SZ002812,utf-8 bytes of canonical_instrument_id.lower(),5805858657954117358,3,78,98,4
SH601231,SH601231,utf-8 bytes of canonical_instrument_id.lower(),3694913962014822668,3,12,0,4
SZ002065,SZ002065,utf-8 bytes of canonical_instrument_id.lower(),11652096627120614121,1,1,0,0
SZ002129,SZ002129,utf-8 bytes of canonical_instrument_id.lower(),8167067821193783313,3,84,98,8
SZ002384,SZ002384,utf-8 bytes of canonical_instrument_id.lower(),12956089171658660973,3,1,4,45
SH601100,SH601100,utf-8 bytes of canonical_instrument_id.lower(),17447936777306538876,1,93,98,102
SZ002410,SZ002410,utf-8 bytes of canonical_instrument_id.lower(),733313288020932381,1,90,76,0
SZ003816,SZ003816,utf-8 bytes of canonical_instrument_id.lower(),5867206213310214971,1,96,98,102
SH601990,SH601990,utf-8 bytes of canonical_instrument_id.lower(),1048153701182966886,1,11,0,0
SH600150,SH600150,utf-8 bytes of canonical_instrument_id.lower(),4213413090361637133,3,91,98,89
SZ000792,SZ000792,utf-8 bytes of canonical_instrument_id.lower(),10861338269293222621,1,19,98,102
SZ002271,SZ002271,utf-8 bytes of canonical_instrument_id.lower(),5080934172449027788,3,91,94,0
SH601077,SH601077,utf-8 bytes of canonical_instrument_id.lower(),9485225724393334070,0,36,0,96
SH603019,SH603019,utf-8 bytes of canonical_instrument_id.lower(),15585134105626049283,3,26,39,90
SH601916,SH601916,utf-8 bytes of canonical_instrument_id.lower(),6227189696069546010,0,81,91,102
SH603899,SH603899,utf-8 bytes of canonical_instrument_id.lower(),10934171502103069825,0,79,12,0
SZ002821,SZ002821,utf-8 bytes of canonical_instrument_id.lower(),4855411719613808760,0,83,67,0
SH601658,SH601658,utf-8 bytes of canonical_instrument_id.lower(),4540453810548389793,3,81,98,102
SZ000800,SZ000800,utf-8 bytes of canonical_instrument_id.lower(),8259446196758428851,1,67,0,0
SH603233,SH603233,utf-8 bytes of canonical_instrument_id.lower(),9308935354964104812,2,36,0,0
SZ002127,SZ002127,utf-8 bytes of canonical_instrument_id.lower(),15546821372910859570,0,5,0,0
SH600763,SH600763,utf-8 bytes of canonical_instrument_id.lower(),10048574100066261063,3,79,11,0
SH600584,SH600584,utf-8 bytes of canonical_instrument_id.lower(),14918022501689467618,3,78,45,82
SH603369,SH603369,utf-8 bytes of canonical_instrument_id.lower(),12138825243000499127,2,78,96,72
SH600521,SH600521,utf-8 bytes of canonical_instrument_id.lower(),17474128408408369414,4,13,0,0
SH600872,SH600872,utf-8 bytes of canonical_instrument_id.lower(),2943217167920703398,3,28,0,0
SZ000987,SZ000987,utf-8 bytes of canonical_instrument_id.lower(),6092943658846819622,2,8,0,0
SZ002049,SZ002049,utf-8 bytes of canonical_instrument_id.lower(),979386650586800283,3,77,98,73
SZ002414,SZ002414,utf-8 bytes of canonical_instrument_id.lower(),12972322578907287720,0,77,6,17
SH600298,SH600298,utf-8 bytes of canonical_instrument_id.lower(),13451980063755604406,1,12,0,0
SZ000425,SZ000425,utf-8 bytes of canonical_instrument_id.lower(),995990290437915036,1,21,64,102
SZ000786,SZ000786,utf-8 bytes of canonical_instrument_id.lower(),2446658695289608773,3,69,22,27
SZ002601,SZ002601,utf-8 bytes of canonical_instrument_id.lower(),2342004551857694168,3,64,18,4
SH600161,SH600161,utf-8 bytes of canonical_instrument_id.lower(),707128203567199691,1,20,3,1
SH600489,SH600489,utf-8 bytes of canonical_instrument_id.lower(),8118942247470988781,1,7,32,96
SH600685,SH600685,utf-8 bytes of canonical_instrument_id.lower(),18155881499360590964,4,3,0,0
SH601816,SH601816,utf-8 bytes of canonical_instrument_id.lower(),10260120120400204455,0,75,98,102
SH601216,SH601216,utf-8 bytes of canonical_instrument_id.lower(),7594438556707026590,0,19,0,2
SH603195,SH603195,utf-8 bytes of canonical_instrument_id.lower(),15133298324883583643,3,74,98,102
SH603517,SH603517,utf-8 bytes of canonical_instrument_id.lower(),10119595242046183991,1,20,0,0
