entry_family,entry_variant_id,allowed_launch_families,excluded_launch_families,signal_window_start_after_launch,signal_window_end_after_launch,entry_signal_condition,entry_signal_date_definition,entry_execution_lag_trading_days,entry_execution_price_reference,entry_execution_assumption,invalidation_rule_id,invalidation_price_reference,pre_entry_failure_filter_ids,post_entry_invalidation_audit_ids,primary_leaderboard_eligible,same_close_proxy_allowed
pullback_hold_entry,pullback_5_12_reclaim_median20,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim;first_limit_up_like;first_near_limit_up_like;gap_up_upper_close;strong_body_day,,3,20,"5%-12% pullback, low above median20, money contraction, close reclaims median20",signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,pullback_low_stop,pullback_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
pullback_hold_entry,pullback_3_8_contraction_upper_close,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim;first_limit_up_like;first_near_limit_up_like;gap_up_upper_close;strong_body_day,,3,20,"3%-8% pullback, money contraction, close location upper half",signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,pullback_low_stop,pullback_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
pullback_hold_entry,pullback_5_12_low_above_launch_low,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim;first_limit_up_like;first_near_limit_up_like;gap_up_upper_close;strong_body_day,,3,20,5%-12% pullback and pullback low stays above launch low,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,pullback_low_stop,pullback_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
higher_low_reacceleration_entry,higher_low_reclaim_ema20,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim,,5,20,higher low above launch low and close reclaims ema20,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,higher_low_stop,higher_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
higher_low_reacceleration_entry,higher_low_reaccel_rank,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim,,5,20,higher low plus ret rank back to top 20%,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,higher_low_stop,higher_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
higher_low_reacceleration_entry,higher_low_money_quality,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim,,5,20,higher low plus money quality improvement,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,higher_low_stop,higher_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
volume_confirmation_entry,volume_hold_3d,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim,,3,3,launch money spike and launch+3 price hold,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,launch_low_stop,launch_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
volume_confirmation_entry,volume_hold_5d,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim,,5,5,launch money spike and launch+5 price hold,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,launch_low_stop,launch_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
volume_confirmation_entry,volume_second_money_rank_jump,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim,,3,20,money rank jumps again after launch,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,launch_low_stop,launch_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
volume_confirmation_entry,volume_rank_money_jump_followthrough,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim,,3,20,ret rank and money rank both improve after launch,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,launch_low_stop,launch_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
sparse_strong_day_followthrough_entry,sparse_limit_followthrough_3d,first_limit_up_like;first_near_limit_up_like;gap_up_upper_close;strong_body_day,,3,3,first limit/near-limit strong day holds low for 3 days,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,launch_low_stop,launch_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,False,False
sparse_strong_day_followthrough_entry,sparse_limit_followthrough_5d,first_limit_up_like;first_near_limit_up_like;gap_up_upper_close;strong_body_day,,5,5,first limit/near-limit strong day holds low for 5 days,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,launch_low_stop,launch_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,False,False
sparse_strong_day_followthrough_entry,gap_up_hold_3d,first_limit_up_like;first_near_limit_up_like;gap_up_upper_close;strong_body_day,,3,3,gap-up upper-close day holds gap-day low for 3 days,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,launch_low_stop,launch_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,False,False
sparse_strong_day_followthrough_entry,strong_body_pullback_hold,first_limit_up_like;first_near_limit_up_like;gap_up_upper_close;strong_body_day,,3,20,strong body day pulls back with contraction and holds key low,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,pullback_low_stop,pullback_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,False,False
sparse_strong_day_followthrough_entry,second_strong_day,first_limit_up_like;first_near_limit_up_like;gap_up_upper_close;strong_body_day,,3,20,another strong body or near-limit day appears after launch,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,launch_low_stop,launch_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,False,False
