target_industry,model_task,fold_id,validation_fold_role,walk_forward_purge_rule_pass,inner_validation_purge_rule_pass,train_event_count_after_purge,train_positive_count_after_purge,train_negative_count_after_purge,train_distinct_instruments,train_distinct_instrument_years,inner_validation_event_count,inner_validation_positive_count,outer_validation_event_count_eligible,outer_validation_positive_count_eligible,outer_validation_distinct_instruments,outer_validation_distinct_instrument_years,inner_train_purged_due_to_label_window_count,fold_status,trainability_rejection_reason,lgbm_training_enabled_for_industry_fold,fold_excluded_from_industry_lgbm_oof_aggregation
汽车,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,True,True,488,42,446,9,26,3,2,213,40,10,10,208,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
汽车,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,True,True,488,42,446,9,26,206,44,260,30,10,10,213,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years,False,True
汽车,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,True,True,708,154,554,11,38,202,40,313,43,12,12,199,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;train_distinct_instrument_years,False,True
交通运输,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,True,True,117,11,106,9,10,4,0,202,15,13,13,230,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
交通运输,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,True,True,351,30,321,10,19,1,0,242,11,14,14,249,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
交通运输,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,True,True,601,39,562,11,30,7,0,293,10,15,15,195,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
交通运输,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,True,True,803,54,749,13,43,9,0,324,8,17,17,254,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;inner_validation_event_count;inner_validation_positive_count,False,True
交通运输,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,True,True,1066,65,1001,14,59,2,0,442,13,18,18,290,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;inner_validation_event_count;inner_validation_positive_count,False,True
机械设备,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,True,True,0,0,0,0,0,50,1,53,27,4,4,47,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_event_count_eligible;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
机械设备,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,True,True,47,0,47,3,3,38,10,146,22,7,7,50,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
机械设备,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,True,True,135,11,124,3,8,7,0,126,5,4,4,80,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
机械设备,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,True,True,135,11,124,3,8,114,22,122,7,5,5,80,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
机械设备,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,True,True,329,60,269,7,19,2,0,138,15,5,5,144,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
建筑材料,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,True,True,0,0,0,0,0,5,0,60,36,4,4,15,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_event_count_eligible;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
建筑材料,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,True,True,16,7,9,1,2,29,0,103,15,5,5,4,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
建筑材料,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,True,True,49,7,42,1,3,5,0,108,5,5,5,60,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
建筑材料,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,True,True,49,7,42,1,3,76,15,59,0,3,3,60,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;outer_validation_event_count_eligible;outer_validation_positive_count_eligible;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
建筑材料,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,True,True,115,43,72,4,10,99,5,30,0,1,1,81,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_event_count_eligible;outer_validation_positive_count_eligible;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
传媒,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,True,True,0,0,0,0,0,25,0,77,22,5,5,14,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_event_count_eligible;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
传媒,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,True,True,39,13,26,1,2,3,0,62,0,2,2,68,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_event_count_eligible;outer_validation_positive_count_eligible;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
传媒,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,True,True,39,13,26,1,2,63,22,33,0,2,2,68,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;outer_validation_event_count_eligible;outer_validation_positive_count_eligible;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
传媒,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,True,True,133,54,79,5,12,39,0,4,0,1,1,39,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_event_count_eligible;outer_validation_positive_count_eligible;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
传媒,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,True,True,172,69,103,5,12,28,0,35,0,1,1,67,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_event_count_eligible;outer_validation_positive_count_eligible;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
电力设备,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,True,True,0,0,0,0,0,10,0,217,64,9,9,77,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
电力设备,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,True,True,87,3,84,5,9,1,1,232,118,14,14,111,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
电力设备,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,True,True,199,10,189,6,14,2,0,415,30,17,17,210,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
电力设备,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,True,True,411,62,349,8,24,11,0,308,0,13,13,219,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_positive_count_eligible,False,True
电力设备,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,True,True,641,191,450,14,40,3,0,208,40,9,9,349,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;inner_validation_event_count;inner_validation_positive_count,False,True
电子,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,True,True,0,0,0,0,0,91,26,343,92,21,21,65,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count,False,True
电子,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,True,True,173,59,114,6,13,1,1,502,57,24,24,313,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
电子,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,True,True,491,221,270,17,30,14,0,369,10,16,16,328,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
电子,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,True,True,834,309,525,21,54,2,0,419,33,14,14,351,disabled_due_to_insufficient_industry_sample_or_purge,inner_validation_event_count;inner_validation_positive_count,False,True
电子,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,True,True,1187,362,825,24,70,10,0,455,158,18,18,366,disabled_due_to_insufficient_industry_sample_or_purge,inner_validation_event_count;inner_validation_positive_count,False,True
国防军工,industry_failure_reject_score_lgbm,fold_2020,p1_promotion_eligible,True,True,30,11,19,1,1,4,0,290,83,7,7,145,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
国防军工,industry_failure_reject_score_lgbm,fold_2021,p1_promotion_eligible,True,True,30,11,19,1,1,114,39,509,266,9,9,171,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years,False,True
国防军工,industry_failure_reject_score_lgbm,fold_2022,p1_promotion_eligible,True,True,315,100,215,2,5,3,0,365,173,7,7,361,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
国防军工,industry_failure_reject_score_lgbm,fold_2023,p1_promotion_eligible,True,True,315,100,215,2,5,399,173,637,200,8,8,361,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years,False,True
国防军工,industry_failure_reject_score_lgbm,fold_2024,robustness_audit_only,True,True,684,188,496,7,20,364,173,566,177,9,9,499,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;train_distinct_instrument_years,False,True
基础化工,industry_failure_reject_score_lgbm,fold_2020,p1_promotion_eligible,True,True,36,11,25,2,2,3,0,365,27,9,9,359,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
基础化工,industry_failure_reject_score_lgbm,fold_2021,p1_promotion_eligible,True,True,36,11,25,2,2,274,68,739,323,16,16,359,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years,False,True
基础化工,industry_failure_reject_score_lgbm,fold_2022,p1_promotion_eligible,True,True,669,235,434,5,11,8,8,440,275,7,7,365,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
基础化工,industry_failure_reject_score_lgbm,fold_2023,p1_promotion_eligible,True,True,1043,271,772,10,21,1,1,435,153,6,6,611,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
基础化工,industry_failure_reject_score_lgbm,fold_2024,robustness_audit_only,True,True,1043,271,772,10,21,400,241,619,225,8,8,649,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;train_distinct_instrument_years,False,True
汽车,industry_failure_reject_score_lgbm,fold_2020,p1_promotion_eligible,True,True,253,84,169,7,10,17,0,605,161,9,9,608,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
汽车,industry_failure_reject_score_lgbm,fold_2021,p1_promotion_eligible,True,True,893,415,478,7,19,1,1,652,320,12,12,545,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
汽车,industry_failure_reject_score_lgbm,fold_2022,p1_promotion_eligible,True,True,1439,611,828,9,25,10,10,642,231,10,10,618,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count,False,True
汽车,industry_failure_reject_score_lgbm,fold_2023,p1_promotion_eligible,True,True,1439,611,828,9,25,635,320,763,304,10,10,618,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;train_distinct_instrument_years,False,True
汽车,industry_failure_reject_score_lgbm,fold_2024,robustness_audit_only,True,True,2692,1095,1597,13,44,1,0,935,304,12,12,609,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;inner_validation_event_count;inner_validation_positive_count,False,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,p1_promotion_eligible,True,True,322,62,260,8,12,1,0,613,201,13,13,717,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
交通运输,industry_failure_reject_score_lgbm,fold_2021,p1_promotion_eligible,True,True,1045,420,625,10,20,1,1,702,139,14,14,746,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
交通运输,industry_failure_reject_score_lgbm,fold_2022,p1_promotion_eligible,True,True,1792,682,1110,11,30,10,0,905,372,15,15,579,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
交通运输,industry_failure_reject_score_lgbm,fold_2023,p1_promotion_eligible,True,True,2381,857,1524,13,44,5,5,939,374,16,16,742,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;inner_validation_event_count;inner_validation_positive_count,False,True
交通运输,industry_failure_reject_score_lgbm,fold_2024,robustness_audit_only,True,True,3128,1075,2053,14,56,4,0,1317,333,18,18,912,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;inner_validation_event_count;inner_validation_positive_count,False,True
机械设备,industry_failure_reject_score_lgbm,fold_2020,p1_promotion_eligible,True,True,0,0,0,0,0,162,61,156,24,4,4,129,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
机械设备,industry_failure_reject_score_lgbm,fold_2021,p1_promotion_eligible,True,True,141,36,105,3,4,114,22,440,246,7,7,150,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
机械设备,industry_failure_reject_score_lgbm,fold_2022,p1_promotion_eligible,True,True,405,107,298,3,8,2,0,378,166,4,4,237,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
机械设备,industry_failure_reject_score_lgbm,fold_2023,p1_promotion_eligible,True,True,405,107,298,3,8,345,186,331,125,5,5,237,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
机械设备,industry_failure_reject_score_lgbm,fold_2024,robustness_audit_only,True,True,662,179,483,6,17,373,166,441,111,5,5,378,disabled_due_to_insufficient_industry_sample_or_purge,train_distinct_instruments;train_distinct_instrument_years;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
建筑材料,industry_failure_reject_score_lgbm,fold_2020,p1_promotion_eligible,True,True,0,0,0,0,0,17,5,163,64,4,4,43,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
建筑材料,industry_failure_reject_score_lgbm,fold_2021,p1_promotion_eligible,True,True,60,5,55,1,2,2,2,318,194,5,5,84,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
建筑材料,industry_failure_reject_score_lgbm,fold_2022,p1_promotion_eligible,True,True,146,22,124,1,4,10,1,335,165,5,5,161,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
建筑材料,industry_failure_reject_score_lgbm,fold_2023,p1_promotion_eligible,True,True,146,22,124,1,4,241,121,162,73,3,3,161,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
建筑材料,industry_failure_reject_score_lgbm,fold_2024,robustness_audit_only,True,True,339,97,242,4,10,297,148,96,28,1,1,244,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
传媒,industry_failure_reject_score_lgbm,fold_2020,p1_promotion_eligible,True,True,0,0,0,0,0,74,59,189,108,5,5,42,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
传媒,industry_failure_reject_score_lgbm,fold_2021,p1_promotion_eligible,True,True,116,60,56,1,2,3,0,171,119,2,2,203,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
传媒,industry_failure_reject_score_lgbm,fold_2022,p1_promotion_eligible,True,True,326,99,227,4,10,1,0,121,77,2,2,150,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
传媒,industry_failure_reject_score_lgbm,fold_2023,p1_promotion_eligible,True,True,477,181,296,5,13,1,1,6,0,1,1,120,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_event_count_eligible;outer_validation_positive_count_eligible;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
传媒,industry_failure_reject_score_lgbm,fold_2024,robustness_audit_only,True,True,477,181,296,5,13,87,47,103,25,1,1,200,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
电力设备,industry_failure_reject_score_lgbm,fold_2020,p1_promotion_eligible,True,True,0,0,0,0,0,5,0,627,142,9,9,229,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
