target_industry,model_task,fold_id,contract_id,early_stopping_uses_inner_validation_only,outer_validation_used_for_early_stopping,outer_validation_used_for_best_iteration,inner_validation_purge_rule_pass,early_stopping_audit_pass
电子,industry_launch_winner_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,True,False,False,True,True
电子,industry_launch_winner_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
电子,industry_launch_winner_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,True,False,False,True,True
电子,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
电子,industry_launch_winner_score_lgbm,fold_2024,T2_pooled_inner_validation,True,False,False,True,True
电子,industry_launch_winner_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,True,False,False,True,True
电子,industry_launch_winner_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,True,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2020,T2_pooled_inner_validation,True,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,True,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,True,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2021,T2_pooled_inner_validation,True,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,True,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,True,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2022,T2_pooled_inner_validation,True,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,True,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,True,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2023,T2_pooled_inner_validation,True,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,True,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,True,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2024,T2_pooled_inner_validation,True,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,True,False,False,True,True
汽车,industry_launch_winner_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,True,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2020,T2_pooled_inner_validation,True,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,True,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,True,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2021,T2_pooled_inner_validation,True,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,True,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,True,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2022,T2_pooled_inner_validation,True,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,True,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,True,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2023,T2_pooled_inner_validation,True,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,True,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,True,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2024,T2_pooled_inner_validation,True,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,True,False,False,True,True
电力设备,industry_launch_winner_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,True,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2020,T2_pooled_inner_validation,True,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,True,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,True,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2021,T2_pooled_inner_validation,True,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,True,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,True,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2022,T2_pooled_inner_validation,True,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,True,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,True,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2023,T2_pooled_inner_validation,True,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,True,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,True,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2024,T2_pooled_inner_validation,True,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,True,False,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,True,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T2_pooled_inner_validation,True,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,True,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,True,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T2_pooled_inner_validation,True,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,True,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,True,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T2_pooled_inner_validation,True,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,True,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,True,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T2_pooled_inner_validation,True,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,True,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,True,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T2_pooled_inner_validation,True,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,True,False,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,True,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2020,T2_pooled_inner_validation,True,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,True,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,True,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2021,T2_pooled_inner_validation,True,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,True,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,True,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,T2_pooled_inner_validation,True,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,True,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,True,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,T2_pooled_inner_validation,True,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,True,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,True,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,False,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,T2_pooled_inner_validation,True,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,True,False,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,False,False,False,True,True
