target_industry,model_task,fold_id,contract_id,lgbm_training_success,model_fit_error,model_training_error_flag,model_non_degenerate_sanity_pass,prediction_nan_rate,prediction_unique_value_count,prediction_std,trained_tree_count,feature_used_count,all_positive_or_all_negative_training_label_flag,count_gate_pass,count_trainable_but_model_fit_failed
汽车,industry_launch_winner_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,247,0.16375665062525782,64,10,False,True,False
汽车,industry_launch_winner_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,257,0.1629462116250321,64,10,False,True,False
汽车,industry_launch_winner_score_lgbm,fold_2024,T2_pooled_inner_validation,True,,False,True,0.0,120,0.06251532847418086,11,7,False,True,False
汽车,industry_launch_winner_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,True,,False,True,0.0,120,0.06251532847418086,11,7,False,True,False
汽车,industry_launch_winner_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,257,0.1629462116250321,64,10,False,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_launch_winner_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_launch_winner_score_lgbm,fold_2020,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_launch_winner_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_launch_winner_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_launch_winner_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_launch_winner_score_lgbm,fold_2021,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_launch_winner_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_launch_winner_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,115,0.047695922993929836,64,8,False,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,191,0.22061385616067097,64,8,False,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2022,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_launch_winner_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_launch_winner_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,191,0.22061385616067097,64,8,False,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,202,0.1960959195517143,64,9,False,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2023,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_launch_winner_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_launch_winner_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,202,0.1960959195517143,64,9,False,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,133,0.12110023457371569,64,9,False,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2024,T2_pooled_inner_validation,True,,False,False,0.0,7,0.010977505932573699,1,4,False,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,True,,False,False,0.0,7,0.010977505932573699,1,4,False,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,133,0.12110023457371569,64,9,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,415,0.20258267456106271,32,14,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2020,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_failure_reject_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_failure_reject_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,415,0.20258267456106271,32,14,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,544,0.20040946673392498,32,17,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2021,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_failure_reject_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_failure_reject_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,544,0.20040946673392498,32,17,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,True,,False,True,0.0,13,0.014420685566703501,1,6,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,849,0.184617651194294,32,17,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2022,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_failure_reject_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_failure_reject_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,849,0.184617651194294,32,17,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,True,,False,True,0.0,13,0.014092292683689,1,9,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,830,0.11260242906349181,32,18,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2023,T2_pooled_inner_validation,True,,False,True,0.0,13,0.01260975057725262,1,6,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,True,,False,True,0.0,13,0.01260975057725262,1,6,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,830,0.11260242906349181,32,18,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,True,,False,True,0.0,16,0.012530156906492673,1,9,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,1023,0.11595795093506236,32,19,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2024,T2_pooled_inner_validation,True,,False,True,0.0,14,0.01319368286483291,1,9,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,True,,False,True,0.0,14,0.01319368286483291,1,9,False,True,False
电子,industry_failure_reject_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,1023,0.11595795093506236,32,19,False,True,False
汽车,industry_failure_reject_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,284,0.17125869469114377,32,17,False,True,False
汽车,industry_failure_reject_score_lgbm,fold_2020,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_failure_reject_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_failure_reject_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,284,0.17125869469114377,32,17,False,True,False
汽车,industry_failure_reject_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,311,0.14790088978077953,32,17,False,True,False
汽车,industry_failure_reject_score_lgbm,fold_2021,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_failure_reject_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_failure_reject_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,311,0.14790088978077953,32,17,False,True,False
汽车,industry_failure_reject_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,278,0.14379333704531047,32,17,False,True,False
汽车,industry_failure_reject_score_lgbm,fold_2022,T2_pooled_inner_validation,True,,False,True,0.0,29,0.023084422247733022,2,11,False,True,False
汽车,industry_failure_reject_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,True,,False,True,0.0,29,0.023084422247733022,2,11,False,True,False
汽车,industry_failure_reject_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,278,0.14379333704531047,32,17,False,True,False
汽车,industry_failure_reject_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,538,0.13967629626261216,32,18,False,True,False
汽车,industry_failure_reject_score_lgbm,fold_2023,T2_pooled_inner_validation,True,,False,True,0.0,298,0.09230455098646877,16,16,False,True,False
汽车,industry_failure_reject_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,True,,False,True,0.0,298,0.09230455098646877,16,16,False,True,False
汽车,industry_failure_reject_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,538,0.13967629626261216,32,18,False,True,False
汽车,industry_failure_reject_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,617,0.12424088396681557,32,18,False,True,False
汽车,industry_failure_reject_score_lgbm,fold_2024,T2_pooled_inner_validation,True,,False,True,0.0,18,0.012942246401246027,1,10,False,True,False
汽车,industry_failure_reject_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,True,,False,True,0.0,18,0.012942246401246027,1,10,False,True,False
汽车,industry_failure_reject_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,617,0.12424088396681557,32,18,False,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2020,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2021,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,339,0.2063749190292002,32,16,False,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,651,0.1595665778740257,32,18,False,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2022,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,651,0.1595665778740257,32,18,False,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,494,0.11223160471740755,32,17,False,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2023,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,494,0.11223160471740755,32,17,False,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,True,,False,True,0.0,772,0.17970484199864506,154,18,False,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,405,0.11890192648832594,32,18,False,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2024,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,405,0.11890192648832594,32,18,False,True,False
