target_industry,model_task,fold_id,fold_role,contract_id,inner_validation_mode,lgbm_training_mode,instrument_gate_profile,count_profile,diagnostic_only,train_event_count_after_purge,train_positive_count_after_purge,train_negative_count_after_purge,train_distinct_instruments,train_distinct_instrument_years,inner_validation_event_count,inner_validation_positive_count,outer_validation_event_count_eligible,outer_validation_positive_count_eligible,outer_validation_distinct_instruments,outer_validation_distinct_instrument_years,required_min_train_event_count_after_purge,required_min_train_positive_count_after_purge,required_min_train_negative_count_after_purge,required_min_inner_validation_event_count,required_min_inner_validation_positive_count,required_min_outer_validation_event_count,required_min_outer_validation_positive_count,required_min_train_distinct_instruments,required_min_train_distinct_instrument_years,required_min_outer_validation_distinct_instruments,required_min_outer_validation_distinct_instrument_years,trainability_count_gate_pass,lgbm_training_success,model_fit_success,model_non_degenerate_sanity_pass,fold_trainability_status,trainability_rejection_reason,eligible_for_p0_9b_discovery_rerun_fold,count_trainable_but_model_fit_failed,required_min_train_dedup_event_count_after_purge,required_min_train_dedup_positive_event_count_after_purge,required_min_outer_validation_dedup_event_count,required_min_outer_validation_dedup_positive_event_count
电子,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,662,277,385,19,47,244,51,380,10,16,16,500,30,100,100,8,80,5,20,40,8,8,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instruments,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,1092,360,732,23,71,0,0,380,10,16,16,400,25,80,60,5,60,5,15,36,5,5,True,True,True,True,trainable_under_safe_probe,,True,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,310,118,192,11,20,587,143,380,10,16,16,400,25,80,60,5,60,5,15,36,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,310,118,192,11,20,587,143,380,10,16,16,400,25,80,60,5,60,5,15,36,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,1092,360,732,23,71,0,0,380,10,16,16,250,15,50,0,0,40,3,11,24,4,4,True,True,True,True,trainable_under_diagnostic_minimal,,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,1096,360,736,23,71,217,0,389,31,13,13,500,30,100,100,8,80,5,20,40,8,8,False,False,False,False,not_trainable_due_to_inner_validation,inner_validation_positive_count,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,1524,362,1162,27,89,0,0,389,31,13,13,400,25,80,60,5,60,5,15,43,5,5,True,True,True,True,trainable_under_safe_probe,,True,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,662,277,385,19,47,674,53,389,31,13,13,400,25,80,60,5,60,5,15,43,5,5,True,True,True,False,trainable_under_safe_probe,,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,662,277,385,19,47,674,53,389,31,13,13,400,25,80,60,5,60,5,15,43,5,5,True,True,True,False,trainable_under_safe_probe,,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,1524,362,1162,27,89,0,0,389,31,13,13,250,15,50,0,0,40,3,11,29,4,4,True,True,True,True,trainable_under_diagnostic_minimal,,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,1524,362,1162,27,89,243,17,455,158,18,18,500,30,100,100,8,80,5,20,40,8,8,True,True,True,True,trainable_under_strict_p0_9,,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,1941,389,1552,27,102,0,0,455,158,18,18,400,25,80,60,5,60,5,16,50,5,5,True,True,True,True,trainable_under_safe_probe,,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,1096,360,736,23,71,625,27,455,158,18,18,400,25,80,60,5,60,5,16,50,5,5,True,True,True,True,trainable_under_safe_probe,,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,1096,360,736,23,71,625,27,455,158,18,18,400,25,80,60,5,60,5,16,50,5,5,True,True,True,True,trainable_under_safe_probe,,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,1941,389,1552,27,102,0,0,455,158,18,18,250,15,50,0,0,40,3,11,33,4,4,True,True,True,True,trainable_under_diagnostic_minimal,,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,219,3,216,9,16,96,27,220,110,10,10,500,30,100,100,8,80,5,20,40,8,8,False,False,False,False,not_trainable_due_to_inner_validation,inner_validation_event_count;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,422,37,385,10,24,0,0,220,110,10,10,400,25,80,60,5,60,5,8,25,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,0,0,0,0,0,303,34,220,110,10,10,400,25,80,60,5,60,5,8,25,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,0,0,0,0,0,303,34,220,110,10,10,400,25,80,60,5,60,5,8,25,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,422,37,385,10,24,0,0,220,110,10,10,250,15,50,0,0,40,3,6,15,4,4,True,True,True,True,trainable_under_diagnostic_minimal,,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,422,37,385,10,24,115,53,232,44,13,13,500,30,100,100,8,80,5,20,40,8,8,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,620,95,525,10,33,0,0,232,44,13,13,400,25,80,60,5,60,5,8,25,5,5,True,True,True,True,trainable_under_safe_probe,,True,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,219,3,216,9,16,291,85,232,44,13,13,400,25,80,60,5,60,5,8,25,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_event_count_after_purge;train_positive_count_after_purge,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,219,3,216,9,16,291,85,232,44,13,13,400,25,80,60,5,60,5,8,25,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_event_count_after_purge;train_positive_count_after_purge,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,620,95,525,10,33,0,0,232,44,13,13,250,15,50,0,0,40,3,6,15,4,4,True,True,True,True,trainable_under_diagnostic_minimal,,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,620,95,525,10,33,136,44,213,40,10,10,500,30,100,100,8,80,5,20,40,8,8,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,865,196,669,14,47,0,0,213,40,10,10,400,25,80,60,5,60,5,9,25,5,5,True,True,True,True,trainable_under_safe_probe,,True,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,422,37,385,10,24,356,154,213,40,10,10,400,25,80,60,5,60,5,9,25,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,422,37,385,10,24,356,154,213,40,10,10,400,25,80,60,5,60,5,9,25,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,865,196,669,14,47,0,0,213,40,10,10,250,15,50,0,0,40,3,6,16,4,4,True,True,True,True,trainable_under_diagnostic_minimal,,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,869,196,673,14,47,111,40,256,30,10,10,500,30,100,100,8,80,5,20,40,8,8,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instruments,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,1064,236,828,15,58,0,0,256,30,10,10,400,25,80,60,5,60,5,9,28,5,5,True,True,True,True,trainable_under_safe_probe,,True,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,620,95,525,10,33,335,84,256,30,10,10,400,25,80,60,5,60,5,9,28,5,5,True,True,True,True,trainable_under_safe_probe,,True,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,620,95,525,10,33,335,84,256,30,10,10,400,25,80,60,5,60,5,9,28,5,5,True,True,True,True,trainable_under_safe_probe,,True,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,1064,236,828,15,58,0,0,256,30,10,10,250,15,50,0,0,40,3,6,19,4,4,True,True,True,True,trainable_under_diagnostic_minimal,,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,1064,236,828,15,58,145,24,313,43,12,12,500,30,100,100,8,80,5,20,40,8,8,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instruments,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,1300,260,1040,15,68,0,0,313,43,12,12,400,25,80,60,5,60,5,9,33,5,5,True,True,True,True,trainable_under_safe_probe,,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,869,196,673,14,47,347,64,313,43,12,12,400,25,80,60,5,60,5,9,33,5,5,True,True,True,True,trainable_under_safe_probe,,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,869,196,673,14,47,347,64,313,43,12,12,400,25,80,60,5,60,5,9,33,5,5,True,True,True,True,trainable_under_safe_probe,,False,False,,,,
汽车,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,1300,260,1040,15,68,0,0,313,43,12,12,250,15,50,0,0,40,3,6,22,4,4,True,True,True,True,trainable_under_diagnostic_minimal,,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,32,2,30,5,5,44,1,217,64,9,9,500,30,100,100,8,80,5,20,40,8,8,False,False,False,False,not_trainable_due_to_inner_validation,inner_validation_event_count;inner_validation_positive_count;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,124,4,120,6,13,0,0,217,64,9,9,400,25,80,60,5,60,5,8,25,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,0,0,0,0,0,87,2,217,64,9,9,400,25,80,60,5,60,5,8,25,5,5,False,False,False,False,not_trainable_due_to_inner_validation,inner_validation_positive_count;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,0,0,0,0,0,87,2,217,64,9,9,400,25,80,60,5,60,5,8,25,5,5,False,False,False,False,not_trainable_due_to_inner_validation,inner_validation_positive_count;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,124,4,120,6,13,0,0,217,64,9,9,250,15,50,0,0,40,3,6,15,4,4,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_event_count_after_purge;train_positive_count_after_purge,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,124,4,120,6,13,96,28,230,118,14,14,500,30,100,100,8,80,5,20,40,8,8,False,False,False,False,not_trainable_due_to_inner_validation,inner_validation_event_count;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,294,37,257,7,19,0,0,230,118,14,14,400,25,80,60,5,60,5,8,25,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,32,2,30,5,5,211,34,230,118,14,14,400,25,80,60,5,60,5,8,25,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,32,2,30,5,5,211,34,230,118,14,14,400,25,80,60,5,60,5,8,25,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,294,37,257,7,19,0,0,230,118,14,14,250,15,50,0,0,40,3,6,15,4,4,True,True,True,True,trainable_under_diagnostic_minimal,,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,294,37,257,7,19,105,87,397,31,18,18,500,30,100,100,8,80,5,20,40,8,8,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,526,160,366,11,34,0,0,397,31,18,18,400,25,80,60,5,60,5,8,25,5,5,True,True,True,True,trainable_under_safe_probe,,True,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,124,4,120,6,13,322,151,397,31,18,18,400,25,80,60,5,60,5,8,25,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,124,4,120,6,13,322,151,397,31,18,18,400,25,80,60,5,60,5,8,25,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,526,160,366,11,34,0,0,397,31,18,18,250,15,50,0,0,40,3,6,15,4,4,True,True,True,True,trainable_under_diagnostic_minimal,,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,526,160,366,11,34,235,30,330,18,15,15,500,30,100,100,8,80,5,20,40,8,8,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,869,221,648,18,54,0,0,330,18,15,15,400,25,80,60,5,60,5,9,25,5,5,True,True,True,True,trainable_under_safe_probe,,True,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,294,37,257,7,19,448,148,330,18,15,15,400,25,80,60,5,60,5,9,25,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,294,37,257,7,19,448,148,330,18,15,15,400,25,80,60,5,60,5,9,25,5,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge,False,False,,,,
电力设备,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,869,221,648,18,54,0,0,330,18,15,15,250,15,50,0,0,40,3,7,17,4,4,True,True,True,True,trainable_under_diagnostic_minimal,,False,False,,,,
