gate_id,gate_type,candidate_scope_id,gate_status,metric_value,threshold_value,threshold_source,train_only_threshold_flag,denominator_compatibility_flag,uses_episode_window_density_flag,uses_future_label_flag,failure_reason
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::family_score_quantile_cut__q095,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::family_score_quantile_cut__q0975,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::consensus_family_count__min2,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::consensus_family_count__min3,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::top_k_per_instrument_month__k1,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::top_k_per_instrument_month__k2,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::top_k_per_instrument_month__k3,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::cooldown_after_selected_event__10d,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::cooldown_after_selected_event__20d,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::cooldown_after_selected_event__40d,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::market_day_top_percentile__top5pct,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::market_day_top_percentile__top10pct,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::market_day_top_percentile__top20pct,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::overlap_deconcentration,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
episode_window_not_hard_gate,hard_fail_guard,all,pass,0.0,0.0,Experiment A requirement,False,True,False,False,
