structure_candidate_id,candidate_generation_version,group,pattern_type,feature_atom_ids,threshold_ids,lookback_days,profile_window_bucket,sequence_lag_days,dedup_gap_days,profile_definition,action_time_definition,trigger_date_policy,background_control_policy,formula_hash,config_row_hash,feature,operator,threshold,required_days,observable_trigger_rule,max_lag_days,first_trigger_only_flag,raw_feature_list,shared_feature_family
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_156070_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,0602d7c813,3,build_window,0,20,return1d >= 0.05; rolling_days=3; required_days=3; window=build_window,return1d >= 0.05; rolling_days=3; required_days=3; window=build_window,first_observable_pattern_complete_date,both,91016f0c008ef9d3,06b40825bafa2b86,return1d,>=,0.05,3,return1d >= 0.05; rolling_days=3; required_days=3; window=build_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_23e5f3_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,773a15ec53,5,continuation_window,0,20,return1d >= 0.03; rolling_days=5; required_days=3; window=continuation_window,return1d >= 0.03; rolling_days=5; required_days=3; window=continuation_window,first_observable_pattern_complete_date,both,41aadd71ac12a2fa,559600a937fc89a3,return1d,>=,0.03,3,return1d >= 0.03; rolling_days=5; required_days=3; window=continuation_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_60f76f_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,773a15ec53,3,full_window,0,20,return1d >= 0.03; rolling_days=3; required_days=3; window=full_window,return1d >= 0.03; rolling_days=3; required_days=3; window=full_window,first_observable_pattern_complete_date,both,30294b0fab8037bb,20c62759597aefeb,return1d,>=,0.03,3,return1d >= 0.03; rolling_days=3; required_days=3; window=full_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_60f76f_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,773a15ec53,5,full_window,0,20,return1d >= 0.03; rolling_days=5; required_days=3; window=full_window,return1d >= 0.03; rolling_days=5; required_days=3; window=full_window,first_observable_pattern_complete_date,both,3d350ee32f8d0b3a,73d6b27e11eb586e,return1d,>=,0.03,3,return1d >= 0.03; rolling_days=5; required_days=3; window=full_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_a96cae_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,773a15ec53,3,early_window,0,20,return1d >= 0.03; rolling_days=3; required_days=3; window=early_window,return1d >= 0.03; rolling_days=3; required_days=3; window=early_window,first_observable_pattern_complete_date,both,69d618b521cbe67b,50f19268ba36febb,return1d,>=,0.03,3,return1d >= 0.03; rolling_days=3; required_days=3; window=early_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_a96cae_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,773a15ec53,5,early_window,0,20,return1d >= 0.03; rolling_days=5; required_days=3; window=early_window,return1d >= 0.03; rolling_days=5; required_days=3; window=early_window,first_observable_pattern_complete_date,both,a773ba6e421c2003,e9daf874b5134e6e,return1d,>=,0.03,3,return1d >= 0.03; rolling_days=5; required_days=3; window=early_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_156070_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,91539d7445,3,build_window,0,20,return1d >= 0.07; rolling_days=3; required_days=3; window=build_window,return1d >= 0.07; rolling_days=3; required_days=3; window=build_window,first_observable_pattern_complete_date,both,d46ffb9c951402bd,62e56d281889169b,return1d,>=,0.07,3,return1d >= 0.07; rolling_days=3; required_days=3; window=build_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_156070_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,91539d7445,5,build_window,0,20,return1d >= 0.07; rolling_days=5; required_days=3; window=build_window,return1d >= 0.07; rolling_days=5; required_days=3; window=build_window,first_observable_pattern_complete_date,both,27b1a3ccfe469fcd,769a2630923d0b79,return1d,>=,0.07,3,return1d >= 0.07; rolling_days=5; required_days=3; window=build_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_23e5f3_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,91539d7445,3,continuation_window,0,20,return1d >= 0.07; rolling_days=3; required_days=3; window=continuation_window,return1d >= 0.07; rolling_days=3; required_days=3; window=continuation_window,first_observable_pattern_complete_date,both,7c8945d697398a02,c3a95047fbb5d6c6,return1d,>=,0.07,3,return1d >= 0.07; rolling_days=3; required_days=3; window=continuation_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_23e5f3_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,91539d7445,5,continuation_window,0,20,return1d >= 0.07; rolling_days=5; required_days=3; window=continuation_window,return1d >= 0.07; rolling_days=5; required_days=3; window=continuation_window,first_observable_pattern_complete_date,both,2d52aa47ee654b2c,45578ea6b9f7e427,return1d,>=,0.07,3,return1d >= 0.07; rolling_days=5; required_days=3; window=continuation_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_60f76f_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,91539d7445,3,full_window,0,20,return1d >= 0.07; rolling_days=3; required_days=3; window=full_window,return1d >= 0.07; rolling_days=3; required_days=3; window=full_window,first_observable_pattern_complete_date,both,35ee1ddf92859c5b,b5d2135f73c34260,return1d,>=,0.07,3,return1d >= 0.07; rolling_days=3; required_days=3; window=full_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_60f76f_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,91539d7445,5,full_window,0,20,return1d >= 0.07; rolling_days=5; required_days=3; window=full_window,return1d >= 0.07; rolling_days=5; required_days=3; window=full_window,first_observable_pattern_complete_date,both,15696ccb42240eec,79ce47a8f91ef745,return1d,>=,0.07,3,return1d >= 0.07; rolling_days=5; required_days=3; window=full_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_a96cae_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,91539d7445,3,early_window,0,20,return1d >= 0.07; rolling_days=3; required_days=3; window=early_window,return1d >= 0.07; rolling_days=3; required_days=3; window=early_window,first_observable_pattern_complete_date,both,651a0289d2fc0854,65daa7b1ee0e5b1d,return1d,>=,0.07,3,return1d >= 0.07; rolling_days=3; required_days=3; window=early_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_a96cae_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,91539d7445,5,early_window,0,20,return1d >= 0.07; rolling_days=5; required_days=3; window=early_window,return1d >= 0.07; rolling_days=5; required_days=3; window=early_window,first_observable_pattern_complete_date,both,ea08ae4f17d327fb,ce1786bcd3e755f8,return1d,>=,0.07,3,return1d >= 0.07; rolling_days=5; required_days=3; window=early_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_813ecf_312b95_156070_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_gap,312b95ee5a,3,build_window,0,20,gap_open_pct >= 0.01; rolling_days=3; required_days=3; window=build_window,gap_open_pct >= 0.01; rolling_days=3; required_days=3; window=build_window,first_observable_pattern_complete_date,both,1db5b5f765a5f43d,bbb99b23b00ed15d,gap_open_pct,>=,0.01,3,gap_open_pct >= 0.01; rolling_days=3; required_days=3; window=build_window,0,True,gap_open_pct,acceleration
r02v2_acceleration_and_gap_persistence_813ecf_312b95_156070_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_gap,312b95ee5a,5,build_window,0,20,gap_open_pct >= 0.01; rolling_days=5; required_days=3; window=build_window,gap_open_pct >= 0.01; rolling_days=5; required_days=3; window=build_window,first_observable_pattern_complete_date,both,ba954ee150010842,98e588d861464919,gap_open_pct,>=,0.01,3,gap_open_pct >= 0.01; rolling_days=5; required_days=3; window=build_window,0,True,gap_open_pct,acceleration
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_gap,312b95ee5a,3,continuation_window,0,20,gap_open_pct >= 0.01; rolling_days=3; required_days=3; window=continuation_window,gap_open_pct >= 0.01; rolling_days=3; required_days=3; window=continuation_window,first_observable_pattern_complete_date,both,201949e665c2e798,5a16b2d41d19943d,gap_open_pct,>=,0.01,3,gap_open_pct >= 0.01; rolling_days=3; required_days=3; window=continuation_window,0,True,gap_open_pct,acceleration
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_gap,312b95ee5a,5,continuation_window,0,20,gap_open_pct >= 0.01; rolling_days=5; required_days=3; window=continuation_window,gap_open_pct >= 0.01; rolling_days=5; required_days=3; window=continuation_window,first_observable_pattern_complete_date,both,97b42ed3514c355d,75316ccb6d1c3e2b,gap_open_pct,>=,0.01,3,gap_open_pct >= 0.01; rolling_days=5; required_days=3; window=continuation_window,0,True,gap_open_pct,acceleration
r02v2_acceleration_and_gap_persistence_813ecf_312b95_60f76f_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_gap,312b95ee5a,3,full_window,0,20,gap_open_pct >= 0.01; rolling_days=3; required_days=3; window=full_window,gap_open_pct >= 0.01; rolling_days=3; required_days=3; window=full_window,first_observable_pattern_complete_date,both,e4524a65ef7901e0,ffcad3a6060a58b9,gap_open_pct,>=,0.01,3,gap_open_pct >= 0.01; rolling_days=3; required_days=3; window=full_window,0,True,gap_open_pct,acceleration
r02v2_acceleration_and_gap_persistence_813ecf_312b95_60f76f_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_gap,312b95ee5a,5,full_window,0,20,gap_open_pct >= 0.01; rolling_days=5; required_days=3; window=full_window,gap_open_pct >= 0.01; rolling_days=5; required_days=3; window=full_window,first_observable_pattern_complete_date,both,b7eb72e748430f85,10aab4bc86bf87b2,gap_open_pct,>=,0.01,3,gap_open_pct >= 0.01; rolling_days=5; required_days=3; window=full_window,0,True,gap_open_pct,acceleration
r02v2_acceleration_and_gap_persistence_813ecf_312b95_a96cae_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_gap,312b95ee5a,3,early_window,0,20,gap_open_pct >= 0.01; rolling_days=3; required_days=3; window=early_window,gap_open_pct >= 0.01; rolling_days=3; required_days=3; window=early_window,first_observable_pattern_complete_date,both,0a4138477767aadf,7fe752aa6ca590d0,gap_open_pct,>=,0.01,3,gap_open_pct >= 0.01; rolling_days=3; required_days=3; window=early_window,0,True,gap_open_pct,acceleration
r02v2_acceleration_and_gap_persistence_813ecf_312b95_a96cae_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_gap,312b95ee5a,5,early_window,0,20,gap_open_pct >= 0.01; rolling_days=5; required_days=3; window=early_window,gap_open_pct >= 0.01; rolling_days=5; required_days=3; window=early_window,first_observable_pattern_complete_date,both,a0fb436c3507c1e6,16a27b77d2a6abdf,gap_open_pct,>=,0.01,3,gap_open_pct >= 0.01; rolling_days=5; required_days=3; window=early_window,0,True,gap_open_pct,acceleration
r02v2_acceleration_and_gap_persistence_813ecf_773a15_156070_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_gap,773a15ec53,3,build_window,0,20,gap_open_pct >= 0.03; rolling_days=3; required_days=3; window=build_window,gap_open_pct >= 0.03; rolling_days=3; required_days=3; window=build_window,first_observable_pattern_complete_date,both,4ade520857b9a84f,cf160f96b2dd4761,gap_open_pct,>=,0.03,3,gap_open_pct >= 0.03; rolling_days=3; required_days=3; window=build_window,0,True,gap_open_pct,acceleration
r02v2_acceleration_and_gap_persistence_813ecf_773a15_156070_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_gap,773a15ec53,5,build_window,0,20,gap_open_pct >= 0.03; rolling_days=5; required_days=3; window=build_window,gap_open_pct >= 0.03; rolling_days=5; required_days=3; window=build_window,first_observable_pattern_complete_date,both,21bea5a4dd0c63e2,ce0bfca5f331bb15,gap_open_pct,>=,0.03,3,gap_open_pct >= 0.03; rolling_days=5; required_days=3; window=build_window,0,True,gap_open_pct,acceleration
r02v2_acceleration_and_gap_persistence_813ecf_773a15_23e5f3_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_gap,773a15ec53,3,continuation_window,0,20,gap_open_pct >= 0.03; rolling_days=3; required_days=3; window=continuation_window,gap_open_pct >= 0.03; rolling_days=3; required_days=3; window=continuation_window,first_observable_pattern_complete_date,both,812bcda693780a3a,29a849a346ce1ef6,gap_open_pct,>=,0.03,3,gap_open_pct >= 0.03; rolling_days=3; required_days=3; window=continuation_window,0,True,gap_open_pct,acceleration
r02v2_acceleration_and_gap_persistence_813ecf_773a15_23e5f3_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_gap,773a15ec53,5,continuation_window,0,20,gap_open_pct >= 0.03; rolling_days=5; required_days=3; window=continuation_window,gap_open_pct >= 0.03; rolling_days=5; required_days=3; window=continuation_window,first_observable_pattern_complete_date,both,7465676e7d42ae31,d0249e62ddf6fd66,gap_open_pct,>=,0.03,3,gap_open_pct >= 0.03; rolling_days=5; required_days=3; window=continuation_window,0,True,gap_open_pct,acceleration
r02v2_acceleration_and_gap_persistence_813ecf_773a15_60f76f_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_gap,773a15ec53,3,full_window,0,20,gap_open_pct >= 0.03; rolling_days=3; required_days=3; window=full_window,gap_open_pct >= 0.03; rolling_days=3; required_days=3; window=full_window,first_observable_pattern_complete_date,both,b1275ff8baf86a58,078379744c6d5c1e,gap_open_pct,>=,0.03,3,gap_open_pct >= 0.03; rolling_days=3; required_days=3; window=full_window,0,True,gap_open_pct,acceleration
r02v2_acceleration_and_gap_persistence_813ecf_773a15_60f76f_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_gap,773a15ec53,5,full_window,0,20,gap_open_pct >= 0.03; rolling_days=5; required_days=3; window=full_window,gap_open_pct >= 0.03; rolling_days=5; required_days=3; window=full_window,first_observable_pattern_complete_date,both,afe546d787fcb5ca,c9aa5754c2227688,gap_open_pct,>=,0.03,3,gap_open_pct >= 0.03; rolling_days=5; required_days=3; window=full_window,0,True,gap_open_pct,acceleration
r02v2_acceleration_and_gap_persistence_813ecf_773a15_a96cae_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_gap,773a15ec53,3,early_window,0,20,gap_open_pct >= 0.03; rolling_days=3; required_days=3; window=early_window,gap_open_pct >= 0.03; rolling_days=3; required_days=3; window=early_window,first_observable_pattern_complete_date,both,1c5788406e1d9951,07655f994eb618b4,gap_open_pct,>=,0.03,3,gap_open_pct >= 0.03; rolling_days=3; required_days=3; window=early_window,0,True,gap_open_pct,acceleration
r02v2_acceleration_and_gap_persistence_813ecf_773a15_a96cae_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_gap,773a15ec53,5,early_window,0,20,gap_open_pct >= 0.03; rolling_days=5; required_days=3; window=early_window,gap_open_pct >= 0.03; rolling_days=5; required_days=3; window=early_window,first_observable_pattern_complete_date,both,a8b2e263a2546742,e5c8fa8b9a6d8df8,gap_open_pct,>=,0.03,3,gap_open_pct >= 0.03; rolling_days=5; required_days=3; window=early_window,0,True,gap_open_pct,acceleration
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_0602d7_156070_6b86b2_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,point_in_window_existence,acceleration_ret1d,0602d7c813,1,build_window,0,20,return1d >= 0.05; rolling_days=1; required_days=1; window=build_window,return1d >= 0.05; rolling_days=1; required_days=1; window=build_window,first_observable_pattern_complete_date,both,0cac09c70d1d11ee,fcc213d36179a6d9,return1d,>=,0.05,1,return1d >= 0.05; rolling_days=1; required_days=1; window=build_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_0602d7_23e5f3_6b86b2_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,point_in_window_existence,acceleration_ret1d,0602d7c813,1,continuation_window,0,20,return1d >= 0.05; rolling_days=1; required_days=1; window=continuation_window,return1d >= 0.05; rolling_days=1; required_days=1; window=continuation_window,first_observable_pattern_complete_date,both,267e04ddff659558,2c8c4dadf3b59805,return1d,>=,0.05,1,return1d >= 0.05; rolling_days=1; required_days=1; window=continuation_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_0602d7_60f76f_6b86b2_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,point_in_window_existence,acceleration_ret1d,0602d7c813,1,full_window,0,20,return1d >= 0.05; rolling_days=1; required_days=1; window=full_window,return1d >= 0.05; rolling_days=1; required_days=1; window=full_window,first_observable_pattern_complete_date,both,cfe69764dc24f08c,7a9f82fca574d0f7,return1d,>=,0.05,1,return1d >= 0.05; rolling_days=1; required_days=1; window=full_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_0602d7_a96cae_6b86b2_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,point_in_window_existence,acceleration_ret1d,0602d7c813,1,early_window,0,20,return1d >= 0.05; rolling_days=1; required_days=1; window=early_window,return1d >= 0.05; rolling_days=1; required_days=1; window=early_window,first_observable_pattern_complete_date,both,785e3ef607be9fc6,dd5ee9b490a0fa1a,return1d,>=,0.05,1,return1d >= 0.05; rolling_days=1; required_days=1; window=early_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_773a15_156070_6b86b2_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,point_in_window_existence,acceleration_ret1d,773a15ec53,1,build_window,0,20,return1d >= 0.03; rolling_days=1; required_days=1; window=build_window,return1d >= 0.03; rolling_days=1; required_days=1; window=build_window,first_observable_pattern_complete_date,both,ab2cdeaad2d5b681,140ad34eb89c4cbd,return1d,>=,0.03,1,return1d >= 0.03; rolling_days=1; required_days=1; window=build_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_773a15_23e5f3_6b86b2_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,point_in_window_existence,acceleration_ret1d,773a15ec53,1,continuation_window,0,20,return1d >= 0.03; rolling_days=1; required_days=1; window=continuation_window,return1d >= 0.03; rolling_days=1; required_days=1; window=continuation_window,first_observable_pattern_complete_date,both,e4f089b4094ad3c1,49489cb03d64be24,return1d,>=,0.03,1,return1d >= 0.03; rolling_days=1; required_days=1; window=continuation_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_773a15_60f76f_6b86b2_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,point_in_window_existence,acceleration_ret1d,773a15ec53,1,full_window,0,20,return1d >= 0.03; rolling_days=1; required_days=1; window=full_window,return1d >= 0.03; rolling_days=1; required_days=1; window=full_window,first_observable_pattern_complete_date,both,34b17cb132a8bd9e,91d05650c56e5020,return1d,>=,0.03,1,return1d >= 0.03; rolling_days=1; required_days=1; window=full_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_773a15_a96cae_6b86b2_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,point_in_window_existence,acceleration_ret1d,773a15ec53,1,early_window,0,20,return1d >= 0.03; rolling_days=1; required_days=1; window=early_window,return1d >= 0.03; rolling_days=1; required_days=1; window=early_window,first_observable_pattern_complete_date,both,a204947308bd500b,30fb4d43f0e4a3c2,return1d,>=,0.03,1,return1d >= 0.03; rolling_days=1; required_days=1; window=early_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_91539d_156070_6b86b2_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,point_in_window_existence,acceleration_ret1d,91539d7445,1,build_window,0,20,return1d >= 0.07; rolling_days=1; required_days=1; window=build_window,return1d >= 0.07; rolling_days=1; required_days=1; window=build_window,first_observable_pattern_complete_date,both,e8b3d18661d71230,63b1c87167bf7509,return1d,>=,0.07,1,return1d >= 0.07; rolling_days=1; required_days=1; window=build_window,0,True,return1d,acceleration
