split_bucket,cost_bps,q_defend,observed_step_n,defended_step_n,formula,formula_recomputed_mismatch_n,formula_recompute_gate,full_defend_reference_q_defend,full_defend_reference_defended_step_n,action_set_sha256,full_defend_reference_action_set_sha256,action_set_equal_to_full_defend_reference,zero_cost_formula_equivalence_expected,nonreference_full_defend_reuse_gate,o5_action_selection_proof_gate,blocking_reason
train,50,0.25,20245,9269,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,9409,209a55b01fcb25494c84eab6ad8fb09f563d622d1e93c395671fd7dfaa68e43a,5578dbebba5767eeede690384bd3e7631976ad235cb5963d4aa6c053f7177210,False,False,pass,pass,
train,50,0.5,20245,8996,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,9409,35e0dd48b8923e36606204df72139b1d471ed14df74be6dd053c9bacbf5fdc82,5578dbebba5767eeede690384bd3e7631976ad235cb5963d4aa6c053f7177210,False,False,pass,pass,
train,100,0.0,20245,8996,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,8996,35e0dd48b8923e36606204df72139b1d471ed14df74be6dd053c9bacbf5fdc82,35e0dd48b8923e36606204df72139b1d471ed14df74be6dd053c9bacbf5fdc82,True,False,reference,pass,
train,100,0.25,20245,8703,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,8996,40e5e2670030511ea69d8a5d0863b8245aff977298b5fbf710e9392f06dab3a8,35e0dd48b8923e36606204df72139b1d471ed14df74be6dd053c9bacbf5fdc82,False,False,pass,pass,
train,100,0.5,20245,8184,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,8996,b336229650da3e34c2ad7736767466e649b80af9f0031ffdc6132dc8a6611f78,35e0dd48b8923e36606204df72139b1d471ed14df74be6dd053c9bacbf5fdc82,False,False,pass,pass,
validation,0,0.0,664,324,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,324,13a7e0df59dbe8043b5f5f33a95a8c0eb204ad2ceb822001fcc2c43546ee14b6,13a7e0df59dbe8043b5f5f33a95a8c0eb204ad2ceb822001fcc2c43546ee14b6,True,False,reference,pass,
validation,0,0.25,664,324,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,324,13a7e0df59dbe8043b5f5f33a95a8c0eb204ad2ceb822001fcc2c43546ee14b6,13a7e0df59dbe8043b5f5f33a95a8c0eb204ad2ceb822001fcc2c43546ee14b6,True,True,pass_same_by_formula_zero_cost,pass,
validation,0,0.5,664,324,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,324,13a7e0df59dbe8043b5f5f33a95a8c0eb204ad2ceb822001fcc2c43546ee14b6,13a7e0df59dbe8043b5f5f33a95a8c0eb204ad2ceb822001fcc2c43546ee14b6,True,True,pass_same_by_formula_zero_cost,pass,
validation,25,0.0,664,321,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,321,d9eff69ccb98d38c509a12a6ca6673fb32844b6158d35e8e591c6075c96a8c11,d9eff69ccb98d38c509a12a6ca6673fb32844b6158d35e8e591c6075c96a8c11,True,False,reference,pass,
validation,25,0.25,664,320,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,321,8bc75d700fd928b6eaae5df8745b4bd0409385ec3e66ea1179d187c21a933a47,d9eff69ccb98d38c509a12a6ca6673fb32844b6158d35e8e591c6075c96a8c11,False,False,pass,pass,
validation,25,0.5,664,319,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,321,0a9612f1d575eb75e26bd4e16c14485a9ccee7b3887d29d1a03281ef20806083,d9eff69ccb98d38c509a12a6ca6673fb32844b6158d35e8e591c6075c96a8c11,False,False,pass,pass,
validation,50,0.0,664,319,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,319,0a9612f1d575eb75e26bd4e16c14485a9ccee7b3887d29d1a03281ef20806083,0a9612f1d575eb75e26bd4e16c14485a9ccee7b3887d29d1a03281ef20806083,True,False,reference,pass,
validation,50,0.25,664,314,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,319,227f50e85b9bff74eb78f51ef129014b8afad28fa27d033e32373f810eb62f21,0a9612f1d575eb75e26bd4e16c14485a9ccee7b3887d29d1a03281ef20806083,False,False,pass,pass,
validation,50,0.5,664,305,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,319,def9b3d10591f0d7b7dabb10a3dca1009abc616cf08efb32c8dcfe6b47c7de46,0a9612f1d575eb75e26bd4e16c14485a9ccee7b3887d29d1a03281ef20806083,False,False,pass,pass,
validation,100,0.0,664,305,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,305,def9b3d10591f0d7b7dabb10a3dca1009abc616cf08efb32c8dcfe6b47c7de46,def9b3d10591f0d7b7dabb10a3dca1009abc616cf08efb32c8dcfe6b47c7de46,True,False,reference,pass,
validation,100,0.25,664,299,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,305,f67fc3d2cb68eb01ac40c9c1c241065b109967ef84d0b0f63699205b28895fcf,def9b3d10591f0d7b7dabb10a3dca1009abc616cf08efb32c8dcfe6b47c7de46,False,False,pass,pass,
validation,100,0.5,664,282,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,305,51f6df7bb2768724bc35bb3dc8c085abf5f334c13b18e9b91420d570eb1e91b5,def9b3d10591f0d7b7dabb10a3dca1009abc616cf08efb32c8dcfe6b47c7de46,False,False,pass,pass,
