launch_episode_id,instrument,episode_start_signal_date,episode_first_execution_date,launch_effective_date,episode_end_signal_date,episode_reset_reason,event_count,executable_event_count,launch_detector_version,launch_detector_config_hash
EP2_LAUNCH_DETECTOR_V0_SH600010_20210901_49baceb42a,SH600010,2021-09-01,2021-09-02,2021-09-02,2021-10-11,ended_after_no_signal_gap,2,2,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600010_20220622_45548618de,SH600010,2022-06-22,2022-06-23,2022-06-23,2022-07-25,ended_after_no_signal_gap,4,4,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600010_20240319_b89ebee7a3,SH600010,2024-03-19,2024-03-20,2024-03-20,2024-04-18,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600010_20240927_7b49592bf0,SH600010,2024-09-27,2024-09-30,2024-09-30,2024-12-06,ended_after_no_signal_gap,7,6,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600010_20250711_f1c2daaf23,SH600010,2025-07-11,2025-07-14,2025-07-14,2025-08-27,ended_after_no_signal_gap,7,7,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600011_20180308_93798672ef,SH600011,2018-03-08,2018-03-09,2018-03-09,2018-04-09,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600011_20180718_fe43202e9c,SH600011,2018-07-18,2018-07-19,2018-07-19,2018-08-17,ended_after_no_signal_gap,3,3,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600011_20190801_928d4ce373,SH600011,2019-08-01,2019-08-02,2019-08-02,2019-08-30,ended_after_no_signal_gap,2,2,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600011_20200706_8178304cfb,SH600011,2020-07-06,2020-07-07,2020-07-07,2020-08-17,ended_after_no_signal_gap,4,4,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600011_20200819_7ec324a7d2,SH600011,2020-08-19,2020-08-20,2020-08-20,2020-09-18,ended_after_no_signal_gap,3,3,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600011_20210322_18a7d27754,SH600011,2021-03-22,2021-03-23,2021-03-23,2021-04-20,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600011_20210818_3659a17248,SH600011,2021-08-18,2021-08-19,2021-08-19,2021-10-29,ended_after_no_signal_gap,11,11,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600011_20211213_be823f8ce9,SH600011,2021-12-13,2021-12-14,2021-12-14,2022-01-11,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600011_20230426_e714cceb8e,SH600011,2023-04-26,2023-04-27,2023-04-27,2023-05-29,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600011_20240103_016ef44dcc,SH600011,2024-01-03,2024-01-04,2024-01-04,2024-01-31,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600011_20250730_9141ea10a5,SH600011,2025-07-30,2025-07-31,2025-07-31,2025-08-27,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600011_20251029_2079abb530,SH600011,2025-10-29,2025-10-30,2025-10-30,2025-11-26,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600015_20180124_bd1abbf620,SH600015,2018-01-24,2018-01-25,2018-01-25,2018-03-12,ended_after_no_signal_gap,2,2,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600015_20180926_5a3f36cae4,SH600015,2018-09-26,2018-09-27,2018-09-27,2018-10-31,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600015_20190225_b9956e222b,SH600015,2019-02-25,2019-02-26,2019-02-26,2019-03-29,ended_after_no_signal_gap,3,3,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600015_20190408_4d3d225c3a,SH600015,2019-04-08,2019-04-09,2019-04-09,2019-05-17,ended_after_no_signal_gap,2,2,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600015_20200706_61c7270485,SH600015,2020-07-06,2020-07-07,2020-07-07,2020-08-03,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600015_20230419_e9121827f5,SH600015,2023-04-19,2023-04-20,2023-04-20,2023-06-06,ended_after_no_signal_gap,4,4,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600015_20240930_22fd11a9df,SH600015,2024-09-30,2024-10-09,2024-10-09,2024-11-05,ended_after_no_signal_gap,2,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600016_20171122_473802b9fb,SH600016,2017-11-22,2017-11-23,2017-11-23,2017-12-21,ended_after_no_signal_gap,2,2,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600016_20180119_d29a136f80,SH600016,2018-01-19,2018-01-22,2018-01-22,2018-02-28,ended_after_no_signal_gap,2,2,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600016_20190225_b3a83eefa7,SH600016,2019-02-25,2019-02-26,2019-02-26,2019-04-01,ended_after_no_signal_gap,3,3,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600016_20200706_72df0631eb,SH600016,2020-07-06,2020-07-07,2020-07-07,2020-08-05,ended_after_no_signal_gap,3,3,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600016_20230504_e0d29a6e6b,SH600016,2023-05-04,2023-05-05,2023-05-05,2023-06-05,ended_after_no_signal_gap,3,3,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600016_20240930_21c416d855,SH600016,2024-09-30,2024-10-09,2024-10-09,2024-11-05,ended_after_no_signal_gap,2,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600016_20241118_c97e743ed2,SH600016,2024-11-18,2024-11-19,2024-11-19,2024-12-17,ended_after_no_signal_gap,2,2,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600016_20250603_ac2bdc5bda,SH600016,2025-06-03,2025-06-04,2025-06-04,2025-07-08,ended_after_no_signal_gap,2,2,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600016_20250710_8c3b6d007c,SH600016,2025-07-10,2025-07-11,2025-07-11,2025-08-07,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600018_20171031_b6060ae66d,SH600018,2017-10-31,2017-11-01,2017-11-01,2017-11-28,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600018_20181116_f67ca11684,SH600018,2018-11-16,2018-11-19,2018-11-19,2018-12-14,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600018_20190225_0e5f3416ea,SH600018,2019-02-25,2019-02-26,2019-02-26,2019-04-15,ended_after_no_signal_gap,7,7,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600018_20190423_1759a6669d,SH600018,2019-04-23,2019-04-24,2019-04-24,2019-05-24,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600018_20200703_b41d776b9e,SH600018,2020-07-03,2020-07-06,2020-07-06,2020-08-10,ended_after_no_signal_gap,5,5,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600018_20201109_a9ba901bf2,SH600018,2020-11-09,2020-11-10,2020-11-10,2020-12-07,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600018_20210114_9ac7878469,SH600018,2021-01-14,2021-01-15,2021-01-15,2021-02-18,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600018_20210603_a66d7fb2c3,SH600018,2021-06-03,2021-06-04,2021-06-04,2021-07-02,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600018_20210705_7629860b18,SH600018,2021-07-05,2021-07-06,2021-07-06,2021-08-04,ended_after_no_signal_gap,3,3,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600018_20210830_a08ba3d3ca,SH600018,2021-08-30,2021-08-31,2021-08-31,2021-10-15,ended_after_no_signal_gap,4,4,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600018_20220105_5424a45e47,SH600018,2022-01-05,2022-01-06,2022-01-06,2022-02-09,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600018_20240709_ef1a12fc35,SH600018,2024-07-09,2024-07-10,2024-07-10,2024-08-06,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600018_20240930_4898144aa0,SH600018,2024-09-30,2024-10-08,2024-10-08,2024-11-05,ended_after_no_signal_gap,2,2,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600019_20171113_4c93a0c322,SH600019,2017-11-13,2017-11-14,2017-11-14,2017-12-12,ended_after_no_signal_gap,2,2,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600019_20180125_ccba0206bb,SH600019,2018-01-25,2018-01-26,2018-01-26,2018-03-01,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600019_20190225_df91f52cda,SH600019,2019-02-25,2019-02-26,2019-02-26,2019-03-26,ended_after_no_signal_gap,2,2,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600019_20200706_bde6f5980f,SH600019,2020-07-06,2020-07-07,2020-07-07,2020-08-06,ended_after_no_signal_gap,3,3,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600019_20201102_5b29f77f38,SH600019,2020-11-02,2020-11-03,2020-11-03,2020-12-07,ended_after_no_signal_gap,3,3,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600019_20210114_76b63793ce,SH600019,2021-01-14,2021-01-15,2021-01-15,2021-02-18,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600019_20210222_230e82e4ca,SH600019,2021-02-22,2021-02-23,2021-02-23,2021-03-31,ended_after_no_signal_gap,2,2,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600019_20210826_cbf02bd783,SH600019,2021-08-26,2021-08-27,2021-08-27,2021-10-18,ended_after_no_signal_gap,4,4,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600019_20221205_17361656a6,SH600019,2022-12-05,2022-12-06,2022-12-06,2023-01-03,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600019_20230220_e004e349cc,SH600019,2023-02-20,2023-02-21,2023-02-21,2023-03-21,ended_after_no_signal_gap,2,2,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600019_20230412_0d86c61e49,SH600019,2023-04-12,2023-04-13,2023-04-13,2023-05-15,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600019_20230904_e1c6f30577,SH600019,2023-09-04,2023-09-05,2023-09-05,2023-10-10,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600019_20240416_af1a1d6734,SH600019,2024-04-16,2024-04-17,2024-04-17,2024-05-20,ended_after_no_signal_gap,2,2,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600019_20241008_e4666c3641,SH600019,2024-10-08,2024-10-09,2024-10-09,2024-11-05,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600019_20250722_364873a52c,SH600019,2025-07-22,2025-07-23,2025-07-23,2025-08-19,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600023_20180125_02c40c93b3,SH600023,2018-01-25,2018-01-26,2018-01-26,2018-03-01,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
EP2_LAUNCH_DETECTOR_V0_SH600023_20180927_dc59d05aa4,SH600023,2018-09-27,2018-09-28,2018-09-28,2018-11-01,ended_after_no_signal_gap,1,1,EP2_LAUNCH_DETECTOR_V0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0
