artifact_key,artifact_role,required_flag,resolver_alias,resolved_path,relative_path,source_experiment_id,source_phase_id,row_count,sha256,source_kind,schema_status,read_status,expected_row_n,observed_row_n,expected_identity_key_n,observed_identity_key_n,cache_hash_validated,cache_schema_validated,cache_key_reconciliation_gate,absolute_path_mismatch_ignored,blocking_reason
eighteen_b_matrix_row_completeness_audit,eighteen_b_handoff,required,eighteen_b_matrix_row_completeness_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/matrix_row_completeness_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/matrix_row_completeness_audit.csv,18_payoff_state_representation_research,18B,4,a41ee571f2d544de1585bb2c6a67577146a93e9045f4a6dfb0714a5a2b749b7d,publishable_or_local_cache,pass,pass,,4,,,exact_match,True,pass,False,
eighteen_b_feature_lineage_audit,eighteen_b_handoff,required,eighteen_b_feature_lineage_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/feature_lineage_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/feature_lineage_audit.csv,18_payoff_state_representation_research,18B,23,917a527a5f3e17f90b8a7b9d1eb635cb94546d2c72334b0b35f47ce3aa8682cc,publishable_or_local_cache,pass,pass,,23,,,exact_match,True,pass,False,
eighteen_b_feature_family_coverage,eighteen_b_handoff,required,eighteen_b_feature_family_coverage,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/feature_family_coverage.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/feature_family_coverage.csv,18_payoff_state_representation_research,18B,7,0666876f334019924500cdcb30102183e381ac0aeb453b4682356601d7505f01,publishable_or_local_cache,pass,pass,,7,,,exact_match,True,pass,False,
eighteen_b_train_only_preprocessing_audit,eighteen_b_handoff,required,eighteen_b_train_only_preprocessing_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/train_only_preprocessing_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/train_only_preprocessing_audit.csv,18_payoff_state_representation_research,18B,23,40da94fee0ac2bff5c79265084e343f8d9717e4e7e88ef1d2f1d8d3ec86f589e,publishable_or_local_cache,pass,pass,,23,,,exact_match,True,pass,False,
eighteen_b_forbidden_feature_audit,eighteen_b_handoff,required,eighteen_b_forbidden_feature_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/forbidden_feature_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/forbidden_feature_audit.csv,18_payoff_state_representation_research,18B,27,b9d0f31ac0f8dbc0f89ff7e5a4025856c0285207d28b9808c4811d3015661cd1,publishable_or_local_cache,pass,pass,,27,,,exact_match,True,pass,False,
eighteen_b_search_accounting_audit,eighteen_b_handoff,required,eighteen_b_search_accounting_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/search_accounting_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/search_accounting_audit.csv,18_payoff_state_representation_research,18B,1,7207bf63dde2ec14e6410f61c19785e6b00abd86b09c6119bdebabf883b2c1a6,publishable_or_local_cache,pass,pass,,1,,,exact_match,True,pass,False,
eighteen_b_report,eighteen_b_handoff,required,eighteen_b_report,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/reports/payoff_state_feature_matrix_audit_report.md,experiments/pending/18_payoff_state_representation_research/outputs/publishable/reports/payoff_state_feature_matrix_audit_report.md,18_payoff_state_representation_research,18B,110,97d60ade0a675f06d9cf127dd8f34dae05b389dce66e23ad190f9195d37de2a7,publishable_or_local_cache,pass,pass,,110,,,exact_match,True,pass,False,
eighteen_b_manifest,eighteen_b_manifest,required,eighteen_b_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/18B_payoff_state_feature_matrix_audit_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/18B_payoff_state_feature_matrix_audit_manifest.json,18_payoff_state_representation_research,18B,1,9f9945356f70cd30352806fc5f547d190d2000fdcdaee76a727a1ae56acd5921,publishable_or_local_cache,pass,pass,,1,,,not_manifested,True,pass,False,
eighteen_b_matrix_manifest,eighteen_b_manifest,required,eighteen_b_matrix_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/payoff_state_feature_matrix_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/payoff_state_feature_matrix_manifest.json,18_payoff_state_representation_research,18B,1,b22f0dbbb13ae60b452c2ffab89bc116f5f799175f26931fbe2e5150a65153b6,publishable_or_local_cache,pass,pass,,1,,,exact_match,True,pass,False,
eighteen_b_input_artifact_manifest,eighteen_b_manifest,required,eighteen_b_input_artifact_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/input_artifact_manifest_18b.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/input_artifact_manifest_18b.json,18_payoff_state_representation_research,18B,1,3802f8359b355413e24252029546118444d7a1e95d5bc49ea5420306894c63b0,publishable_or_local_cache,pass,pass,,1,,,exact_match,True,pass,False,
eighteen_a_target_contract_doc,eighteen_a_target_contract,required,eighteen_a_target_contract_doc,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/payoff_state_target_contract.md,experiments/pending/18_payoff_state_representation_research/outputs/publishable/payoff_state_target_contract.md,18_payoff_state_representation_research,18A,51,e5db7639d27386d1ac643213c4b09566887fe7c633b299d97d22553c94e2c6d2,publishable_or_local_cache,pass,pass,,51,,,not_manifested,True,pass,False,
eighteen_a_decision,eighteen_a_target_contract,required,eighteen_a_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/payoff_state_contract_decision.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/payoff_state_contract_decision.csv,18_payoff_state_representation_research,18A,1,317ef5f7a3aaf81c80537b4a3e0f95cb7e4464501a9ef03ff0e228c12de069f4,publishable_or_local_cache,pass,pass,,1,,,not_manifested,True,pass,False,
eighteen_a_target_definition_registry,eighteen_a_target_contract,required,eighteen_a_target_definition_registry,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_definition_registry.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_definition_registry.csv,18_payoff_state_representation_research,18A,6,a1defde0c5fc74b78c05f17e08494aa1d2e55f960d8eb4daa0a0d7cdc26c878e,publishable_or_local_cache,pass,pass,,6,,,not_manifested,True,pass,False,
eighteen_a_target_denominator_reconciliation,eighteen_a_target_contract,required,eighteen_a_target_denominator_reconciliation,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_denominator_reconciliation.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_denominator_reconciliation.csv,18_payoff_state_representation_research,18A,3,bca81068d09e4a9a65a36cd0bfe3ee6d7b48721ed23f402fc4cc133e695ebc15,publishable_or_local_cache,pass,pass,,3,,,not_manifested,True,pass,False,
eighteen_a_payoff_cutoff_freeze,eighteen_a_target_contract,required,eighteen_a_payoff_cutoff_freeze,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/payoff_cutoff_freeze.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/payoff_cutoff_freeze.csv,18_payoff_state_representation_research,18A,3,90f11e08b53b144c72986a79a27ccc87e68813410978c4b647db0f613dceec4a,publishable_or_local_cache,pass,pass,,3,,,not_manifested,True,pass,False,
eighteen_a_neutral_preservation_audit,eighteen_a_target_contract,required,eighteen_a_neutral_preservation_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/neutral_preservation_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/neutral_preservation_audit.csv,18_payoff_state_representation_research,18A,3,ad2e1bf16fc9ef2f0c06f580df978031798cf809fa73e534c2bd0ec25091f3df,publishable_or_local_cache,pass,pass,,3,,,not_manifested,True,pass,False,
eighteen_a_manifest,eighteen_a_manifest,required,eighteen_a_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/18A_payoff_state_contract_preflight_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/18A_payoff_state_contract_preflight_manifest.json,18_payoff_state_representation_research,18A,1,1d7d4162874e09ce53e656e53f90105ebfb516173fadda0da76ba82ce6743e1e,publishable_or_local_cache,pass,pass,,1,,,not_manifested,True,pass,False,
eighteen_a_target_contract_manifest,eighteen_a_manifest,required,eighteen_a_target_contract_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/payoff_state_target_contract_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/payoff_state_target_contract_manifest.json,18_payoff_state_representation_research,18A,1,96874e6c4e3eb5588742e588e3a0abcb2dc9f14ca29e4f4a72fb27ffaeaa6bad,publishable_or_local_cache,pass,pass,,1,,,not_manifested,True,pass,False,
sixteen_x_survival_vs_payoff_rank_ic,sixteen_x_external_context,required,sixteen_x_survival_vs_payoff_rank_ic,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16X_payoff_aligned_continuation_label_power_precheck/survival_vs_payoff_rank_ic_readout.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16X_payoff_aligned_continuation_label_power_precheck/survival_vs_payoff_rank_ic_readout.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16X,6,e232bd2540319c0db1f1ab28a262ef0d21895bfe902605afba2a6c9f480741d9,publishable_or_local_cache,pass,pass,,6,,,not_manifested,True,pass,False,
sixteen_x_payoff_decile_monotonicity,sixteen_x_external_context,required,sixteen_x_payoff_decile_monotonicity,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16X_payoff_aligned_continuation_label_power_precheck/payoff_decile_monotonicity_readout.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16X_payoff_aligned_continuation_label_power_precheck/payoff_decile_monotonicity_readout.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16X,30,08bfb9a79900930a57a6869240439af3e1ce28bce4a0ea5aa0f78a5613d1a399,publishable_or_local_cache,pass,pass,,30,,,not_manifested,True,pass,False,
sixteen_x_cluster_bootstrap_rank_ic,sixteen_x_external_context,required,sixteen_x_cluster_bootstrap_rank_ic,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16X_payoff_aligned_continuation_label_power_precheck/cluster_bootstrap_rank_ic_readout.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16X_payoff_aligned_continuation_label_power_precheck/cluster_bootstrap_rank_ic_readout.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16X,1,c6074697aae01f4e5b4978c26eb1eb160bd1a894f2e45169d714f9720ed895d2,publishable_or_local_cache,pass,pass,,1,,,not_manifested,True,pass,False,
sixteen_x_decision,sixteen_x_external_context,required,sixteen_x_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16X_payoff_aligned_continuation_label_power_precheck/payoff_aligned_label_power_precheck_decision.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16X_payoff_aligned_continuation_label_power_precheck/payoff_aligned_label_power_precheck_decision.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16X,1,fecea56c99089e0b311460f9d9e74a751f5f77e55ab1ca09e865765265ad4bc9,publishable_or_local_cache,pass,pass,,1,,,not_manifested,True,pass,False,
sixteen_x_manifest,sixteen_x_external_context,required,sixteen_x_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16X_payoff_aligned_continuation_label_power_precheck_manifest.json,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16X_payoff_aligned_continuation_label_power_precheck_manifest.json,16_winner_episode_sequential_sampling_geometry_preflight_v0,16X,1,bb326f190cfb4ffe523c490b4f48c71caf41b4b75360e5f66e1b65932fcb108c,publishable_or_local_cache,pass,pass,,1,,,not_manifested,True,pass,False,
sixteen_c_grouped_cv_separability,sixteen_c_appendix_binary_context,required,sixteen_c_grouped_cv_separability,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/grouped_cv_separability_readout.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/grouped_cv_separability_readout.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16C,30,81945f0bc09aa8007d8c0bb0e528e7349497f06d6a116d577b74f5e9a1dbeec4,publishable_or_local_cache,pass,pass,,30,,,not_manifested,True,pass,False,
sixteen_c_oos_separability,sixteen_c_appendix_binary_context,required,sixteen_c_oos_separability,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/oos_separability_readout.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/oos_separability_readout.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16C,9,7aab3c299a0996759710d646090883e85d02154aa4262a7666c479880c17b744,publishable_or_local_cache,pass,pass,,9,,,not_manifested,True,pass,False,
sixteen_c_model_registry,sixteen_c_appendix_binary_context,required,sixteen_c_model_registry,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/separability_model_registry.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/separability_model_registry.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16C,3,da1eea913fc4c905b68a8efc3b1fc45f365578df8164ffea6d34d7b65ccccf25,publishable_or_local_cache,pass,pass,,3,,,not_manifested,True,pass,False,
sixteen_c_decision,sixteen_c_appendix_binary_context,required,sixteen_c_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/sequential_continuation_separability_decision.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/sequential_continuation_separability_decision.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16C,1,a871434a263d5d0312ca96d48a88fbaeba2256197ac411f5648f07b1a13a94d5,publishable_or_local_cache,pass,pass,,1,,,not_manifested,True,pass,False,
sixteen_c_t0_feature_contract,sixteen_c_appendix_binary_context,required,sixteen_c_t0_feature_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/t0_feature_contract.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/t0_feature_contract.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16C,50,f3b81836448289206909a85d64131d5f61dc54540e1a0294cb81d312d6ac080c,publishable_or_local_cache,pass,pass,,50,,,not_manifested,True,pass,False,
sixteen_c_manifest,sixteen_c_appendix_binary_context,required,sixteen_c_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16C_sequential_continuation_separability_diagnostic_manifest.json,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16C_sequential_continuation_separability_diagnostic_manifest.json,16_winner_episode_sequential_sampling_geometry_preflight_v0,16C,1,fdf564a7f159fe2311d0397fa479f378d3de8bec585e173c7584f8a821209a4a,publishable_or_local_cache,pass,pass,,1,,,not_manifested,True,pass,False,
sixteen_x_reference_values,sixteen_x_external_context_integrity,required,sixteen_x_reference_values,sixteen_x_external_context_reference_values,sixteen_x_external_context_reference_values,16_winner_episode_sequential_sampling_geometry_preflight_v0,16X,3,52dce8a95e72e07123ec0f1b3ca23b6ef266c6986f314509894aeade13c14b33,source_value_reference_check,pass,pass,3.0,3,,,exact_match,True,pass,False,
