artifact_key,artifact_role,required_flag,resolved_path,relative_path,source_phase_id,row_count,sha256,schema_status,lineage_status,gate_status,blocking_reason
seventeen_c_decision,17c_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/oracle_robustness_decision.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/oracle_robustness_decision.csv,17C,1,1248bc675cebfa3493210863ea450c0da303f99916e31f0e7100fb3ddc80ba13,pass,pass,pass,
seventeen_c_search_accounting_audit,17c_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/search_accounting_audit.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/search_accounting_audit.csv,17C,1,1339928124b285070707d4a9c289b48a6527335f78d8bcabcce78baf9c657671,pass,pass,pass,
seventeen_c_report,17c_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/reports/oracle_robustness_stress_report.md,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/reports/oracle_robustness_stress_report.md,17C,192,0c03d788b651656d34f1111ebcbd6b39a9bd7e12636e79edd8d8c5a51dbfbfcf,pass,pass,pass,
seventeen_c_manifest,17c_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/17C_oracle_robustness_stress_manifest.json,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/17C_oracle_robustness_stress_manifest.json,17C,1,f5585ae449032da8438b519e29a3cb3be511051d6004496d97046d1f61417aad,pass,pass,pass,
seventeen_c_engine_manifest,17c_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/oracle_robustness_engine_manifest.json,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/oracle_robustness_engine_manifest.json,17C,1,ab6a93b6029891962b4ecc2547a1f2976790403b114c618127b8545be0dd794a,pass,pass,pass,
seventeen_c_input_artifact_manifest,17c_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/input_artifact_manifest_17c.json,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/input_artifact_manifest_17c.json,17C,1,5cd7798119ac32dfc136bcce1779ec0d421d10399f0cb20f7e7ba8ea2f5f3772,pass,pass,pass,
seventeen_b_ladder_summary,17b_supporting,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_ladder_summary.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_ladder_summary.csv,17B,432,d7a9f8ad465cd0b9908348af35a964dc17c7d571be983ac1fce618a7c3475d97,pass,pass,pass,
seventeen_b_six_cell_decomposition,17b_supporting,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_six_cell_decomposition.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_six_cell_decomposition.csv,17B,1911,cd27a9a371d95a9fcd84ed104f73d08077fb660990424d361abbd71d20edc180,pass,pass,pass,
seventeen_b_action_intensity_frontier,17b_supporting,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_action_intensity_frontier.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_action_intensity_frontier.csv,17B,396,cb8ada660cd0e8f36f25413ddde978e7526936679581fb4418abe212b8b4d520,pass,pass,pass,
seventeen_b_neutral_stress,17b_supporting,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_neutral_stress.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_neutral_stress.csv,17B,72,60932f4d84f5b2705db8b597aafde9f3b4edf776fe8c833469d21e46a4fda330,pass,pass,pass,
seventeen_b_o2_drawdown_threshold_replay,17b_supporting,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_o2_drawdown_threshold_replay.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_o2_drawdown_threshold_replay.csv,17B,15,d9b56f0bf7d84a8700959ef2e1b5550f6aa8e5f44c61febacdc14ad3514753e6,pass,pass,pass,
seventeen_b_o5_action_selection_proof,17b_supporting,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_o5_action_selection_proof.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_o5_action_selection_proof.csv,17B,36,4ca16a5ba518b5e9a62cfaa02f2eaa92681b6f0ebf53fad6176701087c8f8e4f,pass,pass,pass,
seventeen_b_high_upside_threshold_freeze,17b_supporting,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_high_upside_threshold_freeze.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_high_upside_threshold_freeze.csv,17B,3,0ab46b8f5044126bf17456702f8eb9c94d93f3d1ab5f2f96b89c05b52a78c5f2,pass,pass,pass,
seventeen_b_manifest,17b_supporting,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/17B_oracle_ladder_replay_manifest.json,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/17B_oracle_ladder_replay_manifest.json,17B,1,44e4f0b15527697b63ba62b4e791d427cec5587e72a08159fb1b28c37f9d1bd9,pass,pass,pass,
sixteen_d_decision,16_reference,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/sequential_continuation_policy_preflight_decision.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/sequential_continuation_policy_preflight_decision.csv,16D,1,cc2b1829e34e70cd6aac2bf6abf9c6001aa2d890f06683e0c9c08d05b2b5ef67,pass,pass,pass,
sixteen_d_policy_confusion_readout,16_reference,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/policy_confusion_readout.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/policy_confusion_readout.csv,16D,12,33c0f7e9f211505526da2b5ae7afb2dfbb84d70971107789398e6feae117648c,pass,pass,pass,
sixteen_d_manifest,16_reference,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16D_sequential_continuation_policy_preflight_manifest.json,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16D_sequential_continuation_policy_preflight_manifest.json,16D,1,88c2ee6d4f1aea310c9b1135b049d4fa984d781f699d245fc46b27fcb0e40aa9,pass,pass,pass,
sixteen_e_decision,16_reference,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/sequential_continuation_utility_decision.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/sequential_continuation_utility_decision.csv,16E,1,262c6da6ba6a3ddb300137302c3eb304ad4bf57a984aa2129f4c8c42551e6aee,pass,pass,pass,
sixteen_e_six_cell_reconciliation,16_reference,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/six_cell_utility_reconciliation.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/six_cell_utility_reconciliation.csv,16E,360,21e68bf6076a9cddc7cc5ac181cb1f7c8fb9d138f7000dc871fd740498a0f717,pass,pass,pass,
sixteen_e_manifest,16_reference,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16E_sequential_continuation_utility_diagnostic_manifest.json,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16E_sequential_continuation_utility_diagnostic_manifest.json,16E,1,bb94b4703c9b6937bab9d3c71d6f3163b730c49aeeb298131acd1ead86c4b62e,pass,pass,pass,
sixteen_e_postmortem_decision,16_reference,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_postmortem_continuation_utility_failure_decomposition/continuation_utility_failure_postmortem_decision.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_postmortem_continuation_utility_failure_decomposition/continuation_utility_failure_postmortem_decision.csv,16E_postmortem,1,cd5e5f383df634ad3f3f8424eb296ea86edd1c7d8e28219de6fd07c236513c97,pass,pass,pass,
sixteen_e_postmortem_failure_arithmetic,16_reference,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_postmortem_continuation_utility_failure_decomposition/failure_arithmetic_attribution.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_postmortem_continuation_utility_failure_decomposition/failure_arithmetic_attribution.csv,16E_postmortem,12,0b566eec1cd381401c95f9d7eca85c5d53b74822cf8094b31953e7ef80468aac,pass,pass,pass,
sixteen_e_postmortem_manifest,16_reference,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16E_postmortem_continuation_utility_failure_decomposition_manifest.json,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16E_postmortem_continuation_utility_failure_decomposition_manifest.json,16E_postmortem,1,861cb9745dcd0ea7c42b0c7dc800a0ea48b63eaabf5c575ab089b9881d0232f9,pass,pass,pass,
sixteen_x_decision,16_reference,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16X_payoff_aligned_continuation_label_power_precheck/payoff_aligned_label_power_precheck_decision.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16X_payoff_aligned_continuation_label_power_precheck/payoff_aligned_label_power_precheck_decision.csv,16X,1,fecea56c99089e0b311460f9d9e74a751f5f77e55ab1ca09e865765265ad4bc9,pass,pass,pass,
sixteen_x_survival_vs_payoff_rank_ic,16_reference,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16X_payoff_aligned_continuation_label_power_precheck/survival_vs_payoff_rank_ic_readout.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16X_payoff_aligned_continuation_label_power_precheck/survival_vs_payoff_rank_ic_readout.csv,16X,6,e232bd2540319c0db1f1ab28a262ef0d21895bfe902605afba2a6c9f480741d9,pass,pass,pass,
sixteen_x_manifest,16_reference,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16X_payoff_aligned_continuation_label_power_precheck_manifest.json,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16X_payoff_aligned_continuation_label_power_precheck_manifest.json,16X,1,bb326f190cfb4ffe523c490b4f48c71caf41b4b75360e5f66e1b65932fcb108c,pass,pass,pass,
episode_16_report,16_reference,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/reports/episode_16_final_report.md,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/reports/episode_16_final_report.md,16,306,30614aeed40d65c29bcc21820956133227e13dce4aa2924f9fde454dcd206ab9,pass,pass,pass,
episode_16_report_manifest,16_reference,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/episode_16_final_report_manifest.json,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/episode_16_final_report_manifest.json,16,1,7fe84fc2223084a29080d56bfae5f43bb9a296c22c26b5ceba50c676231cb677,pass,pass,pass,
