primitive_id,industry,task,primitive_family,token_coverage_pass,baseline_missing_pass,baseline_sparsity_pass,candidate_level_null_pass,fdr_pass,placebo_stress_pass,slice_stability_pass,concentration_pass,manualizability_pass,candidate_freeze_pass,metric_nonselection_pass,threshold_nonselection_pass,atomic_primitive_candidate_for_next_requirement,reason_if_not_allowed,blocking_audit_name
E10P_afcfe299be7e2156,电子,failure_reject,negative_control_placebo_context,True,True,True,False,True,True,True,True,True,True,True,True,False,collapsed_under_null;placebo_only,collapsed_under_null
E10P_18c59a8b0ea4d8b0,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_fbc505e2279705a9,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_1c7fb66503e4a518,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_11bcc105568782e4,电子,failure_reject,negative_control_placebo_context,False,True,True,False,False,True,True,False,True,True,True,True,False,zero_or_insufficient_support;collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,zero_or_insufficient_support
E10P_33e137e657941b7a,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_b5c5f956ce71d883,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_bfbfe8713bfd5816,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_eaf45c51d3fe347c,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_393a0903ecddc5d6,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_5b155243c948f3c4,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_56e76a63f8e95934,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_e7813e8d95a95984,电子,failure_reject,negative_control_placebo_context,True,True,True,True,True,True,True,True,True,True,True,True,False,placebo_only,placebo_only
E10P_821bfa560d95ffda,电子,failure_reject,negative_control_placebo_context,True,True,True,True,True,True,True,True,True,True,True,True,False,placebo_only,placebo_only
E10P_262092b494790e95,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_ef96ca2290c458a9,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_1d51cf825614d006,电子,failure_reject,negative_control_placebo_context,True,True,True,True,True,True,True,True,True,True,True,True,False,placebo_only,placebo_only
E10P_449b1397e9794a47,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_5345f3c2f7d3b2cf,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_d3b36670a9ee1b53,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_5208b4ed8fc01a6f,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_e2f4fb2ac91aeecb,电子,launch_winner,negative_control_placebo_context,True,True,True,False,True,True,True,False,True,True,True,True,False,collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_c60b0ff29b6e52ee,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_b1b366a8d2499b5b,电子,launch_winner,negative_control_placebo_context,True,True,True,False,True,True,True,True,True,True,True,True,False,collapsed_under_null;placebo_only,collapsed_under_null
E10P_e84a85497fc991c3,电子,launch_winner,negative_control_placebo_context,True,True,True,True,True,True,True,False,True,True,True,True,False,instrument_year_concentration_too_high;placebo_only,instrument_year_concentration_too_high
E10P_a2c68e34ef2e46a0,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_e40b29e431c53a58,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_39addf27d0b1ba22,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_d04ba7a0e908943a,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_2400afdb9faa9a03,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_558731f0cc316b9a,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_367a5d2f079af4db,电子,launch_winner,negative_control_placebo_context,True,True,True,False,True,True,True,True,True,True,True,True,False,collapsed_under_null;placebo_only,collapsed_under_null
E10P_7f02019ba1008c99,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_70e283b4dd81bfdf,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_205ed2447bfe53e3,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_adc4838a93b40f1e,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_78782126f100098c,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_d3de6f1a2c1feef0,电子,launch_winner,negative_control_placebo_context,True,True,True,False,True,True,True,True,True,True,True,True,False,collapsed_under_null;placebo_only,collapsed_under_null
E10P_a46f7f70656a0f26,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_80dd14e9df6e958d,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_72eb6c3f66d986c9,电子,launch_winner,negative_control_placebo_context,True,True,True,True,True,True,True,True,True,True,True,True,False,placebo_only,placebo_only
E10P_d0b4bb7ec5ac98f8,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_5a1bfa9ff575149c,电子,launch_winner,negative_control_placebo_context,True,True,True,False,True,True,True,False,True,True,True,True,False,collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_7ced6b2cb737f206,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_308e296db69b37c6,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_8de0f22e9fa43f9f,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_68593afc51468cbe,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_228b89d21b8cabe0,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_3194adde5c1df849,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_09073440e50ae261,电子,launch_winner,negative_control_placebo_context,True,True,True,False,True,True,True,True,True,True,True,True,False,collapsed_under_null;placebo_only,collapsed_under_null
E10P_b758424387384f0b,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_dc2a6da703381a66,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_f06a8da6763dffa4,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_53a92f223a100453,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_d253227d5808840d,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_5c0f09c69876cad4,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_264cc142c167b9c7,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_f0a842530fbee9f3,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_1cccff497a94d873,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_3cac8b79158fd63a,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_d6429e5bff6b25bf,电子,launch_winner,negative_control_placebo_context,True,True,True,False,True,True,True,True,True,True,True,True,False,collapsed_under_null;placebo_only,collapsed_under_null
E10P_29ebf5e47766ba4f,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_c49644c23a1def6e,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_3e4d266b0e9205e2,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_165a04d26b35d682,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_e943f47006db02d2,电子,launch_winner,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_b447a3bcb176167e,电子,launch_winner,negative_control_placebo_context,True,True,True,False,True,True,True,True,True,True,True,True,False,collapsed_under_null;placebo_only,collapsed_under_null
