feature_name,feature_family,feature_role,formula_template_id,formula_text,raw_inputs,window,cross_section_scope,normalization_scope,feature_asof_rule,missing_value_policy,allowed_for_path_extraction,allowed_for_primitive_formula,raw_required_field_exempt,pit_required,transform_type,frozen_train_transform_required,train_fold_quantile_required,eligible_denominator_field,leakage_risk_level,formula_hash,allowed_for_launch,allowed_for_failure
close_over_close_20d,rolling_return,atomic_feature,rolling_return,close_over_close_20d,open;high;low;close;volume;money,20,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,5cc5b2f608db7291,True,True
close_over_close_2d,rolling_return,atomic_feature,rolling_return,close_over_close_2d,open;high;low;close;volume;money,2,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,fd813bba94a5b2f5,True,True
close_over_close_3d,rolling_return,atomic_feature,rolling_return,close_over_close_3d,open;high;low;close;volume;money,3,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,452a8f3892c80b8d,True,True
close_over_close_40d,rolling_return,atomic_feature,rolling_return,close_over_close_40d,open;high;low;close;volume;money,40,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,cfea0f947e16aab0,True,True
close_over_close_5d,rolling_return,atomic_feature,rolling_return,close_over_close_5d,open;high;low;close;volume;money,5,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,920ebef95d4707c8,True,True
close_over_close_60d,rolling_return,atomic_feature,rolling_return,close_over_close_60d,open;high;low;close;volume;money,60,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,69ed391d59dc27b9,True,True
ret_10d,rolling_return,atomic_feature,rolling_return,ret_10d,open;high;low;close;volume;money,10,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,fc7040789076e462,True,True
ret_120d,rolling_return,atomic_feature,rolling_return,ret_120d,open;high;low;close;volume;money,120,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,9906a5b14b8b6077,True,True
ret_1d,rolling_return,atomic_feature,rolling_return,ret_1d,open;high;low;close;volume;money,1,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,7af3045123159e23,True,True
ret_20d,rolling_return,atomic_feature,rolling_return,ret_20d,open;high;low;close;volume;money,20,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,75e6b90b3358d20c,True,True
ret_2d,rolling_return,atomic_feature,rolling_return,ret_2d,open;high;low;close;volume;money,2,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,18df7b7a49d782d1,True,True
ret_3d,rolling_return,atomic_feature,rolling_return,ret_3d,open;high;low;close;volume;money,3,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,9391371abea3b461,True,True
ret_40d,rolling_return,atomic_feature,rolling_return,ret_40d,open;high;low;close;volume;money,40,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,426fd69f47f348de,True,True
ret_5d,rolling_return,atomic_feature,rolling_return,ret_5d,open;high;low;close;volume;money,5,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,ce250faae4d09766,True,True
ret_60d,rolling_return,atomic_feature,rolling_return,ret_60d,open;high;low;close;volume;money,60,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,9d12374e53c7f6b5,True,True
return_acceleration_20_60,rolling_return,atomic_feature,rolling_return,return_acceleration_20_60,open;high;low;close;volume;money,2060,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,5b46c4ecbd7eb199,True,True
return_acceleration_5_20,rolling_return,atomic_feature,rolling_return,return_acceleration_5_20,open;high;low;close;volume;money,520,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,d55d5e0202c301bc,True,True
return_slope_10d,rolling_return,atomic_feature,rolling_return,return_slope_10d,open;high;low;close;volume;money,10,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,301a54e6ebcad7fc,True,True
return_slope_120d,rolling_return,atomic_feature,rolling_return,return_slope_120d,open;high;low;close;volume;money,120,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,0b13ef7f3e6f30d1,True,True
return_slope_1d,rolling_return,atomic_feature,rolling_return,return_slope_1d,open;high;low;close;volume;money,1,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,d8cbe0793c9feadb,True,True
return_slope_20d,rolling_return,atomic_feature,rolling_return,return_slope_20d,open;high;low;close;volume;money,20,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,01b7aac208522950,True,True
return_slope_2d,rolling_return,atomic_feature,rolling_return,return_slope_2d,open;high;low;close;volume;money,2,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,44a40e6c0f3146da,True,True
return_slope_3d,rolling_return,atomic_feature,rolling_return,return_slope_3d,open;high;low;close;volume;money,3,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,02abca8ca5e50d7e,True,True
return_slope_40d,rolling_return,atomic_feature,rolling_return,return_slope_40d,open;high;low;close;volume;money,40,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,f98d51b3f4900ec0,True,True
return_slope_5d,rolling_return,atomic_feature,rolling_return,return_slope_5d,open;high;low;close;volume;money,5,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,8cfdae3d1f9af0a2,True,True
return_slope_60d,rolling_return,atomic_feature,rolling_return,return_slope_60d,open;high;low;close;volume;money,60,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,a1ef540e9ebb7e27,True,True
close_over_ma_10,price_distance,atomic_feature,price_distance,close_over_ma_10,open;high;low;close;volume;money,10,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,cf50b080aaf68438,True,True
close_over_ma_120,price_distance,atomic_feature,price_distance,close_over_ma_120,open;high;low;close;volume;money,120,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,fd2d60ca11769ada,True,True
close_over_ma_20,price_distance,atomic_feature,price_distance,close_over_ma_20,open;high;low;close;volume;money,20,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,82f3f0408b001eac,True,True
close_over_ma_40,price_distance,atomic_feature,price_distance,close_over_ma_40,open;high;low;close;volume;money,40,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,b6c626d73e11647b,True,True
close_over_ma_5,price_distance,atomic_feature,price_distance,close_over_ma_5,open;high;low;close;volume;money,5,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,78a0e502b9a5c7a3,True,True
close_over_ma_60,price_distance,atomic_feature,price_distance,close_over_ma_60,open;high;low;close;volume;money,60,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,144aa6f71b9c33e8,True,True
close_over_max_high_10,price_distance,atomic_feature,price_distance,close_over_max_high_10,open;high;low;close;volume;money,10,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,6562128ac9684627,True,True
close_over_max_high_120,price_distance,atomic_feature,price_distance,close_over_max_high_120,open;high;low;close;volume;money,120,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,46b03ab5371342d5,True,True
close_over_max_high_20,price_distance,atomic_feature,price_distance,close_over_max_high_20,open;high;low;close;volume;money,20,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,88a1b4feb7888053,True,True
close_over_max_high_40,price_distance,atomic_feature,price_distance,close_over_max_high_40,open;high;low;close;volume;money,40,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,74b2bcd366a3f12c,True,True
close_over_max_high_5,price_distance,atomic_feature,price_distance,close_over_max_high_5,open;high;low;close;volume;money,5,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,6af7b8697bcec955,True,True
close_over_max_high_60,price_distance,atomic_feature,price_distance,close_over_max_high_60,open;high;low;close;volume;money,60,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,1f75dee5cf05e69a,True,True
close_over_median_10,price_distance,atomic_feature,price_distance,close_over_median_10,open;high;low;close;volume;money,10,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,b39e46b51ad8f42e,True,True
close_over_median_120,price_distance,atomic_feature,price_distance,close_over_median_120,open;high;low;close;volume;money,120,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,1cd3a114e4cb8088,True,True
close_over_median_20,price_distance,atomic_feature,price_distance,close_over_median_20,open;high;low;close;volume;money,20,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,29d2f18d03e8091e,True,True
close_over_median_40,price_distance,atomic_feature,price_distance,close_over_median_40,open;high;low;close;volume;money,40,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,ee2a3bb052dd87ce,True,True
close_over_median_5,price_distance,atomic_feature,price_distance,close_over_median_5,open;high;low;close;volume;money,5,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,5892dc5badff7926,True,True
close_over_median_60,price_distance,atomic_feature,price_distance,close_over_median_60,open;high;low;close;volume;money,60,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,47cc49927e4b7293,True,True
close_over_min_low_10,price_distance,atomic_feature,price_distance,close_over_min_low_10,open;high;low;close;volume;money,10,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,c2432530845cda61,True,True
close_over_min_low_120,price_distance,atomic_feature,price_distance,close_over_min_low_120,open;high;low;close;volume;money,120,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,33331ed1873f4e21,True,True
close_over_min_low_20,price_distance,atomic_feature,price_distance,close_over_min_low_20,open;high;low;close;volume;money,20,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,a077b94f47eb9cbe,True,True
close_over_min_low_40,price_distance,atomic_feature,price_distance,close_over_min_low_40,open;high;low;close;volume;money,40,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,74b767bc06237f36,True,True
close_over_min_low_5,price_distance,atomic_feature,price_distance,close_over_min_low_5,open;high;low;close;volume;money,5,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,4444ba60165683fd,True,True
close_over_min_low_60,price_distance,atomic_feature,price_distance,close_over_min_low_60,open;high;low;close;volume;money,60,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,a51c377c05a0e400,True,True
distance_to_high_10,price_distance,atomic_feature,price_distance,distance_to_high_10,open;high;low;close;volume;money,10,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,baa356f5eed2e2fe,True,True
distance_to_high_120,price_distance,atomic_feature,price_distance,distance_to_high_120,open;high;low;close;volume;money,120,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,5081e030474557a5,True,True
distance_to_high_20,price_distance,atomic_feature,price_distance,distance_to_high_20,open;high;low;close;volume;money,20,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,35726549a1848b08,True,True
distance_to_high_40,price_distance,atomic_feature,price_distance,distance_to_high_40,open;high;low;close;volume;money,40,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,05bfabe52d3d226f,True,True
distance_to_high_5,price_distance,atomic_feature,price_distance,distance_to_high_5,open;high;low;close;volume;money,5,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,525716b2e3f15e45,True,True
distance_to_high_60,price_distance,atomic_feature,price_distance,distance_to_high_60,open;high;low;close;volume;money,60,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,f1af3e1156a68691,True,True
distance_to_low_10,price_distance,atomic_feature,price_distance,distance_to_low_10,open;high;low;close;volume;money,10,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,c74b83d795d14af9,True,True
distance_to_low_120,price_distance,atomic_feature,price_distance,distance_to_low_120,open;high;low;close;volume;money,120,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,144305f4f9d6ce18,True,True
distance_to_low_20,price_distance,atomic_feature,price_distance,distance_to_low_20,open;high;low;close;volume;money,20,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,5d4049e1b8b401b6,True,True
distance_to_low_40,price_distance,atomic_feature,price_distance,distance_to_low_40,open;high;low;close;volume;money,40,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,a17551650495c259,True,True
distance_to_low_5,price_distance,atomic_feature,price_distance,distance_to_low_5,open;high;low;close;volume;money,5,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,621bd0894317a7f3,True,True
distance_to_low_60,price_distance,atomic_feature,price_distance,distance_to_low_60,open;high;low;close;volume;money,60,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,377576d093c58adb,True,True
drawdown_from_recent_high_10,price_distance,atomic_feature,price_distance,drawdown_from_recent_high_10,open;high;low;close;volume;money,10,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,08bd77f97bfaac2d,True,True
drawdown_from_recent_high_120,price_distance,atomic_feature,price_distance,drawdown_from_recent_high_120,open;high;low;close;volume;money,120,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,938ddddeb7a161cc,True,True
drawdown_from_recent_high_20,price_distance,atomic_feature,price_distance,drawdown_from_recent_high_20,open;high;low;close;volume;money,20,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,aedbd748658bd168,True,True
drawdown_from_recent_high_40,price_distance,atomic_feature,price_distance,drawdown_from_recent_high_40,open;high;low;close;volume;money,40,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,550eb3e0245a46c2,True,True
drawdown_from_recent_high_5,price_distance,atomic_feature,price_distance,drawdown_from_recent_high_5,open;high;low;close;volume;money,5,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,b24369ea2651148c,True,True
drawdown_from_recent_high_60,price_distance,atomic_feature,price_distance,drawdown_from_recent_high_60,open;high;low;close;volume;money,60,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,275fa62399c95586,True,True
launch_gain_from_recent_low_10,price_distance,atomic_feature,price_distance,launch_gain_from_recent_low_10,open;high;low;close;volume;money,10,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,05322aa589ebdb29,True,True
launch_gain_from_recent_low_120,price_distance,atomic_feature,price_distance,launch_gain_from_recent_low_120,open;high;low;close;volume;money,120,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,05f6cd56892b0a26,True,True
launch_gain_from_recent_low_20,price_distance,atomic_feature,price_distance,launch_gain_from_recent_low_20,open;high;low;close;volume;money,20,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,d779ffdb5692e24f,True,True
launch_gain_from_recent_low_40,price_distance,atomic_feature,price_distance,launch_gain_from_recent_low_40,open;high;low;close;volume;money,40,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,34ac98959608bc23,True,True
launch_gain_from_recent_low_5,price_distance,atomic_feature,price_distance,launch_gain_from_recent_low_5,open;high;low;close;volume;money,5,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,7d58647964a2563a,True,True
launch_gain_from_recent_low_60,price_distance,atomic_feature,price_distance,launch_gain_from_recent_low_60,open;high;low;close;volume;money,60,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,7f45585b2779f537,True,True
amplitude_10,volatility_range,atomic_feature,volatility_range,amplitude_10,open;high;low;close;volume;money,10,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,5705d1c842219fe6,True,True
amplitude_20,volatility_range,atomic_feature,volatility_range,amplitude_20,open;high;low;close;volume;money,20,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,cd4c2579ba6fcd70,True,True
amplitude_5,volatility_range,atomic_feature,volatility_range,amplitude_5,open;high;low;close;volume;money,5,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,806bacf9e97157ab,True,True
amplitude_60,volatility_range,atomic_feature,volatility_range,amplitude_60,open;high;low;close;volume;money,60,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,d600f7036d13b70f,True,True
atr20_pct,volatility_range,atomic_feature,volatility_range,atr20_pct,open;high;low;close;volume;money,20,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,cc5f4c721617b3a2,True,True
