primitive_id,primitive_family,industry,task,primitive_text,observable_token_list,formula_text_resolved,source_path_pattern_ids,source_feature_family_set,feature_asof_rule,effective_date_rule,reference_price_rule,denominator_scope,expected_direction,real_metric_name,real_metric_formula_text,null_adjusted_signal_status,manual_primitive_allowed_for_next_requirement,reason_if_not_allowed,atomic_primitive_candidate_for_next_requirement,candidate_formula_hash
E10P_b29ffe810eea70b7,negative_control_placebo_context,电子,failure_reject,range_expansion_ratio_20_60 <= train_q60 and atr_like_20 <= train_q95 and ret_10d_market_rank <= train_q95,"[{""feature_name"": ""range_expansion_ratio_20_60"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q60""}, {""feature_name"": ""atr_like_20"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q95""}, {""feature_name"": ""ret_10d_market_rank"", ""feature_family"": ""cross_section_rank"", ""direction"": ""less_than"", ""quantile_bucket"": ""q95""}]",range_expansion_ratio_20_60 <= train_q60 and atr_like_20 <= train_q95 and ret_10d_market_rank <= train_q95,15d2cf745a816360,cross_section_rank;volatility_range,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,dad4ecb2de7f0c26
E10P_d7154207365dd303,negative_control_placebo_context,电子,failure_reject,amplitude_60 >= train_q20 and industry_relative_strength_vs_market_20d >= train_q10 and intraday_range_pct >= train_q20,"[{""feature_name"": ""amplitude_60"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q20""}, {""feature_name"": ""industry_relative_strength_vs_market_20d"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q10""}, {""feature_name"": ""intraday_range_pct"", ""feature_family"": ""kbar_candle_shape"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q20""}]",amplitude_60 >= train_q20 and industry_relative_strength_vs_market_20d >= train_q10 and intraday_range_pct >= train_q20,070a4f035539e6de,industry_market_context;kbar_candle_shape;volatility_range,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,2864bc4c1af6d5ca
E10P_305afe134571b6c1,negative_control_placebo_context,电子,failure_reject,range_expansion_ratio_20_60 <= train_q50 and industry_relative_strength_vs_market_20d >= train_q10 and atr_like_20 <= train_q95,"[{""feature_name"": ""range_expansion_ratio_20_60"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q50""}, {""feature_name"": ""industry_relative_strength_vs_market_20d"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q10""}, {""feature_name"": ""atr_like_20"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q95""}]",range_expansion_ratio_20_60 <= train_q50 and industry_relative_strength_vs_market_20d >= train_q10 and atr_like_20 <= train_q95,96857e1e9950386d,industry_market_context;volatility_range,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,70eb937c7406e44e
E10P_09f2dcaff0129d10,negative_control_placebo_context,电子,failure_reject,market_volatility_regime <= train_q30 and money_price_coherence_60 >= train_q05 and atr20_pct <= train_q90,"[{""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q30""}, {""feature_name"": ""money_price_coherence_60"", ""feature_family"": ""volume_money"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q05""}, {""feature_name"": ""atr20_pct"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q90""}]",market_volatility_regime <= train_q30 and money_price_coherence_60 >= train_q05 and atr20_pct <= train_q90,ec0c2ac00d77f1a7,industry_market_context;volatility_range;volume_money,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,30fb79e5a670a1a6
E10P_8d5af32ad9c4e205,negative_control_placebo_context,电子,failure_reject,ret_60d_market_rank <= train_q50 and atr_like_10 <= train_q95 and close_over_ma_120 >= train_q05,"[{""feature_name"": ""ret_60d_market_rank"", ""feature_family"": ""cross_section_rank"", ""direction"": ""less_than"", ""quantile_bucket"": ""q50""}, {""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q95""}, {""feature_name"": ""close_over_ma_120"", ""feature_family"": ""price_distance"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q05""}]",ret_60d_market_rank <= train_q50 and atr_like_10 <= train_q95 and close_over_ma_120 >= train_q05,1da5374c3e567da5,cross_section_rank;price_distance;volatility_range,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,735ac6748b05a4b6
E10P_ad8e26ba785e4393,negative_control_placebo_context,电子,failure_reject,market_volatility_regime >= train_q30 and industry_relative_strength_vs_market_60d >= train_q30 and amplitude_10 <= train_q95,"[{""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30""}, {""feature_name"": ""industry_relative_strength_vs_market_60d"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30""}, {""feature_name"": ""amplitude_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q95""}]",market_volatility_regime >= train_q30 and industry_relative_strength_vs_market_60d >= train_q30 and amplitude_10 <= train_q95,0e7b4d12162b317d,industry_market_context;volatility_range,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,17ba92660779f294
E10P_fe33c1590e70aaef,negative_control_placebo_context,电子,failure_reject,market_volatility_regime >= train_q30 and industry_relative_strength_vs_market_60d >= train_q30 and prelaunch_drawdown_120d <= train_q90,"[{""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30""}, {""feature_name"": ""industry_relative_strength_vs_market_60d"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30""}, {""feature_name"": ""prelaunch_drawdown_120d"", ""feature_family"": ""launch_lifecycle_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q90""}]",market_volatility_regime >= train_q30 and industry_relative_strength_vs_market_60d >= train_q30 and prelaunch_drawdown_120d <= train_q90,de45c16dbf85cd70,industry_market_context;launch_lifecycle_context,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,17beb2f862fbee3d
E10P_879debc6ecc62833,negative_control_placebo_context,电子,failure_reject,amplitude_60 >= train_q20 and industry_relative_strength_vs_market_20d >= train_q10 and range_expansion_ratio_20_60 <= train_q70,"[{""feature_name"": ""amplitude_60"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q20""}, {""feature_name"": ""industry_relative_strength_vs_market_20d"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q10""}, {""feature_name"": ""range_expansion_ratio_20_60"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q70""}]",amplitude_60 >= train_q20 and industry_relative_strength_vs_market_20d >= train_q10 and range_expansion_ratio_20_60 <= train_q70,ca858be98cf3b79b,industry_market_context;volatility_range,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,c94a317a9156e73e
E10P_d152b83338d2d3f7,negative_control_placebo_context,电子,failure_reject,ret_60d_market_rank <= train_q60 and distance_to_high_120 <= train_q90 and volatility_return_std_60 <= train_q80,"[{""feature_name"": ""ret_60d_market_rank"", ""feature_family"": ""cross_section_rank"", ""direction"": ""less_than"", ""quantile_bucket"": ""q60""}, {""feature_name"": ""distance_to_high_120"", ""feature_family"": ""price_distance"", ""direction"": ""less_than"", ""quantile_bucket"": ""q90""}, {""feature_name"": ""volatility_return_std_60"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q80""}]",ret_60d_market_rank <= train_q60 and distance_to_high_120 <= train_q90 and volatility_return_std_60 <= train_q80,bd8664a3b7b03001,cross_section_rank;price_distance;volatility_range,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,1e6843599726414e
E10P_2a8dd91b01c9bc7b,negative_control_placebo_context,电子,failure_reject,ret_60d_market_rank <= train_q60 and atr_like_20 <= train_q95 and amplitude_60 >= train_q30,"[{""feature_name"": ""ret_60d_market_rank"", ""feature_family"": ""cross_section_rank"", ""direction"": ""less_than"", ""quantile_bucket"": ""q60""}, {""feature_name"": ""atr_like_20"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q95""}, {""feature_name"": ""amplitude_60"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30""}]",ret_60d_market_rank <= train_q60 and atr_like_20 <= train_q95 and amplitude_60 >= train_q30,1a9f90eb3e0e8751,cross_section_rank;volatility_range,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,a73b9eb097e9e1eb
E10P_17ebd2141911e2dd,negative_control_placebo_context,电子,failure_reject,atr_like_20 <= train_q80 and atr_like_20 <= train_q70 and market_volatility_regime <= train_q60,"[{""feature_name"": ""atr_like_20"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q80""}, {""feature_name"": ""atr_like_20"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q70""}, {""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q60""}]",atr_like_20 <= train_q80 and atr_like_20 <= train_q70 and market_volatility_regime <= train_q60,ea054ea7b9ac142b,industry_market_context;volatility_range,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,52bf7a99bf63b715
E10P_3532ed7757d7d96d,negative_control_placebo_context,电子,failure_reject,market_volatility_regime >= train_q40 and industry_relative_strength_vs_market_60d >= train_q30 and volatility_return_std_60 >= train_q05,"[{""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q40""}, {""feature_name"": ""industry_relative_strength_vs_market_60d"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30""}, {""feature_name"": ""volatility_return_std_60"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q05""}]",market_volatility_regime >= train_q40 and industry_relative_strength_vs_market_60d >= train_q30 and volatility_return_std_60 >= train_q05,7ea2b73ef4ea934b,industry_market_context;volatility_range,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,88a9e1d9f2b838d4
E10P_c13f22bd41698048,negative_control_placebo_context,电子,failure_reject,return_slope_40d >= train_q20 and market_volatility_regime >= train_q30 and industry_relative_strength_vs_market_60d >= train_q30,"[{""feature_name"": ""return_slope_40d"", ""feature_family"": ""rolling_return"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q20""}, {""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30""}, {""feature_name"": ""industry_relative_strength_vs_market_60d"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30""}]",return_slope_40d >= train_q20 and market_volatility_regime >= train_q30 and industry_relative_strength_vs_market_60d >= train_q30,8b700bd3524cbde5,industry_market_context;rolling_return,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,ad9d2af2db7e9b69
