gate_id,check_id,evidence_artifact,evidence_selector,observed_value,required_value,status,blocking_reason
historical_holdout_firewall_gate,HF04,freeze/preoutcome_access_log.csv,independent_predicate:historical_holdout_firewall_gate.HF04,true,true,pass,
search_budget_gate,SB01,freeze/hyperparameter_and_search_budget_freeze.csv,independent_predicate:search_budget_gate.SB01,true,true,pass,
search_budget_gate,SB02,freeze/hyperparameter_and_search_budget_freeze.csv,independent_predicate:search_budget_gate.SB02,true,true,pass,
search_budget_gate,SB03,freeze/hyperparameter_and_search_budget_freeze.csv,independent_predicate:search_budget_gate.SB03,true,true,pass,
search_budget_gate,SB04,freeze/hyperparameter_and_search_budget_freeze.csv,independent_predicate:search_budget_gate.SB04,true,true,pass,
search_budget_gate,SB05,freeze/hyperparameter_and_search_budget_freeze.csv,independent_predicate:search_budget_gate.SB05,true,true,pass,
seed_randomness_gate,SR01,freeze/seed_and_randomness_freeze.csv,independent_predicate:seed_randomness_gate.SR01,true,true,pass,
seed_randomness_gate,SR02,freeze/seed_and_randomness_freeze.csv,independent_predicate:seed_randomness_gate.SR02,true,true,pass,
seed_randomness_gate,SR03,freeze/seed_and_randomness_freeze.csv,independent_predicate:seed_randomness_gate.SR03,true,true,pass,
seed_randomness_gate,SR04,freeze/seed_and_randomness_freeze.csv,independent_predicate:seed_randomness_gate.SR04,true,true,pass,
dependency_lock_gate,DL01,freeze/dependency_lock_change_and_runtime_contract.csv,independent_predicate:dependency_lock_gate.DL01,true,true,pass,
dependency_lock_gate,DL02,freeze/dependency_lock_change_and_runtime_contract.csv,independent_predicate:dependency_lock_gate.DL02,true,true,pass,
dependency_lock_gate,DL03,freeze/dependency_lock_change_and_runtime_contract.csv,independent_predicate:dependency_lock_gate.DL03,true,true,pass,
dependency_lock_gate,DL04,freeze/dependency_lock_change_and_runtime_contract.csv,independent_predicate:dependency_lock_gate.DL04,true,true,pass,
dependency_lock_gate,DL05,freeze/dependency_lock_change_and_runtime_contract.csv,independent_predicate:dependency_lock_gate.DL05,true,true,pass,
gpu_dry_run_gate,GPU01,freeze/runtime_dependency_gpu_audit.csv,check_id=GPU01,true,true,pass,
gpu_dry_run_gate,GPU02,freeze/runtime_dependency_gpu_audit.csv,check_id=GPU02,true,true,pass,
gpu_dry_run_gate,GPU03,freeze/runtime_dependency_gpu_audit.csv,check_id=GPU03,true,true,pass,
gpu_dry_run_gate,GPU04,freeze/runtime_dependency_gpu_audit.csv,check_id=GPU04,true,true,pass,
gpu_dry_run_gate,GPU05,freeze/runtime_dependency_gpu_audit.csv,check_id=GPU05,true,true,pass,
metric_multiplicity_gate,MM01,freeze/metric_margin_power_freeze.csv,independent_predicate:metric_multiplicity_gate.MM01,true,true,pass,
metric_multiplicity_gate,MM02,freeze/metric_margin_power_freeze.csv,independent_predicate:metric_multiplicity_gate.MM02,true,true,pass,
metric_multiplicity_gate,MM03,freeze/metric_margin_power_freeze.csv,independent_predicate:metric_multiplicity_gate.MM03,true,true,pass,
metric_multiplicity_gate,MM04,freeze/metric_margin_power_freeze.csv,independent_predicate:metric_multiplicity_gate.MM04,true,true,pass,
metric_multiplicity_gate,MM05,freeze/metric_margin_power_freeze.csv,independent_predicate:metric_multiplicity_gate.MM05,true,true,pass,
metric_multiplicity_gate,MM06,freeze/metric_margin_power_freeze.csv,independent_predicate:metric_multiplicity_gate.MM06,true,true,pass,
metric_multiplicity_gate,MM07,freeze/metric_margin_power_freeze.csv,independent_predicate:metric_multiplicity_gate.MM07,true,true,pass,
economic_execution_freeze_gate,E01,freeze/upstream_scope_and_lineage_audit.csv,independent_predicate:economic_execution_freeze_gate.E01,true,true,pass,
economic_execution_freeze_gate,E02,freeze/upstream_scope_and_lineage_audit.csv,independent_predicate:economic_execution_freeze_gate.E02,true,true,pass,
economic_execution_freeze_gate,E03,freeze/upstream_scope_and_lineage_audit.csv,independent_predicate:economic_execution_freeze_gate.E03,true,true,pass,
economic_execution_freeze_gate,E04,freeze/upstream_scope_and_lineage_audit.csv,independent_predicate:economic_execution_freeze_gate.E04,true,true,pass,
forward_refit_contract_gate,FR01,freeze/forward_refit_and_comparator_freeze.csv,independent_predicate:forward_refit_contract_gate.FR01,true,true,pass,
forward_refit_contract_gate,FR02,freeze/forward_refit_and_comparator_freeze.csv,independent_predicate:forward_refit_contract_gate.FR02,true,true,pass,
forward_refit_contract_gate,FR03,freeze/forward_refit_and_comparator_freeze.csv,independent_predicate:forward_refit_contract_gate.FR03,true,true,pass,
forward_refit_contract_gate,FR04,freeze/forward_refit_and_comparator_freeze.csv,independent_predicate:forward_refit_contract_gate.FR04,true,true,pass,
forward_refit_contract_gate,FR05,freeze/forward_refit_and_comparator_freeze.csv,independent_predicate:forward_refit_contract_gate.FR05,true,true,pass,
outcome_firewall_gate,OF01,finalize_access_audit.csv,independent_predicate:outcome_firewall_gate.OF01,true,true,pass,
outcome_firewall_gate,OF02,finalize_access_audit.csv,independent_predicate:outcome_firewall_gate.OF02,true,true,pass,
outcome_firewall_gate,OF03,freeze/preoutcome_access_log.csv,independent_predicate:outcome_firewall_gate.OF03,true,true,pass,
outcome_firewall_gate,OF04,freeze/preoutcome_access_log.csv,independent_predicate:outcome_firewall_gate.OF04,true,true,pass,
freeze_bundle_hash_gate,HB01,freeze/freeze_bundle_manifest.json,independent_predicate:freeze_bundle_hash_gate.HB01,true,true,pass,
freeze_bundle_hash_gate,HB02,freeze/freeze_bundle_manifest.json,independent_predicate:freeze_bundle_hash_gate.HB02,true,true,pass,
freeze_bundle_hash_gate,HB03,freeze/freeze_bundle_manifest.json,independent_predicate:freeze_bundle_hash_gate.HB03,true,true,pass,
freeze_bundle_hash_gate,HB04,freeze/freeze_bundle_manifest.json,independent_predicate:freeze_bundle_hash_gate.HB04,true,true,pass,
freeze_bundle_hash_gate,HB05,freeze/freeze_bundle_manifest.json,independent_predicate:freeze_bundle_hash_gate.HB05,true,true,pass,
implementation_readiness_gate,IR01,freeze/input_artifact_audit.csv,independent_predicate:implementation_readiness_gate.IR01,true,true,pass,
implementation_readiness_gate,IR02,freeze/input_artifact_audit.csv,independent_predicate:implementation_readiness_gate.IR02,true,true,pass,
implementation_readiness_gate,IR03,freeze/input_artifact_audit.csv,independent_predicate:implementation_readiness_gate.IR03,true,true,pass,
implementation_readiness_gate,IR04,freeze/input_artifact_audit.csv,independent_predicate:implementation_readiness_gate.IR04,true,true,pass,
implementation_readiness_gate,IR05,freeze/input_artifact_audit.csv,independent_predicate:implementation_readiness_gate.IR05,true,true,pass,
